date,event,result,location,image_url
1,30.08.2025,,"Three Way:Bobby LashleydefeatsAigle BlancandMecca(14:33)APC/BZW French Touch- Online Stream @ Salle des Fetes in Gennevilliers, Frankreich",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
2,24.08.2025,,"AEW World Tag Team TitleThree Way:Brodido(Bandido&Brody King) defeatThe Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) andFTR(Cash Wheeler&Dax Harwood) (16:05) -TITLE CHANGE !!!AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
3,12.07.2025,,"AEW World Tag Team TitleThree Way:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatJetSpeed(Kevin Knight&Mike Bailey) andThe Patriarchy(Christian Cage&Nick Wayne) (18:59)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
4,11.06.2025,,"The Hurt Syndicate(Bobby Lashley,MJF&Shelton Benjamin) defeatJetSpeed(Kevin Knight&Mike Bailey) &Mascara Dorada(11:22)AEW Dynamite #297 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
5,25.05.2025,,"AEW World Tag Team Title:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatThe Sons Of Texas(Dustin Rhodes&Sammy Guevara) (12:38)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
6,14.05.2025,,"AEW World Tag Team TitleEliminator:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) [c] defeatTop Flight(Dante Martin&Darius Martin) by referee's decision (4:26)AEW Dynamite #293 - Beach Break 2025 - Tag 1- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
7,16.04.2025,,"AEW World Tag Team Title:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatGates Of Agony(Bishop Kaun&Toa Liona) (9:13)AEW Dynamite #289 - Spring BreakThru - Tag 1- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
8,06.04.2025,,"AEW World Tag Team Title:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatThe Learning Tree(Big Bill&Bryan Keith) (10:29)AEW Dynasty 2025- Pay Per View @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
9,09.03.2025,,"AEW World Tag Team Title:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatThe Outrunners(Truth Magnum&Turbo Floyd) (8:40)AEW Revolution 2025- Pay Per View @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
10,11.02.2025,,"AEW World Tag Team Title:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) defeatThe Gunns(Austin Gunn&Colten Gunn) (11:08)AEW Dynamite #280- TV-Show @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
11,03.02.2025,,Bobby LashleydefeatsSerpenticoJericho Cruise 2025: Six On The Beach - Tag 4 (Show 2)- Event @ Norwegian Pearl Cruise Ship in USA,https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
12,22.01.2025,,"AEW World Tag Team Title:The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) defeatPrivate Party(Quen&Zay) (c) (9:10) -TITLE CHANGE !!!AEW Dynamite #277- TV-Show @ Knoxville Civic Coliseum in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
13,15.01.2025,,"The Hurt Syndicate(Bobby Lashley,MVP&Shelton Benjamin) defeatMark Briscoe&Private Party(Quen&Zay) (9:25)AEW Dynamite #276 - Maximum Carnage - Tag 1- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
14,08.01.2025,,"Bobby LashleydefeatsMark Briscoeby referee's decision (9:08)AEW Dynamite #275- TV-Show @ F&M Bank Arena in Clarksville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
15,01.01.2025,,"The Hurt Syndicate(Bobby Lashley&Shelton Benjamin) defeatThe Acclaimed(Anthony Bowens&Max Caster) (4:11)AEW Dynamite #274 - Fight For The Fallen 2025- TV-Show @ Harrah's Cherokee Center in Asheville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
16,23.11.2024,,"Bobby LashleydefeatsSwerve Strickland(13:22)AEW Full Gear 2024- Pay Per View @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
17,20.11.2024,,"Two On One Handicap:Bobby LashleydefeatsCheeseburger&Joe Keysby referee's decision (2:02)AEW Dynamite #268- TV-Show @ Santander Arena in Reading, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
18,05.05.2024,,"Bobby LashleydefeatsSantos EscobarWWE Live- House Show @ Arena du Pays d'Aix in Aix-en-Provence, Bouches-du-Rhone, Frankreich",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
19,21.04.2024,,"Bobby LashleydefeatsKarrion KrossWWE Sunday Stunner- House Show @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
20,20.04.2024,,"Bobby LashleydefeatsKarrion Krossby DQWWE Saturday Night's Main Event- House Show @ Erie Insurance Arena in Erie, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
21,20.04.2024,,"The Pride(Angelo Dawkins,Bobby Lashley&Montez Ford) defeatThe Final Testament(Akam,Karrion Kross&Rezar)WWE Saturday Night's Main Event- House Show @ Erie Insurance Arena in Erie, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
22,19.04.2024,,"Dark Pittsburgh Street Fight:Bobby LashleydefeatsKarrion KrossWWE Friday Night SmackDown #1287- Dark Match @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
23,12.04.2024,,"Undisputed WWE Title#1 Contendership Qualifying Triple Threat:LA KnightdefeatsBobby LashleyandSantos Escobar(8:21)WWE Friday Night SmackDown #1286- TV-Show @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
24,07.04.2024,,"Six Man Tag Team Philadelphia Street Fight (Special Referee: Bubba Ray Dudley):The Pride(Angelo Dawkins,Bobby Lashley&Montez Ford) defeatThe Final Testament(Akam,Karrion Kross&Rezar) (8:36)WWE WrestleMania XL - Sunday- Premium Live Event @ Lincoln Financial Field in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
25,08.03.2024,,"Bobby Lashleyvs.Karrion Kross- No Contest (8:37)WWE Friday Night SmackDown #1281- TV-Show @ American Airlines Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
26,24.02.2024,,"WWE World Heavyweight  Title#1 Contendership Elimination Chamber:Drew McIntyredefeatsBobby LashleyandKevin OwensandLA KnightandLogan PaulandRandy Orton(36:53)WWE Elimination Chamber 2024- Premium Live Event @ Optus Stadium in Burswood, Western Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
27,12.02.2024,,"Elimination Chamber Qualifying:Bobby LashleydefeatsBronson Reed(8:37)WWE Monday Night RAW #1603- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
28,27.01.2024,,"Royal Rumble:Cody RhodesdefeatsAndradeandAustin TheoryandBobby LashleyandBron BreakkerandBronson ReedandCarlitoandCarmelo HayesandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandGrayson WallerandGuntherandIvarandJD McDonaghandJey UsoandJimmy UsoandKarrion KrossandKofi KingstonandLudwig KaiserandOmosandPat McAfeeandR-TruthandRicochetandSami ZaynandSantos EscobarandShinsuke NakamuraandThe Miz(68:11)WWE Royal Rumble 2024- Premium Live Event @ Tropicana Field in St. Petersburg, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
29,29.12.2023,,"Bobby LashleydefeatsCameron GrimesWWE Live Holiday Tour- House Show @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
30,28.12.2023,,"Bobby LashleydefeatsCameron GrimesWWE Live Holiday Tour- House Show @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
31,26.12.2023,,"Bobby LashleydefeatsButchWWE Live Holiday Tour- House Show @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
32,15.12.2023,,"WWE United States Title#1 Contendership Tournament Semi Final:Santos EscobardefeatsBobby Lashley(8:44)WWE Friday Night SmackDown #1270- TV-Show @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
33,08.12.2023,,"WWE United States Title#1 Contendership Tournament First Round:Bobby LashleydefeatsKarrion Kross(9:46)WWE Friday Night SmackDown #1268 - Tribute To The Troops 2023- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
34,03.12.2023,,"Angelo Dawkins&Bobby LashleydefeatThe OC(Karl Anderson&Luke Gallows)WWE Live Holiday Tour- House Show @ Bob Carpenter Center in Newark, Delaware, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
35,02.12.2023,,"Angelo Dawkins&Bobby LashleydefeatThe OC(Karl Anderson&Luke Gallows)WWE Live Holiday Tour- House Show @ PPL Center in Allentown, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
36,01.12.2023,,"Bobby LashleydefeatsButch(8:06)WWE Friday Night SmackDown #1267- TV-Show @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
37,26.11.2023,,"Bobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford) defeatDragon Lee&LWO(Cruz Del Toro&Joaquin Wilde)WWE Live Holiday Tour- House Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
38,19.11.2023,,"LWO(Carlito,Cruz Del Toro&Joaquin Wilde) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Sunday Stunner- House Show @ First National Bank Arena in Jonesboro, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
39,18.11.2023,,"LWO(Carlito,Cruz Del Toro&Joaquin Wilde) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Saturday Night's Main Event- House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
40,10.11.2023,,"Bobby LashleydefeatsCarlito(9:27)WWE Friday Night SmackDown #1264- TV-Show @ Nationwide Arena in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
41,31.10.2023,,"Drew McIntyre&The Brawling Brutes(Butch&Ridge Holland) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Live- House Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
42,30.10.2023,,"Drew McIntyre&The Brawling Brutes(Butch&Ridge Holland) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Live- House Show @ Motorpoint Arena Nottingham in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
43,29.10.2023,,"Bobby LashleydefeatsGrayson WallerWWE Sunday Night Stunner- House Show @ OVO Arena Wembley in Wembley, Greater London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
44,22.10.2023,,"LWO(Carlito,Joaquin Wilde&Santos Escobar) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Sunday Stunner- House Show @ Sames Auto Arena in Laredo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
45,22.10.2023,,"Santos EscobardefeatsBobby Lashleyby DQWWE Sunday Stunner- House Show @ Sames Auto Arena in Laredo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
46,21.10.2023,,"LWO(Carlito,Joaquin Wilde&Santos Escobar) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Saturday Night's Main Event- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
47,21.10.2023,,"Santos EscobardefeatsBobby Lashleyby DQWWE Saturday Night's Main Event- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
48,07.10.2023,,"LWO(Carlito,Rey Mysterio&Santos Escobar) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford) (10:02)WWE Fastlane 2023- Premium Live Event @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
49,06.10.2023,,"Bobby LashleydefeatsRey Mysterio(12:50)WWE Friday Night SmackDown #1259- TV-Show @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
50,25.06.2023,,"Bobby LashleydefeatsBaron CorbinWWE Sunday Stunner- House Show @ Mobile Civic Center in Mobile, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/f/f6/Arms_%282971269439%29.jpg
