date,event,result,location,image_url
1,25.01.2015,,"The Ascension(Konnor&Viktor) defeatThe New Age Outlaws(Billy Gunn&Road Dogg) (5:42)WWE Royal Rumble 2015- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",
2,06.04.2014,,"The Shield(Dean Ambrose,Roman Reigns&Seth Rollins) defeatKane&The New Age Outlaws(Billy Gunn&Road Dogg) (2:55)WWE WrestleMania XXX - ""Let The Good Times Roll""- Premium Live Event @ Mercedes-Benz Superdome in New Orleans, Louisiana, USA",
3,03.03.2014,,"WWE Tag Team Title:The Usos(Jey Uso&Jimmy Uso) defeatThe New Age Outlaws(Billy Gunn&Road Dogg) (c) (9:25) -TITLE CHANGE !!!WWE Monday Night RAW #1084- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",
4,28.02.2014,,"Dark:The New Age Outlaws(Billy Gunn&Road Dogg) defeatJason Jordan&Tye DillingerWWE NXT #213 - Vengeance 2014- Dark Match @ Full Sail University in Winter Park, Florida, USA",
5,25.02.2014,,"Daniel Bryan&The Usos(Jey Uso&Jimmy Uso) defeatKane&The New Age Outlaws(Billy Gunn&The Road Dogg) (11:01)WWE Friday Night SmackDown #758- TV-Show @ BMO Harris Bradley Center in Milwaukee, Wisconsin, USA",
6,24.02.2014,,"The Usos(Jey Uso&Jimmy Uso) defeatThe New Age Outlaws(Billy Gunn&The Road Dogg) (1:15)WWE Monday Night RAW #1083- TV-Show @ Resch Center in Green Bay, Wisconsin, USA",
7,23.02.2014,,"WWE Tag Team Title:The New Age Outlaws(Billy Gunn&The Road Dogg) (c) defeatThe Usos(Jey Uso&Jimmy Uso) (8:52)WWE Elimination Chamber 2014- Pay Per View @ Target Center in Minneapolis, Minnesota, USA",
8,18.02.2014,,"Jimmy UsodefeatsThe Road Dogg(2:39)WWE Friday Night SmackDown #757- TV-Show @ World Arena in Colorado Springs, Colorado, USA",
9,16.02.2014,,"WWE Tag Team TitleTriple Threat:The New Age Outlaws(Billy Gunn&The Road Dogg) (c) defeatThe Real Americans(Cesaro&Jack Swagger) andThe Usos(Jey Uso&Jimmy Uso)WWE Live- House Show @ Thomas & Mack Center in Las Vegas, Nevada, USA",
10,15.02.2014,,"WWE Tag Team TitleTriple Threat:The New Age Outlaws(Billy Gunn&The Road Dogg) (c) defeatThe Real Americans(Cesaro&Jack Swagger) andThe Usos(Jey Uso&Jimmy Uso)WWE Live- House Show @ US Airways Center in Phoenix, Arizona, USA",
11,11.02.2014,,"Cody Rhodes,Goldust&The Usos(Jey Uso&Jimmy Uso) defeatCurtis Axel,Ryback&The New Age Outlaws(Billy Gunn&The Road Dogg) (11:37)WWE Friday Night SmackDown #756- TV-Show @ Citizens Business Bank Arena in Ontario, California, USA",
12,03.02.2014,,"WWE Tag Team TitleSteel Cage:The New Age Outlaws(Billy Gunn&The Road Dogg) (c) defeatCody Rhodes&Goldust(16:15)WWE Monday Night RAW #1080- TV-Show @ CenturyLink Center Omaha in Omaha, Nebraska, USA",
13,28.01.2014,,"Cody RhodesdefeatsThe Road Dogg(3:40)WWE Friday Night SmackDown #754- TV-Show @ Huntington Center in Toledo, Ohio, USA",
14,27.01.2014,,"WWE Tag Team Title:Cody Rhodes&GoldustdefeatThe New Age Outlaws(Billy Gunn&The Road Dogg) (c) by DQ (11:56)WWE Monday Night RAW #1079- TV-Show @ Quicken Loans Arena in Cleveland, Ohio, USA",
15,26.01.2014,,"WWE Tag Team Title:The New Age Outlaws(Billy Gunn&The Road Dogg) defeatCody Rhodes&Goldust(c) (6:16) -TITLE CHANGE !!!WWE Royal Rumble 2014 Kickoff- Online Stream @ CONSOL Energy Arena in Pittsburgh, Pennsylvania, USA",
