date,event,result,location,image_url
1,14.11.2009,,"Christy HemmedefeatsLea MorrisonNEW Autumn Ambush 2009- Event @ Washingtonville High School in Washingtonville, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
2,13.11.2009,,"Match (Special Referee: Kurt Adonis):Christy HemmedefeatsAlexxis NevaehNEW Hart Attack- Event @ Crosby High School in Waterbury, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
3,07.11.2009,,"Velvet SkydefeatsChristy HemmeNEW Saugerties Slam- Event @ Saugerties High School in Saugerties, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
4,21.10.2009,,"The Beautiful People(Lacey von Erich,Madison Rayne&Velvet Sky) defeatChristy Hemme,Hamada&ODB(4:20)TNA iMPACT #279- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
5,07.10.2009,,"Elimination:The Beautiful People(Madison Rayne&Velvet Sky),Alissa Flash&Traci BrooksdefeatChristy Hemme,Hamada,Sarita&Taylor Wilde(6:28)TNA iMPACT #276- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
6,22.09.2009,,"Christy HemmedefeatsTraci Brooks(1:54)TNA iMPACT #275- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
7,01.09.2009,,"TNA Women's Knockout Tag Team TitleTournament Semi Final:The Beautiful People(Angelina Love&Velvet Sky) defeatChristy Hemme&Tara(4:17)TNA iMPACT #273- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
8,31.08.2009,,"TNA Women's Knockout Tag Team TitleTournament Quarter Final:Christy Hemme&TaradefeatHamada&Sojournor Bolt(7:25)TNA iMPACT #271- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
9,17.08.2009,,"Four Way:Traci BrooksdefeatsAwesome KongandChristy HemmeandSarita(7:05)TNA iMPACT #269- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
10,01.08.2009,,"Mixed:Benjamin Sailer&Christy HemmedefeatAllison Wonderland&Arik CannonHOW Broken Hearts- Event @ Stargate Nightclub in Superior, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/10.17.09ChristyHemmeByLuigiNovi.jpg
