date,event,result,location,image_url
1,15.05.2011,,"Mixed:Chyna&Kurt AngledefeatJeff Jarrett&Karen Jarrett(10:27)TNA Sacrifice 2011- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
2,15.12.2002,,"Joanie Laurer&Masahiro ChonodefeatMakai Club(Kazunari Murakami&Makai #2) (6:21)NJPW The Spiral II- TV-Show @ Rainbow Hall in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
3,27.10.2002,,"IWGP Tag Team Title:TEAM2000(Hiroyoshi Tenzan&Masahiro Chono) (c) defeatJoanie Laurer&The Great Kabuki(12:40)NJPW Kobe Fighting Spirit Memorial Day ~ Toukon Series 2002 - Tag 8- TV-Show @ World Hall in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
4,26.10.2002,,"King Of The Hills(Hiroshi Tanahashi&Kenzo Suzuki) defeatGREAT MUTA&Joanie Laurerby Count Out (4:52)NJPW Fukuoka Fighting Spirit Memorial Day ~ Toukon Series 2002 - Tag 7- Pay Per View @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
5,14.10.2002,,"Masahiro ChonodefeatsJoanie Laurer(11:35)NJPW The Spiral- Pay Per View @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
6,17.09.2002,,"Jushin Thunder Liger,Masahiro Chono&Minoru TanakadefeatJoanie Laurer,Justin McCully&Shane(11:29)NJPW G1 World 2002 - Tag 10- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
7,15.09.2002,,"Joanie Laurer&Justin McCullydefeatOsamu Nishimura&Wataru Inoue(7:51)NJPW G1 World 2002 - Tag 8- TV-Show @ Citizen Gymnasium in Mito, Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
8,14.09.2002,,"Joanie Laurer&ShanedefeatTEAM2000(Hiro Saito&Tatsutoshi Goto) (5:10)NJPW G1 World 2002 - Tag 7- TV-Show @ City Gymnasium in Sagamihara, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
9,13.09.2002,,"Joanie Laurer,Justin McCully&ShanedefeatSWING-LOWS(Blue Wolf,Hiroshi Tanahashi&Kenzo Suzuki) (8:41)NJPW G1 World 2002 - Tag 6- TV-Show @ Miyagi Sports Center in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
10,12.09.2002,,"Joanie Laurer,Justin McCully&ShanedefeatMasahito Kakihara,Masayuki Naruse&Minoru Tanaka(8:08)NJPW G1 World 2002 - Tag 5- Event @ City Gymnasium in Hachinohe, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
11,11.09.2002,,"Blue Wolf,Hiroshi Tanahashi&Osamu NishimuradefeatJoanie Laurer,Justin McCully&Shane(10:14)NJPW G1 World 2002 - Tag 4- Event @ City Gymnasium in Yonezawa, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
12,08.09.2002,,"Joanie Laurer,Justin McCully&ShanedefeatEl Samurai,Manabu Nakanishi&Minoru Tanaka(10:21)NJPW G1 World 2002 - Tag 3- TV-Show @ Gran Ship Shizuoka in Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
13,07.09.2002,,"Joanie Laurer&ShanedefeatGedo&Jado(9:02)NJPW G1 World 2002 - Tag 2- Event @ Citizen Gymnasium in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
14,06.09.2002,,"Joanie Laurer,Justin McCully&ShanedefeatJushin Thunder Liger,Masahito Kakihara&Yuji Nagata(9:08)NJPW G1 World 2002 - Tag 1- TV-Show @ Ishikawa Industrial Exhibiton Hall #3 in Kanazawa, Ishikawa, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
15,08.08.2002,,"Different Style Fight:Joanie Laurerdefeats Chika Nakamura by TKO [Runde 1]UFO Legend- TV-Show @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
16,20.05.2001,,"WWF World Women's Title:Chyna(c) defeatsLita(6:30)WWF Judgment Day 2001- Pay Per View @ Arco Arena in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
17,15.05.2001,,"Two On One Handicap:ChynadefeatsIvory&Molly Holly(2:20)WWF SmackDown #92- TV-Show @ Freedom Hall in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
18,14.05.2001,,"Chyna&LitadefeatIvory&Molly Holly(2:25)WWF RAW is WAR #416- TV-Show @ Firstar Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
19,30.04.2001,,"ChynadefeatsTrish Stratus(1:24)WWF RAW is WAR #414- TV-Show @ Bradley Center in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
20,17.04.2001,,"WWF World Women's Title:Chyna(c) defeatsMolly Holly(2:15)WWF SmackDown #88- TV-Show @ Gaylord Entertainment Center in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
21,10.04.2001,,"WWF World Women's Title:Chyna(c) defeatsIvory(3:53)WWF SmackDown #87- TV-Show @ First Union Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
22,01.04.2001,,"WWF World Women's Title:ChynadefeatsIvory(c) (2:38) -TITLE CHANGE !!!WWF WrestleMania X-Seven - ""Houston... We Have A Problem""- Pay Per View @ Reliant Astrodome in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
23,21.01.2001,,"WWF World Women's Title:Ivory(c) defeatsChyna(3:27)WWF Royal Rumble 2001- Pay Per View @ New Orleans Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
24,11.12.2000,,"Chynavs.Ivory- No Contest (1:30)WWF RAW is WAR #394- TV-Show @ The Pyramid Arena in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
25,10.12.2000,,"Val VenisdefeatsChyna(5:05)WWF Armageddon 2000- Pay Per View @ Jefferson Civic Center in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
26,05.12.2000,,"Ivory&Val VenisdefeatBilly Gunn&Chyna(3:51)WWF SmackDown #69- TV-Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
27,02.12.2000,,"Billy Gunn&ChynadefeatThe Radicalz(Dean Malenko&Eddie Guerrero) (7:26)WWF Rebellion 2000- Pay Per View @ Sheffield Arena in Sheffield, South Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
28,19.11.2000,,"Survivor Series Elimination:The Radicalz(Chris Benoit,Dean Malenko,Eddie Guerrero&Perry Saturn) defeatBilly Gunn,Chyna,K-Kwik&The Road Dogg(12:41)WWF Survivor Series 2000- Pay Per View @ Ice Palace in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/1/1e/Chyna_Signature.png
