date,event,result,location,image_url
1,06.09.2025,,"Cinta de Oro,Cinta de Oro Jr.&El Hijo del SantodefeatMagno,Rafaga Jr.& Romeo (26:02)Cinta de Oro El Hijo del Santo Por Ultima Vez- Event @ Ascarate Park in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
2,19.07.2025,,"PWL Tag Team    Title:Cinta de Oro&Magnodefeat Los Infernals (Relampago Infernal & Rugido Infernal) (c) -TITLE CHANGE !!!Cinta de Oro Blood, Sweat & Lucha- Event @ Boys & Girls Clubs Of El Paso in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
3,12.07.2025,,"Los Porros NG(Lunatik Extreme&Ovett Jr.) &MetalikdefeatCinta de Oro&La Familia Real(El Hijo de LA Park&LA Park Jr.)The King Phantom Sera El Adios?- Online Stream @ Arena Lopez Mateos in Tlalnepantla, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
4,21.06.2025,,"Cinta de Oro& Fray Tormenta Jr. defeatCiclon Ramirez Jr.&Kempo Jr.Cinta De Oro Verano Letal- Event @ Boys & Girls Clubs Of El Paso in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
5,24.05.2025,,"IOCW Title:Cinta de Oro(c) defeatsBobby Lee Jr.Cinta De Oro La Vida Da Revanchas- Event @ Boys & Girls Clubs Of El Paso in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
6,12.04.2025,,"Cinta de Oro&PaganodefeatBobby Lee Jr.&Rafaga Jr.Cinta De Oro Sin Payaso No Hay Fiesta- Event @ Boys & Girls Clubs Of El Paso in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
7,22.03.2025,,"Cinta de Oro,Kempo Jr.&Mascara SagradadefeatBobby Lee Jr.,Rafaga Jr.&Travis BanksCinta De Oro The Ides Of March- Event @ Boys & Girls Clubs Of El Paso in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
8,02.11.2024,,"Cinta de Oro,El Hijo del Santo& Santo Jr. defeatCiclon Ramirez Jr.,El Hijo del Fishman&Extreme TigerTodo X El Todo The Greatest Spectacle Of Lucha Libre - Tag 2- Event @ York Hall in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
9,01.11.2024,,"IOCW Title:Cinta de Oro(c) defeatsExtreme TigerTodo X El Todo The Greatest Spectacle Of Lucha Libre - Tag 1- Event @ York Hall in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
10,13.10.2024,,"IOCW Title:Cinta de Oro(c) defeatsAereoCinta De Oro MountainStar Sports Group Amigo Airsho - Tag 2- Event @ Biggs Army Airfield in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
11,12.10.2024,,"IOCW Title:Cinta de Oro(c) defeatsBobby Lee Jr.by DQCinta De Oro MountainStar Sports Group Amigo Airsho - Tag 1- Event @ Biggs Army Airfield in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
12,06.10.2024,,"Bobby Lee Jr.defeatsCinta de Oro(16:32)Todo X El Todo La Gira De Despedida De El Hijo Del Santo - X Ultima Vez En Leon- Event @ Palenque de Leon in Leon, Guanajuato, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
13,04.10.2024,,"Best Two Out Of Three Falls:Sangre Texano(El Texano Jr.&Super Nova) &Bobby Lee Jr.defeatCiclon Ramirez Jr.,Cinta de Oro&El Hijo del Alebrije[2:1] (20:48)Todo X El Todo La Gira De Despedida De El Hijo Del Santo - X Ultima Vez En Queretaro- Event @ Arena Arteaga in Santiago de Queretaro, Queretaro, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
14,22.09.2024,,"Ruleta De La Muerte Torneo First Round:Bobby Lee Jr.&Cinta de OrodefeatHijo de Mascara Ano 2000&Rayman(3:45)Todo X El Todo La Gira De Despedida De El Hijo Del Santo- Online Stream @ Arena Ciudad de Mexico in Azcapotzalco, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
15,22.09.2024,,"Ruleta De La Muerte Torneo Seeding Battle Royal:El Hijo de Mascara SagradaandSuper NovadefeatCiclon Ramirez Jr.andCinta de OroandDr. Wagner Jr.andEl Hijo del SantoandEl Texano Jr.andRayman(5:55)Todo X El Todo La Gira De Despedida De El Hijo Del Santo- Online Stream @ Arena Ciudad de Mexico in Azcapotzalco, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
16,21.09.2024,,"IOCW Title:Cinta de Oro(c) defeatsMarty ScurllCinta De Oro 25 Aniversario: LuchaPalooza- Event @ Old Sheepdog Brewery in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
17,25.08.2024,,"Alberto El Patron,Cinta de Oro&Samuray del SoldefeatChavo Guerrero Jr.,Magno&Matt RiddleAAA/Al Borde Producciones AnIIversario- Event @ Gimnasio Municipal Josue Neri Santos in Ciudad Juarez, Chihuahua, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
18,24.08.2024,,"IOCW Title:Cinta de Oro(c) defeatsDon JuanHybrid School Of Wrestling 5 Years Of The Experience- Event @ Hybrid School Of Wrestling Arena in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
19,07.07.2024,,"IOCW TitleFour Way Ladder:Cinta de OrodefeatsBobby Lee Jr.(c) andDMT AzulandGaleno Del Mal-TITLE CHANGE !!!Cinta de Oro Noche De Luchaguetza- Event @ Arena Oaxaca in Oaxaca, Oaxaca, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
20,18.05.2024,,"Alberto Del Rio&Cinta de OrodefeatChavo Guerrero&Sam AdonisLucha Time Global Tour- Event @ Buyers 2 Arena in Odessa, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
21,12.05.2024,,"Cinta de Oro,Magno,Mecha Wolf&PaganodefeatBlue Demon Jr.,Samuray VIP&Steven JuarezArre Con Cruz- Event @ Parque Oriented Chuy Mota in Ciudad Juarez, Chihuahua, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
22,14.04.2024,,"IOCW Title:Bobby Lee Jr.defeatsCinta de Oro(c) -TITLE CHANGE !!!Cinta de Oro La Leyenda Continua- Event @ Salon Esencia in Leon de los Aldama, Guanajuato, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
23,18.02.2024,,"IOCW Title:Cinta de Oro(c) defeatsBobby Lee Jr.Cinta de Oro Noche de Campeones- Event @ El Maida Shrine in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
24,21.12.2023,,"IOCW TitleFour Way Ladder:Cinta de OrodefeatsAndrade El Idolo(c) andDMT AzulandPenta El Zero M(23:02) -TITLE CHANGE !!!Dioses Del Ring The Best Of The Year- Event @ Arena Olimpico Laguna in Gomez Palacio, Durango, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
25,10.12.2023,,"Alberto El Patron,El Hijo de Dos Caras&King CharrodefeatCinta de Oro,Sam Adonis&SimboloPlantando Bandera- Event @ Athletic Complex in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
26,08.12.2023,,"Alberto El Patron,Cinta de Oro&King CharrodefeatEl Hijo de Dos Caras,Rey Espectro&Sam Adonis3 Bat Plantando Bandera- Event @ Harlingen Convention Center in Harlingen, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
27,27.11.2023,,"IOCW Title:Andrade El IdolodefeatsCinta de Oro(c) -TITLE CHANGE !!!Cinta de Oro Cuentas Pendientes- Event @ El Maida Shrine in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
28,01.10.2023,,"International Open Challenge World Title:Cinta de Oro(c) vs.Andrade El Idolo- No Contest2nd Festival De Lucha Libre Juarez- Event @ Gran Plaza Juan Gabriel in Ciudad Juarez, Chihuahua, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
29,28.07.2023,,"Alberto Del Rio,Cinta de Oro&LA ParkdefeatCharly Manson,Dr. Wagner Jr.&Mr. ElectroWrestling In San Luis Potosi- Event @ Plaza de Toros Monumental El Paseo in San Luis Potosi, San Luis Potosi, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
30,03.06.2023,,"International Open Challenge World Title:Cinta de Oro(c) defeatsJuventud GuerreraUPW Unleashed- Event @ The Club Teen Center in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
31,07.05.2023,,"International Open Challenge World Title:Cinta de Oro(c) defeatsRafaga Jr.Arena Coliseo X Aniversario- Event @ Arena Coliseo de Chihuahua in Chihuahua, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
32,19.11.2022,,"Alberto El Patron&Cinta de Orodefeat Rey Aguila & Ultimo TigerDos Caras Tribute Show- Event @ Plaza de Dos Caras in San Luis Potosi, San Luis Potosi, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
33,06.11.2022,,"Alberto El Patron,Cinta de Oro&LA ParkdefeatCarlito,Primo Colon&Travis BanksNLL- Event @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
34,06.11.2022,,"Three Way:El Hijo del FishmandefeatsAlberto El PatronandCinta de Oroby Count OutNLL- Event @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
35,06.11.2022,,"Three Way:Galeno Del MaldefeatsCinta de OroandPrimo ColonNLL- Event @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
36,04.11.2022,,"International Open Challenge World Title:Cinta de Oro(c) defeatsEl Cobarde NG1st Annual Battle Of The Best- Event @ Calvary West Christian School in Anthony, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
37,24.09.2022,,"Alberto El Patron,Cinta de Oro&Dr. Wagner Jr.defeatAkbar Farat,Carlito&Primo ColonNLL- Event @ Unidad Cuauhtemoc in Naucalpan de Juarez, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
38,24.09.2022,,"Four Way:Cinta de Orodefeats ??? andSuper NovaandSamuray del SolNLL- Event @ Unidad Cuauhtemoc in Naucalpan de Juarez, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
39,23.07.2022,,"International Open Challenge World Title:Cinta de Oro(c) defeatsRed AmethysACW The Golden Show- Event @ Zaragoza, Aragon, Spanien",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
40,16.07.2022,,"Five Way:Cinta de Oro&Mascara DoradadefeatWestside Mafia(Morgan&Tabu) and Sexy Classics (??? & ???) andLos Judas Melendez(Alex Melendez & Victor Melendez) and Los Bruno (??? & ???)LAWE SummerFest- Event @ Anfiteatro Tito Puente in San Juan, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
41,01.07.2022,,"The Crash Heavyweight TitleFour Way:LA ParkdefeatsCinta de Oro(c) andEl Texano Jr.andPierroth Jr.-TITLE CHANGE !!!The Crash- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
42,26.06.2022,,"Cinta de Oro&Samuray del SoldefeatLa Anexion(??? & ???)MLA 25- Event @ Espacio Discotheque in Norcross, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
43,13.05.2022,,"Cinta de Oro&Samuray del SoldefeatErick Redbeard&JONAHThe Crash- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
44,08.05.2022,,"Cinta de Oro,Draego&SniperdefeatDr. Wagner Jr.,Galeno Del Mal&ReyckoWrestling In Guadalajara- Event @ Arena Jalisco in Guadalajara, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
45,18.03.2022,,"The Crash Heavyweight TitleThree Way Match (vakant):Cinta de OrodefeatsLince DoradoandPenta El Zero M-TITLE CHANGE !!!The Crash- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
46,20.11.2021,,"International Open Challenge World Title:Cinta de Oro(c) defeatsEl CuervoLAWE Origines- Event @ Coliseo Mario Morales in Guaynabo, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
47,31.10.2021,,"International Open Challenge World TitleFour Way:Cinta de Oro(c) defeatsBandidoandEl Texano Jr.andPenta el 0M(22:00)Big Lucha Expo Museo Lucha Libre- Event @ Palenque del Feria in Metepec, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
48,22.09.2021,,"International Open Challenge World Title:Cinta de OrodefeatsRayo(c) (17:43) -TITLE CHANGE !!!Lucha Frontera- Event @ El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
49,12.09.2021,,"Cinta de Oro,El Hijo de Dos Caras&MaximodefeatAkbar Farat,Apolo&Super NovaRobles Promotions- Event @ Arena Lopez Mateos in Tlalnepantla, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
50,28.08.2021,,"Alberto El Patron,Cinta de Oro& Misterio defeatBlue Demon Jr.,Dr. Wagner Jr.&LA ParkPromociones El Cholo de Tijuana CholoMania 2- Event @ Plaza Montumental in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
51,26.08.2021,,"Three Way:Cinta de Oro&Penta el 0MdefeatAlberto El Patron&LA ParkandCarlito&El Texano Jr.RPP Hencho En Mexico- Event @ Pepsi Center WTC in Benito Juarez, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
52,31.07.2021,,"Cinta de Oro&El Texano Jr.defeatEl Hijo de Dos Caras&Psycho ClownRPP Hencho En Mexico- Event @ Payne Arena in Hidalgo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
53,18.06.2021,,"Cinta de Oro& Uzziel defeatAkbar Farat&El Hijo de Dos CarasFIW- Event @ D'Gala Event Centre in Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
54,28.05.2021,,"Cinta de Oro&MagnodefeatGino Medina& Venom XtremePromociones Martinez Clash Warriors- Event @ Soccer Zone Arena in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
55,28.11.2020,,"Tag Team Tables:Cinta de Oro&MagnodefeatThe Colons(Epico&Primo)AEMG- Event @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
56,19.04.2020,,"Cinta de Oro&PaganodefeatAereo&El Hijo del ImpostorNoa Noa Style- TV-Show @ Arena Kalaka in Ciudad Juarez, Chihuahua, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
57,12.11.2019,,"AndradedefeatsSin CaraWWE Live- House Show @ Zenith Arena de Lille in Lille, Nord, Frankreich",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
58,11.11.2019,,"11 Man Rumble:Shorty GdefeatsAndradeandApollo CrewsandBo DallasandCesaroandDolph ZigglerandGran MetalikandKalistoandLince DoradoandRobert RoodeandSin Cara(12:15)WWE Live- House Show @ Wiener Stadthalle in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
59,10.11.2019,,"AndradedefeatsSin CaraWWE Live- House Show @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
60,09.11.2019,,"AndradedefeatsSin CaraWWE Live- House Show @ Butlins Arena in Minehead, Somerset, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
61,08.11.2019,,"Drew McIntyredefeatsSin Cara(3:56)WWE Monday Night RAW #1381- TV-Show @ Manchester Arena in Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
62,07.11.2019,,"AndradedefeatsSin CaraWWE Live- House Show @ Brighton Centre in Brighton, East Sussex, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
63,04.11.2019,,"Mixed:Andrade&Zelina VegadefeatCarolina&Sin Cara(7:25)WWE Monday Night RAW #1380- TV-Show @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
64,31.10.2019,,"WWE United States Title#1 Contendership 20 Man Battle Royal:Humberto CarrillodefeatsAkira TozawaandAndradeandApollo CrewsandBuddy MurphyandCedric AlexanderandDrake MaverickandErick RowanandEric YoungandHeath SlaterandLuke HarperandMojo RawleyandNo Way JoseandR-TruthandShelton BenjaminandSin CaraandSunil SinghandThe Brian KendrickandTitus O'NeilandTony Nese(12:25)WWE Crown Jewel 2019 Kickoff- Online Stream @ King Fahd International Stadium in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
65,28.10.2019,,"AndradedefeatsSin Cara(3:10)WWE Monday Night RAW #1379- TV-Show @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
66,21.10.2019,,"AndradedefeatsSin Cara(12:00)WWE Monday Night RAW #1378- TV-Show @ Rocket Mortgage FieldHouse in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
67,29.09.2019,,"The Lucha House Party(Kalisto&Lince Dorado),Sin Cara&Titus O'NeildefeatDrew Gulak,EC3,Eric Young&Tony NeseWWE Live- House Show @ Tucson Convention Center in Tucson, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
68,28.09.2019,,"The Lucha House Party(Kalisto&Lince Dorado),Sin Cara&Titus O'NeildefeatDrew Gulak,EC3,Eric Young&Tony NeseWWE Live- House Show @ Prescott Valley Events Center in Prescott Valley, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
69,27.09.2019,,"The Lucha House Party(Kalisto&Lince Dorado),Sin Cara&Titus O'NeildefeatDrew Gulak,EC3,Eric Young&Tony NeseWWE Live- House Show @ Don Haskins Center in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
70,07.06.2019,,"51 Man Battle Royal:MansoordefeatsAkamandAkira TozawaandAliandApollo CrewsandBo DallasandBrian KendrickandBuddy MurphyandCedric AlexanderandCesaroandChad GableandCurt HawkinsandCurtis AxelandDash WilderandDrew GulakandEC3andEliasandEric YoungandErikandHeath SlaterandHumberto CarrilloandIvarandJey UsoandJimmy UsoandJinder MahalandKarl AndersonandLuke GallowsandMatt HardyandMike KanellisandMojo RawleyandNo Way JoseandOney LorcanandOtisandRezarandRicochetandRobert RoodeandRowanandRusevandSamir SinghandSamoa JoeandScott DawsonandShelton BenjaminandShinsuke NakamuraandSin CaraandSunil SinghandThe MizandTitus O'NeilandTony NeseandTuckerandXavier WoodsandZack Ryder(18:00)WWE Super ShowDown 2019- Premium Live Event @ King Abdullah Sports City Stadium in Jeddah, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
71,05.08.2018,,"Sin CaradefeatsAiden EnglishWWE Live- House Show @ Albany Civic Center in Albany, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
72,04.08.2018,,"Sin CaradefeatsAiden EnglishWWE Live- House Show @ Pensacola Bay Center in Pensacola, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
73,30.07.2018,,"Sin CaradefeatsTye DillingerWWE Live- House Show @ Germain Arena in Fort Myers, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0f/CintaDeOro.jpg
