date,event,result,location,image_url
1,10.07.2024,,"ROH World Title#1 Contendership:Roderick StrongdefeatsDalton Castle(10:54)AEW Collision #53- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",
2,06.07.2024,,"Lance Archer&The Righteous(Dutch&Vincent) defeatDalton Castle&The Outrunners(Truth Magnum&Turbo Floyd) (9:38)ROH on HonorClub #73- Online Stream @ Southaven, Mississippi, USA",
3,20.06.2024,,"Shingo TakagidefeatsDalton Castle(7:55)AEW Rampage #151- TV-Show @ PPL Center in Allentown, Pennsylvania, USA",
4,15.06.2024,,"HechicerodefeatsDalton Castle(3:51)AEW Collision #49 - 1 Year Anniversary- TV-Show @ Covelli Centre in Youngstown, Ohio, USA",
5,30.05.2024,,"Four Corner Survival 12 Man:Action Andretti&Top Flight(Dante Martin&Darius Martin) defeatDalton Castle&The Infantry(Carlie Bravo&Shawn Dean) andLance Archer&The Righteous(Dutch&Vincent) andThe Dark Order(Alex Reynolds,Evil Uno&John Silver) (9:17)ROH on HonorClub #68- Online Stream @ Acrisure Arena in Palm Desert, California, USA",
6,25.05.2024,,"ROH World Television Title:Kyle Fletcher(c) defeatsDalton Castle(12:19)ROH on HonorClub #67- Online Stream @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",
7,11.05.2024,,"Trent BerettadefeatsDalton Castle(9:38)AEW Rampage #144- TV-Show @ Rogers Arena in Vancouver, British Columbia, Canada",
8,05.04.2024,,"Fight Without Honor:Dalton CastledefeatsJohnny TV(22:06)ROH Supercard Of Honor 2024- Online Stream @ Liacouras Center in Philadelphia, Pennsylvania, USA",
9,17.03.2024,,"No Holds Barred:Dalton CastledefeatsPsycho MikeMystery Wrestling #07- Online Stream @ Centre Aydelu in Gatineau, Quebec, Canada",
10,16.03.2024,,"Dalton CastledefeatsNick Comoroto(2:46)ROH on HonorClub #57- Online Stream @ Canadian Tire Centre in Ottawa, Ontario, Canada",
11,24.02.2024,,"Custody Of The Boys:Johnny TVdefeatsDalton Castle(12:26)ROH on HonorClub #53- Online Stream @ Great Southern Bank Arena in Springfield, Missouri, USA",
12,10.02.2024,,"Dalton CastledefeatsKenny King(4:55)ROH on HonorClub #51- Online Stream @ The Dollar Loan Center in Henderson, Nevada, USA",
13,27.01.2024,,"Dalton CastledefeatsAaron Solo(3:18)ROH on HonorClub #49- Online Stream @ Brookshire Grocery Arena in Bossier City, Louisiana, USA",
14,30.12.2023,,"AEW TNT TitleRight To Challenge Anytime, Anywhere Battle Royal:KillswitchdefeatsAction AndrettiandAlex ReynoldsandAngelo ParkerandBryan KeithandChristopher DanielsandDalton CastleandDanhausenandDarius MartinandJohnny TVandJohn SilverandKip SabianandLance ArcherandLee JohnsonandMatt MenardandRocky RomeroandSerpenticoandThe BladeandThe ButcherandTrent Beretta(13:51)AEW Worlds End 2023 - Zero Hour- Online Stream @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",
15,23.12.2023,,"Dalton CastledefeatsPeter Avalon(6:36)ROH on HonorClub #45- Online Stream @ Frost Bank Center in San Antonio, Texas, USA",
16,16.12.2023,,"Dalton Castle,Gravity&The Boys(Brandon&Brent) defeatCole Karter,Griff Garrison&Spanish Announce Project(Angelico&Serpentico) (6:56)ROH on HonorClub #43- Online Stream @ Curtis Culwell Center in Garland, Texas, USA",
17,15.12.2023,,"ROH World Television TitleSurvival Of The Fittest 2023 Final Six Way Elimination Match (vakant):Kyle FletcherdefeatsBryan KeithandDalton CastleandKomanderandLee JohnsonandLee Moriarty(25:54) -TITLE CHANGE !!!ROH Final Battle 2023- Online Stream @ Curtis Culwell Center in Garland, Texas, USA",
18,05.12.2023,,"Dalton Castle&The Boys(Brandon&Brent) defeatIron Savages(Boulder&Bronson) &Jacked Jameson(7:25)ROH on HonorClub #42- Online Stream @ Bell Centre in Montreal, Quebec, Canada",
19,25.11.2023,,"Dalton CastledefeatsJohnny TV(9:10)ROH on HonorClub #41- Online Stream @ Pittsburgh, Pennsylvania, USA",
20,22.11.2023,,"ROH World Television TitleSurvival Of The Fittest 2023 Eliminator:Dalton CastledefeatsEvil Uno(7:29)ROH on HonorClub #40- Online Stream @ Wintrust Arena in Chicago, Illinois, USA",
