date,event,result,location,image_url
1,05.09.2025,,"The Good Brothers(Doc Gallows&Karl Anderson) defeatThe Flatliners(Asylum&Matt Burns)MLP Sacred Ground- Online Stream @ Six Nations Sports & Cultural Memorial Centre in Ohsweken, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
2,30.08.2025,,"Gilbert&LightningdefeatThe Good Brothers(Doc Gallows&Karl Anderson)WWC 52. Aniversario- Event @ Coliseo Ruben Rodriguez in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
3,23.08.2025,,"The Good Brothers(Doc Gallows&Karl Anderson) defeatBobby V&DysfunctionBCW Summer Sizzler 2025- Event @ Elks Lodge 400 in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
4,09.08.2025,,"Doc Gallowsdefeats MonstrosityLPW Hardcore Havoc 25- Event @ Old West Laurens Building in Dublin, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
5,08.08.2025,,"Doc Gallowsdefeats MonstrosityLPW Made In Americus- Event @ Sumter County Recreation Department in Americus, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
6,27.07.2025,,"ALW Tag Team TitleMatch (vakant):Brothers In Arms(Babathunder&Jason Dugan) defeatThe Good Brothers(Karl Anderson&Luke Gallows) (11:42) -TITLE CHANGE !!!ALW Star Spangled Slammer 9- Event @ Ocean Center in Daytona Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
7,26.07.2025,,"The Good Brothers(Doc Gallows&Karl Anderson) defeatBryce Hansen&Sheldon JeanMLP Downtown Showdown- Event @ Intersection Of Ouellette Ave & University Ave in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
8,23.07.2025,,"TUW Tag Team Title:Les Invincibles(Franky The Mobster&Marko Estrada) (c) defeatThe Good Brothers(Karl Anderson&Luke Gallows)TUW Wild Ride II- Event @ Festivite Western in Saint-Victor, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
9,12.07.2025,,"Doc Gallows&Eric Youngdefeat Gavin Miller &Shane MaliceWDWA Hot And Bothered 2025- Event @ South Berkeley Fire Hall in Inwood, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
10,05.07.2025,,"The Good Brothers(Doc Gallows&Karl Anderson) defeatBULLET CLUB War Dogs(David Finlay&Drilla Moloney) (11:36)MLP Resurrection- Pay Per View @ Colisée de Laval in Laval, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4d/Doc_Gallows_2016.JPG
