date,event,result,location,image_url
1,12.07.2025,,"WWE World Heavyweight  Title:Gunther(c) defeatsGoldberg(14:23)WWE Saturday Night's Main Event #40- TV-Show @ State Farm Arena in Atlanta, Georgia, USA",
2,19.02.2022,,"WWE Universal Title:Roman Reigns(c) defeatsGoldbergby referee's decision (6:00)WWE Elimination Chamber 2022- Premium Live Event @ Jeddah Super Dome in Jeddah, Saudi-Arabien",
3,21.10.2021,,"No Holds Barred Falls Count Anywhere:GoldbergdefeatsBobby Lashley(11:25)WWE Crown Jewel 2021- Premium Live Event @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",
4,21.08.2021,,"WWE Title:Bobby Lashley(c) defeatsGoldbergby referee's decision (7:10)WWE SummerSlam 2021- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",
5,31.01.2021,,"WWE Title:Drew McIntyre(c) defeatsGoldberg(2:32)WWE Royal Rumble 2021- Premium Live Event @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",
6,25.03.2020,,"WWE Universal Title:Braun StrowmandefeatsGoldberg(c) (2:13) -TITLE CHANGE !!!WWE WrestleMania 36 - Tag 1- Premium Live Event @ WWE Performance Center in Orlando, Florida, USA",
7,27.02.2020,,"WWE Universal Title:GoldbergdefeatsThe Fiend(c) (2:59) -TITLE CHANGE !!!WWE Super ShowDown 2020- Premium Live Event @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",
8,11.08.2019,,"GoldbergdefeatsDolph Ziggler(1:50)WWE SummerSlam 2019- Premium Live Event @ Scotiabank Arena in Toronto, Ontario, Canada",
9,07.06.2019,,"The UndertakerdefeatsGoldberg(8:35)WWE Super ShowDown 2019- Premium Live Event @ King Abdullah Sports City Stadium in Jeddah, Saudi-Arabien",
10,02.04.2017,,"WWE Universal Title:Brock LesnardefeatsGoldberg(c) (4:45) -TITLE CHANGE !!!WWE WrestleMania 33 - ""The Ultimate Thrill Ride""- Premium Live Event @ Camping World Stadium in Orlando, Florida, USA",
11,05.03.2017,,"WWE Universal Title:GoldbergdefeatsKevin Owens(c) (0:22) -TITLE CHANGE !!!WWE Fastlane 2017- Premium Live Event @ BMO Harris Bradley Center in Millwaukee, Wisconsin, USA",
