date,event,result,location,image_url
1,02.08.2025,,"WWE World Heavyweight  Title:CM PunkdefeatsGunther(c) (30:19) -TITLE CHANGE !!!WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
2,27.07.2025,,"WWE World Heavyweight  Title:Gunther(c) defeatsPentaWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
3,26.07.2025,,"WWE World Heavyweight  Title:Gunther(c) defeatsPenta(10:32)WWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
4,20.07.2025,,"WWE World Heavyweight  Title:Gunther(c) defeatsPentaWWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
5,19.07.2025,,"WWE World Heavyweight  Title:Gunther(c) defeatsPentaWWE SuperShow- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
6,12.07.2025,,"WWE World Heavyweight  Title:Gunther(c) defeatsGoldberg(14:23)WWE Saturday Night's Main Event #40- TV-Show @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
7,11.07.2025,,"DarkWWE World Heavyweight  TitleExtreme Rules:Gunther(c) defeatsJey UsoWWE Friday Night SmackDown #1351- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
8,09.06.2025,,"WWE World Heavyweight  Title:GuntherdefeatsJey Uso(c) (22:05) -TITLE CHANGE !!!WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
9,10.05.2025,,"GuntherdefeatsPat McAfee(14:07)WWE Backlash 2025- Premium Live Event @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
10,19.04.2025,,"WWE World Heavyweight  Title:Jey UsodefeatsGunther(c) (16:21) -TITLE CHANGE !!!WWE WrestleMania 41 - Saturday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Abfahrt_der_Burgunder_ins_Hunnenland_Aufbruch_der_Koenige_von_Worms_Hundeshagenscher_Kodex.jpeg
