date,event,result,location,image_url
1,29.06.2025,,"IWGP World Heavyweight Title:Zack Sabre Jr.defeatsHirooki Goto(c) by referee's decision (28:14) -TITLE CHANGE !!!NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
2,27.06.2025,,"Hirooki Goto,Oleg Boltin&Yuya UemuradefeatTMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) (13:48)NJPW New Japan Soul 2025 - Tag 7- Event @ Shiga Theatre for Cultural and Industrial Development Event Hall in Maibara, Shiga, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
3,26.06.2025,,"TMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) defeatHirooki Goto,Shota Umino&Tomoaki Honma(12:35)NJPW New Japan Soul 2025 - Tag 6- Event @ Chino Cultural Complex in Chino, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
4,23.06.2025,,"Hirooki Goto,Oleg Boltin&Shota UminodefeatTMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) (9:11)NJPW New Japan Soul 2025 - Tag 5- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
5,22.06.2025,,"TMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) defeatHirooki Goto,Tomoaki Honma&Yuya Uemura(15:30)NJPW New Japan Soul 2025 - Tag 4- Event @ Toyota Crown Arena in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
6,21.06.2025,,"Hirooki Goto,Oleg Boltin&Shota UminodefeatTMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) (17:03)NJPW New Japan Soul 2025 - Tag 3- Online Stream @ Yamagata Big Wing in Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
7,19.06.2025,,"Hirooki Goto,Tomoaki Honma&Yuya UemuradefeatTMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) (15:26)NJPW New Japan Soul 2025 - Tag 2- Online Stream @ Hachinohe City East Gymnasium in Hachinohe, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
8,18.06.2025,,"El Phantasmo,Hirooki Goto&Shota UminodefeatTMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) (14:28)NJPW New Japan Soul 2025 - Tag 1- Online Stream @ Aomori Martial Arts Hall in Hirosaki, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
9,15.06.2025,,"IWGP World Heavyweight Title:Hirooki Goto(c) defeatsShingo Takagi(28:25)NJPW Dominion 6.15 In Osaka-Jo Hall- TV-Show @ Osaka-Jo Hall in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
10,01.06.2025,,"Hiromu Takahashi&Shingo TakagidefeatHirooki Goto&Ryusuke Taguchi(9:10)NJPW Best Of The Super Junior 32 - Tag 13- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
11,09.05.2025,,"IWGP World Heavyweight Title:Hirooki Goto(c) vs.Zack Sabre Jr.- Double Pin (17:28)NJPW Resurgence 2025- Pay Per View @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
12,04.05.2025,,"IWGP World Heavyweight Title:Hirooki Goto(c) defeatsCallum Newman(24:01)NJPW Wrestling Dontaku 2025 - Tag 2- TV-Show @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
13,03.05.2025,,"Bishamon(Hirooki Goto&YOSHI-HASHI) &Ryusuke TaguchidefeatUnited Empire(Callum Newman,Great-O-Khan&Jakob Austin Young) (10:43)NJPW Wrestling Dontaku 2025 - Tag 1- Online Stream @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
14,01.05.2025,,"Bishamon(Hirooki Goto&YOSHI-HASHI),El Phantasmo&Ryusuke TaguchidefeatUnited Empire(Callum Newman,Francesco Akira,Great-O-Khan&Jakob Austin Young) (16:07)NJPW Road To Wrestling Dontaku 2025 - Tag 8- Event @ Ichiki-Kushikino Gymnasium in Ichiki-Kushikino, Kagoshima, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
15,30.04.2025,,"Bishamon(Hirooki Goto&YOSHI-HASHI),El Phantasmo&Ryusuke TaguchidefeatUnited Empire(Callum Newman,Francesco Akira,Great-O-Khan&Jakob Austin Young) (14:01)NJPW Road To Wrestling Dontaku 2025 - Tag 7- Online Stream @ Grand Messe Kumamoto in Mashiki, Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
16,29.04.2025,,"United Empire(Callum Newman,Francesco Akira&Jakob Austin Young) defeatBishamon(Hirooki Goto&YOSHI-HASHI) &Ryusuke Taguchi(9:50)NJPW Wrestling Hizen no Kuni- Online Stream @ Saga Arena in Saga, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
17,27.04.2025,,"Bishamon(Hirooki Goto&YOSHI-HASHI) &El DesperadodefeatUnited Empire(Callum Newman,Jakob Austin Young&Templario) (9:11)NJPW Road To Wrestling Dontaku 2025 - Tag 6- Online Stream @ KDDI Ishin Hall in Yamaguchi, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
18,26.04.2025,,"IWGP Tag Team TitleMatch (vakant):United Empire(Callum Newman&Great-O-Khan) defeatBishamon(Hirooki Goto&YOSHI-HASHI) (16:01) -TITLE CHANGE !!!NJPW Wrestling Redzone in Hiroshima- Online Stream @ Hiroshima Sun Plaza in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
19,25.04.2025,,"United Empire(Callum Newman,Francesco Akira,Great-O-Khan,Jakob Austin Young&Templario) defeatEl Desperado,El Phantasmo,Hirooki Goto,Jado&Ryusuke Taguchi(10:05)NJPW Road To Wrestling Dontaku 2025 - Tag 5- Event @ Kochi Prefectural Gymnasium in Kochi, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
