date,event,result,location,image_url
1,02.09.2018,,"Jake Robertsdefeats IamThePROVIDERBBOW No Limits Pro Wrestling- Event @ Eagle County Fairgrounds in Eagle, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
2,21.08.2018,,"Danny Duggan,Jake Roberts&Tyler ColtondefeatAJ Sanchez,Anderson Tyson Moore&Kevin O'DoyleCWE Live Pro Wrestling- Event @ Ginew School Gym in Roseau River, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
3,21.08.2018,,"Battle Royal:Tyler ColtondefeatsAJ SanchezandAnderson Tyson MooreandDanny DugganandDragneelandJake RobertsandJak LydonandKevin CannonandKevin O'DoyleandRob StardomandWildman FirpoandTasty TravisCWE Live Pro Wrestling- Event @ Ginew School Gym in Roseau River, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
4,24.04.2016,,"Funny Bone,Jake Roberts& The Ghost Of Macho Man defeat The Rainbow Reich (Bobby Sharp&Greg Romero) & Gaydolf HitlerFreakshow- Event @ Fremont Country Club in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
5,19.03.2016,,"Jake Roberts&Steve ScottdefeatDonny Dixon& Ken CastleFTW Resurrection- Event @ La Boom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
6,19.09.2015,,"G-Fed,Jake Roberts&The BruiserdefeatThe Dixon Line Security(Joe Keys&Rob Locke) &Ken DixonMCW Autumn Armageddon Tour 2015 - Tag 1- Event @ Hollywood Volunteer Fire Department in Hollywood, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
7,13.09.2015,,"Jake Robertsdefeats Tommy StarrWC- Event @ Membertou Trade & Convention Centre in Membertou, Nova Scotia, Canada",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
8,12.09.2015,,"Gary Williams&Jake RobertsdefeatBrody Steele&Riddick Stoneby DQIHW- TV-Show @ Curling Club in Miramichi, New Brunswick, Canada",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
9,11.09.2015,,"Jake Roberts&TitusdefeatBrody Steele&Markus BurkeIHW- TV-Show @ Old Cosmo Complex in Moncton, New Brunswick, Canada",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
10,29.08.2015,,"Jake RobertsdefeatsAl FaratIWR Rise Of The Revolution- Event @ Firelake Arena in Shawnee, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
11,11.07.2015,,"Jake Roberts&Jeremy ElliottdefeatMarkus Ryan&Tomer ShalomCW- Event @ Dunnville Memorial Arena in Dunnville, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
12,13.06.2015,,"Jake Roberts&Sean WaltmandefeatThe Playaz Club(Danny Demanto&Erik Andretti)JCW Six Flags Event- Event @ Six Flags Boulevard in Jackson, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
13,17.05.2015,,"Jake Roberts,Santana Garrett&X-PacdefeatThe Playaz Club(Chasyn Rance,Danny Demanto&Erik Andretti)JCW Skate And Surf Festival - Tag 2- Event @ Bradley Park & Ocean Ave in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
14,25.04.2015,,"The Heavenly Bodies(Desirable Dustin&Gigolo Justin) defeatJake Roberts&Kevin MatthewsPWS Spring Breakdown 2015- Event @ Rahway Rec Center in Rahway, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
15,04.04.2015,,"Jake RobertsdefeatsTyrekDynasty Driven- Event @ Boys & Girls Club in Troy, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
16,06.07.2014,,"Eight Man Elimination:Big Duke,Danny Duggan,Jake Roberts&Mikey O'SheadefeatThe Wrecking Crew(Alexander Hammerstone,Jeremy Blanchard,The Grappler&The Grappler 3)WCWC- Event @ Houck Middle School in Salem, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
17,15.06.2014,,"30 Man Red Carpet Rumble:Willie MackdefeatsAlexander PaulandBig DukeandCedric The HitmanandChe CabreraandDan JosephandEric CrossandEthan HDandFidel BravoandHoss SuttonandIan W. SuttonandJake RobertsandJarek MatthewsandJoey RyanandJohnny GoodtimeandJohnny YumaandLeo BlazeandMatt StrikerandMikey O'SheaandNick MadridandOthelloandPeter AvalonandRyan TaylorandSasha DarevkoandSean WaltmanandStu StoneandThe HoboandTito EscondidoandTodd ChandlerandTyler BatemanCWFH Red Carpet Rumble 2014- Event @ Oceanview Pavillion in Port Hueneme, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/fd/Jake_%22The_Snake%22_Roberts.jpg
