date,event,result,location,image_url
1,29.03.2025,,"Jay WhitedefeatsKevin Knight(10:39)AEW Collision #86- TV-Show @ UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
2,05.03.2025,,"Jay WhitedefeatsMax Caster(0:40)AEW Dynamite #283- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
3,15.02.2025,,"Brisbane Brawl:Death Riders(Claudio Castagnoli&Jon Moxley) defeatCope&Jay Whiteby referee's decision (14:40)AEW Grand Slam Australia 2025- TV-Show @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
4,29.01.2025,,"Jay WhitedefeatsWheeler Yuta(13:37)AEW Dynamite #278- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
5,08.01.2025,,"AEW World Title#1 Contendership Casino Gauntlet:Powerhouse HobbsdefeatsAdam ColeandAdam PageandDaniel GarciaandJay WhiteandJeff JarrettandKyle O'ReillyandLance ArcherandRicochetandRoderick StrongandWheeler Yuta(26:33)AEW Dynamite #275- TV-Show @ F&M Bank Arena in Clarksville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
6,01.01.2025,,"Casino Gauntlet #1 Spot Three Way:Jay WhitedefeatsRoderick StrongandSwerve Strickland(10:34)AEW Dynamite #274 - Fight For The Fallen 2025- TV-Show @ Harrah's Cherokee Center in Asheville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
7,28.12.2024,,"AEW World TitleFour Way:Jon Moxley(c) defeatsAdam PageandJay WhiteandOrange Cassidy(15:39)AEW Worlds End 2024- Pay Per View @ Addition Financial Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
8,18.12.2024,,"Death Riders(Jon Moxley,PAC&Wheeler Yuta) defeatAdam Page,Jay White&Orange Cassidy(11:59)AEW Dynamite #272 - Holiday Bash 2024 - Tag 1- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
9,11.12.2024,,"Death Riders(Jon Moxley&PAC) defeatJay White&Orange Cassidyby DQ (14:13)AEW Dynamite #271 - Winter Is Coming 2024 - Tag 1- TV-Show @ T-Mobile Center in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
10,04.12.2024,,"Jay WhitedefeatsPAC(13:25)AEW Dynamite #270- TV-Show @ Fishers Event Center in Fishers, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
11,23.11.2024,,"Jay WhitedefeatsAdam Page(19:52)AEW Full Gear 2024- Pay Per View @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
