date,event,result,location,image_url
1,05.09.2025,,"TNA World Tag Team Title:The Hardys(Jeff Hardy&Matt Hardy) (c) defeatThe Nemeths(Nic Nemeth&Ryan Nemeth) (11:56)TNA iMPACT #1104- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
2,04.09.2025,,"Mixed:Mara Sade&The Hardys(Jeff Hardy&Matt Hardy) defeatOrder 4(Jason Hotch,John Skyler&Tasha Steelz) (10:01)TNA iMPACT #1102- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
3,16.08.2025,,"The Hardys(Jeff Hardy&Matt Hardy) defeatCedric Alexander&Leon Slater(10:36)TNA iMPACT #1101- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
4,15.08.2025,,"TNA World Tag Team Title:The Hardys(Jeff Hardy&Matt Hardy) (c) defeatThe Rascalz(Myron Reed&Zachary Wentz) (11:50)TNA Emergence 2025- Online Stream @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
5,09.08.2025,,"The Hardys(Jeff Hardy&Matt Hardy) defeatSwipe Right(Brad Baylor&Ricky Smokes) (13:47)Limitless Vacationland Cup 2025- Online Stream @ The Colisee in Lewiston, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
6,26.07.2025,,"The Hardys(Jeff Hardy&Matt Hardy) defeatThe Misled Youth(Joshua Masters&Jude Mackenzie) (11:50)GWE GalaxyCon Street Fest- Online Stream @ City Plaza At Raleigh Convention Center in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
7,25.07.2025,,"Cedric Alexander&The Rascalz(Myron Reed&Zachary Wentz) defeatLeon Slater&The Hardys(Jeff Hardy&Matt Hardy) (18:58)TNA iMPACT #1099- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
8,20.07.2025,,"TNA World Tag Team TitleFour Way Ladder:The Hardys(Jeff Hardy&Matt Hardy) defeatThe Nemeths(Nic Nemeth&Ryan Nemeth) (c) andFirst Class(AJ Francis&KC Navarro) andThe Rascalz(Myron Reed&Zachary Wentz) (16:45) -TITLE CHANGE !!!TNA Slammiversary 2025- Pay Per View @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
9,21.06.2025,,"First Class(AJ Francis&KC Navarro) &The Nemeths(Nic Nemeth&Ryan Nemeth) defeatThe Hardys(Jeff Hardy&Matt Hardy) &The Rascalz(Myron Reed&Zachary Wentz) (15:08)TNA iMPACT #1094- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
10,20.06.2025,,"The Hardys(Jeff Hardy&Matt Hardy) defeatThe Northern Armory(Judas Icarus&Travis Williams) (4:13)TNA iMPACT #1092- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Hardyboys.jpg
