date,event,result,location,image_url
1,05.03.2016,,"Frankie The Pizza Guy,Jim Neidhart&Koko B. WaredefeatThe Cash Masters(Clay Drasher&Shawn Andrews) &Nikolai VolkoffBCW Night Of Legends- Event @ Liberty Arena in Williamsport, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
2,20.09.2013,,"Harry Smith&Jim Neidhartdefeat911 Inc.(Deimos&Kennedy Kendrick)NWA FUW Silver Screen Showdown- TV-Show @ Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
3,31.08.2013,,"Bruce Santee&Jim NeidhartdefeatDeimos&Kennedy KendrickNWA FUW Throwdown 6- Event @ Sports Center Tampa Bay in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
4,30.08.2013,,"Harry Smith&Jim Neidhartdefeat Aaron Matthews &Lumberjack JohnsonUCW Summer Explosion- Event @ Spryfield Lion's Rink in Spryfield, Nova Scotia, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
5,27.08.2013,,"Harry Smith&Jim NeidhartdefeatChris Cooke&Lumberjack JohnsonUCW Summer Explosion- Event @ Debert Legion in Debert, Nova Scotia, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
6,18.01.2013,,"Three Way:Jim Neidhart&Kat Von HeezdefeatDanyah&Johnny DevineandNikita Naridian&Ryan RollinsHLW Resurrection- Pay Per View @ Victoria Pavilion in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
7,09.03.2012,,"Johnny Thunder&Tito SantanadefeatJim Neidhart&Red Hot RussECPW Night Of Professional Wrestling- Event @ High School in Suffern, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
8,22.10.2011,,"Jim Neidhart&Joe E. LegenddefeatAbsolute Andy&Craig BCDWA Wrestling Fight Night- Event @ Stadthalle in Walsrode, Niedersachsen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
9,04.06.2011,,"Jim Neidhart& Sgt. Jimmy Storm defeatCorey Havoc&DravenNWS- Event @ Long Hill Township Community Center in Stirling, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
10,05.06.2010,,"Jim Neidhart&Vinny MarsegliadefeatThe Midnight Prowlers(The Midnight Prowler #1 & The Midnight Prowler #2)TRP- Event @ Adams Turners Hall in Adams, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
11,04.06.2010,,"Jim Neidhart&Matt TavendefeatThe Prestige(Matt Magnum&Ryan Waters)TRP- Event @ Police Athletic League Hall in Fall River, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
12,26.04.2010,,"CWI Heavyweight Title Match (vakant):Brutus BeefcakedefeatsJim Neidhartby Count Out -TITLE CHANGE !!!CWI Brawl At The Bush - Laying The Smackdown On Cancer- Event @ Iroquois Lacrosse Arena in Six Nations, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
13,17.04.2010,,"Jim NeidhartdefeatsThe Masked SuperstarECPW Five Boros- Event @ New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
14,28.02.2010,,"The Hart Corporation(Bobby Hart&Jim Neidhart) defeatRock Of Love(Billy Blade&Kadin Anthony)Vendetta Pro Retaliation- Event @ Radisson Hotel in Santa Maria, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
15,05.12.2009,,"Jim Neidhart&Joey JaneladefeatCorey Havoc&Nicky OceansNWS- Event @ High School Gym in New Milford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
16,04.12.2009,,"Jim Neidhart&Joey JaneladefeatDanny Demanto&Kevin MatthewsNWS- Event @ Kenilworth Veterans Center in Kenilworth, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
17,14.11.2009,,"Jim Neidhart&The NOW(Hale Collins&Vik Dalishus) defeatBull Dredd,Rob Eckos&Romeo RoselliNEW Autumn Ambush 2009- Event @ Washingtonville High School in Washingtonville, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
18,13.11.2009,,"Jim Neidhart&The NOW(Hale Collins&Vik Dalishus) defeatBob Evans,Rob Eckos&Tommaso CiampaNEW Hart Attack- Event @ Crosby High School in Waterbury, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
19,03.11.2009,,"Jim NeidhartdefeatsJay Lethal(1:30)TNA iMPACT #281- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
20,12.09.2009,,"Jason HadesdefeatsJim NeidhartDREAMWAVE Hart Attack- Event @ Knights of Columbus in LaSalle, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
21,09.08.2009,,"PWO Tag Team Title:The Clash(Brian Bender&Ernie Ballz) defeatGreg Valentine&Jim Neidhart(c) -TITLE CHANGE !!!PWO Wrestlelution 2: A Coming Of Age- Event @ Nautica Pavilion in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
22,06.06.2009,,"PWO Tag Team Title:Greg Valentine&Jim Neidhart(c) defeatPirate Justice(Matthew Justice&Morty Rackem)PWO Slamming Into Summer 2009- Event @ Brunswick, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
23,05.06.2009,,"PWO Tag Team TitleMatch (vakant):Greg Valentine&Jim NeidhartdefeatThe Clash(Brian Bender&Ernie Ballz) -TITLE CHANGE !!!PWO Summer Splash 2009- Event @ Loyal Oak Lake Park in Norton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
24,17.01.2009,,"Jim NeidhartdefeatsDerek St. HolmesAWA-Platinum Paying Dues- Event @ El Nopal Ballroom in Michigan City, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
25,16.01.2009,,"Frankie DeFalco&Jim Neidhartdefeat Jazon Parxxz &Matt LongtimeBCW Rise To Honor V- Event @ Christina's Banquet Hall in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
26,01.03.2008,,"Jim Neidhart&The Honky Tonk MandefeatL'Empereur&Shannon BallardBTW Wrestlefest- Event @ Newark, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
27,10.12.2007,,"15th Anniversary Battle Royal:Ted DiBiasedefeatsAl SnowandBart GunnandBob BacklundandDoinkandFlash FunkandGangrelandGillbergandIrwin R. SchysterandJim NeidhartandPete GasandRepo ManandScotty 2 HottyandSgt. SlaughterandSkinnerandSteve BlackmanandThe Goon(5:45)WWE Monday Night RAW #759 - 15th Anniversary- TV-Show @ Arena At Harbor Yard in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
28,03.11.2007,,"Jim NeidhartdefeatsHelter SkelterPWU TV Taping- TV-Show @ Sportsplex in Feasterville, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
29,27.10.2007,,"Gus Harlacher&Jim NeidhartdefeatBilly Bax&Rob EckosNEW Autumn Ambush 2007- Event @ Milford, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
30,26.05.2007,,"Jim Neidhartvs.The Highlander- Double Count OutPWA Mayhem 2007- Event @ Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
31,25.05.2007,,"Jim Neidhartvs.Tito Santana- Double Count OutWrestling Supershow Bad News Allen Tribute Show- Event @ Cochrane, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
32,24.03.2007,,"Jim NeidhartdefeatsSalvatore Sincere(4:10)IWC Night Of Legends 3- Event @ Franklin Area High School in Franklin, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
33,10.03.2007,,"Jerry Lawler&Jim NeidhartdefeatSex And Violence(Dave Danger&Jeff Starr)NEW- Event @ Torrington Middle School in Torrington, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
34,17.02.2007,,"Jim NeidhartdefeatsHack MeyersACW King Of Florida 2007- Event @ JJC Of Pasco in Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
35,27.01.2007,,"Jim Neidhart&The RoguedefeatBison Bravado&Danny DemantoNWS- Event @ Garden State Parkway in Brick, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
36,26.01.2007,,"Jim NeidhartdefeatsBison BravadoNWS- Event @ The Elks Lodge in Woodbridge, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
37,20.01.2007,,"KafudefeatsJim Neidhartby DQAPW Rumble In The Dome- Event @ Bakersfield Dome in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
38,19.01.2007,,"Jim Neidhart&L'EmpereurdefeatThe Ballard Brothers(Shane Ballard&Shannon Ballard)BTW- Event @ Newark Pavillion in Newark, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
39,18.11.2006,,"Jim NeidhartdefeatsPretty FlyACW Dishonorable 2 - TV Taping- Event @ Bourbon Street Nightclub in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
40,28.10.2006,,"Jim NeidhartdefeatsShorty SmallsNWL/HoPWF- Event @ Blackhawk High School in Beaver Falls, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
41,07.10.2006,,"911&Jim Neidhartdefeat LA Cash & The TrooperAAPW Benefit Show- Event @ Herrin Middle School in Herrin, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
42,23.09.2006,,"Jim NeidhartdefeatsNorman SmileyUXW Florida Debut Show- Event @ Orlando Downtown Recreation Complex in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
43,08.10.2005,,"Mixed:Jim Neidhart&Nattie NeidhartdefeatApocalypse&Belle LovitzPWA- Event @ NAIT Main Campus Gym in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
44,24.09.2005,,"Jim NeidhartdefeatsRob StardomIWM- Event @ Doubles Fun Club in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
45,22.09.2005,,"Jim Neidhart&Jon CutlerdefeatShane Madison&TJ BrattIWM- Event @ Portage la Prairie, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
46,30.04.2005,,"Eric Justice&Jim NeidhartdefeatHasheem Ali&Simon DiamondNWS Chris Candido Memorial J-Cup Tournament- Event @ Toms River, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
47,18.03.2005,,"Balls Mahoney&Jim NeidhartdefeatChris Candido&Danny DoringNWS- Event @ VFW Hall in Manville, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
48,16.12.2004,,"PCW Heavyweight   Title:Adam Knight(c) defeatsJim NeidhartPCW Christmas Classic- Event @ LID Nightclub in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
49,14.08.2004,,"Jim NeidhartdefeatsJonny PumaBallpark Brawl III - Canadian Carnage- Event @ Dunn Tire Park in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
50,19.11.2003,,"Jim Duggan&The Honky Tonk MandefeatA-1&Jim NeidhartBCW- Event @ Conestoga College in Kitchener, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
51,05.09.2003,,"Jim Duggan&Jim NeidhartdefeatA1&GQBCW- Event @ Varsity Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
52,03.05.2003,,"Jim NeidhartdefeatsVance NevadaECCW- Event @ Courtenay, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
53,02.05.2003,,"Jim NeidhartdefeatsLadies ChoiceECCW- Event @ Duncan, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
54,08.03.2003,,"Jim Neidhart, Johnny Vegas &Ken AndersondefeatThe Lynch Mob(Adrian Lynch,Kevin Krueger&Kujo)ACW/NWA Wisconsin March Mayhem 2003- Event @ Neng Yee Performance Arena in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
55,19.01.2003,,"Dyson PrycedefeatsJim NeidhartMXPW Maximum Impact- Event @ Max Pro Arena in Livonia, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
56,18.01.2003,,"Da Munchies(Dick Trimmins&Sheik Abdul Hassan) &Jim NeidhartdefeatJ-Rocc&Southern Anarchy(??? &Chuck Brody) (15:33)NEPW- Event @ Norwalk, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/29/Anvil20050721.jpg
