date,event,result,location,image_url
1,11.01.2025,,"Three Way:TJ MarconidefeatsIsaiah WolfandJimmy Wang YangWOW New Beginnings 2025- Event @ Funstation USA in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
2,07.12.2024,,"Joey JaneladefeatsJimmy Wang Yang(10:28)GCW Mastermind 2024- Pay Per View @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
3,31.08.2024,,"Ryan NemethdefeatsJimmy Wang YangWWC 51. Aniversario- Event @ Coliseo Ruben Rodriguez in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
4,01.06.2024,,"40 Man Battle Riot VI:Matt Riddledefeats1 Called MandersandAdam PriestandAKIRAandAlex KaneandAndrew Everettand Arachnaman (Tom Lawlor) andBad Dude TitoandBobby FishandBrett Ryan GosselinandChris DangerandCW AndersonandDavey Boy Smith Jr.andDoctor CornwallisandErnest MillerandIkuro KwonandJake CristandJesus RodriguezandJimmy YangandJosh Bishopand Kim Chee andMads Krule KrüggerandMatthew JusticeandMinoru SuzukiandMisticoandMr. ThomasandOkumuraandPaul Walter HauserandRickey Shane PageandRugidoandSami CallihanandScotty RiggsandShane MercerandSlim JandStar Jr.andSuge Dand The Masked Assassin (Tom Lawlor) andTimothy ThatcherandTom LawlorandViolent J(50:29)MLW Battle Riot VI- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
5,29.09.2023,,"Jazzy Yang&Jimmy YangdefeatEmmy Camacho&Lou Gotti(9:58)VIP Setting The Bar: 9 Year Anniversary- Online Stream @ Haltom Theater in Haltom City, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
6,15.07.2023,,"GLG(Anthony Greene,Tadasuke&YO-HEY) defeatJimmy Yang,Stallion Rogers&Super Crazy(7:50)NOAH One Night Dream- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
7,15.10.2022,,"Dark:Jazzy Yang&Jimmy Wang YangdefeatDillon McQueen&Kylie AlexaNew South Rasslevania- Dark Match @ Mort Glosser Amphitheater in Gadsden, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
8,05.08.2022,,"Rumblejack:Gunner MillerdefeatsAC MackandAdam JacobsandAdrian HawkinsandAustin Towersand Brandon Canyon andCarlie BravoandChip DayandErnest MillerandHold My Beer HansonandJazzy Yangand Jeremie Prater andJimmy Wang YangandJoe BlackandJordan KingsleyandJudaisandKyle MatthewsandMurder-1andNajasismandNathan MoweryandNick HalenandnZoandOwen KnightandSal RinauroandSean LegacyandSkrilla The GreatandSunny Dazeand The Ayatollah andWilliam HuckabyandZicky Dice(59:06)SHW Rumblejack 2022- Event @ Action Buidling in Canton, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
9,16.07.2022,,"Ultimate Battleground:Nick HalendefeatsAlex KytelandBobby MooreandCarlie BravoandCrystal RoseandCT KeysandHunter JamesandJacob AshworthandJaden VainandJazzy YangandJeremy VainandJimmy Wang YangandLuka DanielsandMatt SellsandNajasismandRob AdonisandSal RinauroandSkrilla The GreatandStryknynandSunny DazeandTetchi Makujiand The Machine andZach Mosley(52:55)SFCW Ultimate Battleground 5- Event @ Walton County Boys & Girls Club in Monroe, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
10,09.04.2022,,"Jazzy Yang&Jimmy Wang YangdefeatThe Cause(Max Bane&Roger Mendez)WOW Hostile Takeover 2022- Event @ Funstation USA in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Jamesyun.jpg
