date,event,result,location,image_url
1,12.09.2025,,"La Parka,Laredo Kid,Mascarita Sagrada&Octagon Jr.defeatLince Dorado,LWO(Cruz Del Toro&Joaquin Wilde) &Mini Abismo Negro(18:01)AAA x WWE Worlds Collide 2025: Las Vegas- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
2,08.09.2025,,"The War Raiders(Erik&Ivar) defeatLWO(Cruz Del Toro&Joaquin Wilde) (4:24)WWE Main Event #676- Online Stream @ Fiserv Forum in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
3,07.09.2025,,"DarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) defeatHank And Tank(Hank Walker&Tank Ledger) &LWO(Cruz Del Toro&Joaquin Wilde)WWE NXT Live- House Show @ Bell Auditorium in Augusta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
4,06.09.2025,,"LWO(Cruz Del Toro&Joaquin Wilde) defeatThe Culling(Niko Vance&Shawn Spears)WWE NXT Live- House Show @ Charleston Area Convention Center in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
5,05.09.2025,,"WWE NXT Tag Team TitleTriple Threat:DarkState(Dion Lennox&Osiris Griffin) (c) defeatHank And Tank(Hank Walker&Tank Ledger) andLWO(Cruz Del Toro&Joaquin Wilde)WWE NXT Live- House Show @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
6,25.08.2025,,"Dark:El Grande AmericanodefeatsJoaquin WildeWWE Main Event #674- Dark Match @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
7,16.08.2025,,"Copa Bardahl Cibernetico:OmosdefeatsAbismo Negro Jr.andAero StarandCiberneticoandCruz Del ToroandJoaquin WildeandLa ParkaandLaredo KidandMecha WolfandMicromanandOctagon Jr.andOtisandPimpinela EscarlataandTaurus(26:36)AAA TripleMania XXXIII- Online Stream @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
8,11.08.2025,,"Dark:LWO(Cruz Del Toro&Joaquin Wilde) defeatAmerican Made(Brutus Creed&Julius Creed)WWE Main Event #672- Dark Match @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
9,04.08.2025,,"The War Raiders(Erik&Ivar) defeatLWO(Cruz Del Toro&Joaquin Wilde) (8:15)WWE Main Event #671- Online Stream @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
10,28.07.2025,,"WWE World Tag Team  Title:The Judgment Day(Finn Balor&JD McDonagh) (c) defeatLWO(Cruz Del Toro&Joaquin Wilde) (10:56)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
11,21.07.2025,,"WWE World Tag Team  Title#1 Contendership Triple Threat:LWO(Cruz Del Toro&Joaquin Wilde) defeatThe New Day(Kofi Kingston&Xavier Woods) andAmerican Made(Brutus Creed&Julius Creed) (9:10)WWE Monday Night RAW #1678- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
12,07.07.2025,,"The War Raiders(Erik&Ivar) defeatLWO(Cruz Del Toro&Joaquin Wilde) (8:01)WWE Main Event #667- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
13,02.06.2025,,"DarkWWE Speed Title#1 Contendership Tournament Semi Final:Joaquin Wildevs.Lexis King- No ContestWWE Speed #77- Dark Match @ Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/0/04/DJZ_June_2017_%28cropped%29.jpg
