date,event,result,location,image_url
1,30.08.2025,,"Big BilldefeatsJuice Robinson(9:28)AEW Collision #108- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
2,14.08.2025,,"Juice RobinsondefeatsBryan Keith(6:47)AEW Collision #106- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
3,09.08.2025,,"RicochetdefeatsJuice Robinson(12:24)AEW Collision #105- TV-Show @ Berglund Center in Roanoke, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
4,31.07.2025,,"AEW World Tag Team TitleEliminator Tournament Semi Final:FTR(Cash Wheeler&Dax Harwood) defeatBang Bang Gang(Austin Gunn&Juice Robinson) (15:22)AEW Collision #104- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
5,26.07.2025,,"AEW World Tag Team TitleEliminator Tournament Quarter Final:Bang Bang Gang(Austin Gunn&Juice Robinson) defeatBig Bill&Bryan Keith(12:21)AEW Collision #103- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
6,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
7,27.11.2024,,"Continental Classic 2024 Gold League:Will Ospreay[3] defeatsJuice Robinson[0] (12:34)AEW Collision #71- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
8,20.11.2024,,"Juice RobinsondefeatsThe Butcher(10:03)AEW Rampage #172- TV-Show @ Santander Arena in Reading, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
9,13.11.2024,,"Adam Page&Christian CagedefeatBang Bang Gang(Jay White&Juice Robinson) (11:34)AEW Dynamite #267- TV-Show @ Total Mortgage Arena in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
10,02.10.2024,,"Adam PagedefeatsJuice Robinson(10:08)AEW Dynamite #261 - 5 Year Anniversary- TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
11,12.09.2024,,"Bang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) defeatCage Of Agony(Bishop Kaun,Brian Cage&Toa Liona) (10:34)AEW Collision #62- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/7/76/2014-04-03_CJ_Parker_%2813913808603%29_%28cropped%29.jpg
