date,event,result,location,image_url
1,12.09.2025,,"Kazusada Higuchi&Yukio NayadefeatJun Akiyama&Yuki Iino(11:59)DDT Beer Garden Fight In Shinjuku ~ Extra Time ~- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
2,06.09.2025,,"The 37KAMIINA(To-y&Yuki Ueno) &Yuya KorokudefeatThe Apex(Yuki Iino&Yukio Naya) &Jun Akiyama(13:37)DDT Yokohama Bay Clutch- Online Stream @ Yokohama Radiant Hall in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
3,02.09.2025,,"Akito&The Apex(Yuki Iino&Yukio Naya) defeatDaichi Sato,Jun Akiyama&Soma Takao(10:04)DDT Edo No Nakamise- Online Stream @ Ueno Park Outdoor Stage in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
4,31.08.2025,,"Akito,Jun Akiyama&Super Sasadango MachinedefeatAntonio Honda,KANON&Kazuki Hirata(9:17)DDT Wrestle Peter Pan 2025 - Tag 2- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
5,30.08.2025,,"KO-D Openweight Title:Kazusada Higuchi(c) defeatsJun Akiyama(17:41)DDT Wrestle Peter Pan 2025 - Tag 1- Online Stream @ Higashin Arena Main Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
6,24.08.2025,,"Satoshi Kojima,Taichi&TAKA MichinokudefeatJun Akiyama,Tomoaki Honma&Yuji Nagata(20:06)JTO TAKATAICHI Tour- Event @ 176BOX in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
7,20.08.2025,,"Three Way:Jun Akiyama&Yukio NayadefeatHarimao(Kazusada Higuchi&Yuki Ishida) andThe 37KAMIINA(To-y&Yuki Ueno) (10:48)DDT Dramatic Beer Garden Neverland In Ueno - Tag 2- Online Stream @ Ueno Park Outdoor Stage in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
8,17.08.2025,,"Jun AkiyamadefeatsMiyu Yamashita(10:49)DDT Osaka vs. Tokyo ~ Dream East vs. West Pro Wrestling Battle 2025 ~- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
9,16.08.2025,,"HARASHIMA&Jun AkiyamadefeatDAMNATION T.A(Daisuke Sasaki&MJ Paul) (11:33)DDT Shinsen 2025- Online Stream @ Imaike Gas Hall in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
10,10.08.2025,,"Harimao(Kazusada Higuchi&Yuki Ishida) &Yuki IinodefeatChris Brookes,Daichi Sato&Jun Akiyama(13:25)DDT Sendai New Legend 2025 ~ Gyutan ~- Online Stream @ Yume Messe Miyagi in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
11,09.08.2025,,"Harimao(Kazusada Higuchi&Yuki Ishida) defeatJun Akiyama&Tomomitsu Matsunaga(9:22)DDT Yokohamermaid- Online Stream @ Yokohama Radiant Hall in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
12,02.08.2025,,"Strange Love Connection(KANON&MAO) defeatDaichi Sato&Jun Akiyama(12:15)DDT Battle Of Hamamatsu- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
13,31.07.2025,,"Chinsuke Nakamura&Minoru SuzukidefeatFutotta Kobashi&Jun Akiyama(13:15)CyberFight/DDT Produce Shinjuku FACE 20th Anniversary ~ Milestone- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
14,30.07.2025,,"Jun Akiyamadefeats1 Called Manders(12:37)GCW Japan - Tag 3- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
15,27.07.2025,,"KO-D Tag Team Title:The Apex (Yuki Iino&Yukio Naya) (c) defeatDaichi Sato&Jun Akiyama(19:27)DDT HARASHIMA Homecoming Show ~ We're Holding A Show In OME! Why? Because It's My Hometown! ~- Online Stream @ Sumitomo Metal Mine Arena Ome Sports Hall #1 in Ome, Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
16,16.07.2025,,"Jun Akiyama&Tomomitsu MatsunagadefeatDAMNATION T.A(Hideki Okatani&Ilusion) (6:55)DDT Beer Garden Fight In Shinjuku - Tag 2- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
17,13.07.2025,,"Chris Brookes,Daichi Sato&Jun AkiyamadefeatThe Apex(Yuki Iino&Yukio Naya) &Yuki Ishida(8:29)DDT Rock In Ring 2025 ~ Strike The Beat, Shout The Cheers ~- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/95/Jun_Akiyama%2C_2022_%28cropped%29.jpg
