date,event,result,location,image_url
1,02.08.2025,,"Sami ZayndefeatsKarrion Kross(8:10)WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
2,21.07.2025,,"Karrion KrossdefeatsSami Zayn(9:59)WWE Monday Night RAW #1678- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
3,28.06.2025,,"Sami ZayndefeatsKarrion Kross(13:32)WWE Night Of Champions 2025- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
4,16.06.2025,,"Karrion KrossdefeatsCruz Del Toro(6:39)WWE Main Event #664- Online Stream @ Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
5,02.06.2025,,"Karrion KrossdefeatsAkira Tozawa(6:21)WWE Main Event #662- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
6,12.05.2025,,"Karrion KrossdefeatsTyler Bate(4:39)WWE Main Event #659- Online Stream @ KFC Yum! Center in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
7,28.04.2025,,"Dragon LeedefeatsKarrion Kross(4:01)WWE Main Event #657- Online Stream @ T-Mobile Center in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
8,18.04.2025,,"Andre The Giant Memorial 2025 Battle Royal:Carmelo HayesdefeatsAkira TozawaandAndradeandAngelandAustin TheoryandBertoandBrutus CreedandCarlitoandChad GableandCruz Del ToroandDragon LeeandElton PrinceandGrayson WallerandJoaquin WildeandJulius CreedandKarrion KrossandKit WilsonandLudwig KaiserandOtisandPete DunneandR-TruthandRey FenixandSantos EscobarandShinsuke NakamuraandThe MizandTyler Bate(15:28)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
9,17.04.2025,,"Karrion KrossdefeatsJR Kratos(7:41)GCW Josh Barnett's Bloodsport XIII- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
10,14.04.2025,,"AJ StylesdefeatsKarrion Kross(9:50)WWE Monday Night RAW #1664- Online Stream @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8f/Karrion_Kross%2C_WrestleMania_XL_%282%29.jpg
