date,event,result,location,image_url
1,24.08.2025,,"Lights Out Steel Cage:Darby Allin,Golden Lovers(Kenny Omega&Kota Ibushi),Hiroshi Tanahashi&Will OspreaydefeatDeath Riders(Claudio Castagnoli&Jon Moxley),Gabe Kidd&The Young Bucks(Matt Jackson&Nick Jackson) (32:25)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
2,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
3,02.07.2025,,"Kazuchika OkadadefeatsKota Ibushi(14:47)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
4,25.06.2025,,"Kota IbushidefeatsTrent Beretta(7:19)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
5,15.02.2025,,"Mixed:Hikaru Shida&Michael NakazawadefeatKota Ibushi&Maya Yukihi(34:56)Maya Yukihi 10th Anniversary ~ Back Then, Now And In The Future- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
6,15.02.2025,,"Mixed:Kota Ibushi&Maya YukihidefeatHikaru Shida&Michael Nakazawa(0:06)Maya Yukihi 10th Anniversary ~ Back Then, Now And In The Future- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
7,14.12.2024,,"Falls Count Anywhere:Kota IbushidefeatsHikaru Sato(12:06)Hikaru Sato Produce Hentai Wa 26-Ji Ni Ugomeki Dasu- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
8,14.12.2024,,"Odd Rounds Rules:Hikaru Satovs.Kota Ibushi- No Contest (1:49) [Runde 4]Hikaru Sato Produce Hentai Wa 26-Ji Ni Ugomeki Dasu- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
9,10.12.2024,,"Fire Katsumi,Kota Ibushi&TAKA MichinokudefeatMyo-o(Genta Yubari,KEITA&MIYAMASA) (13:29)JTO West Japan Series 2024 - Tag 2- Event @ Oro City Hall in Oro, Kagoshima, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
10,01.12.2024,,"Kota Ibushi,Leo Isaka&Takumi IrohadefeatChigusa Nagayo,Masato Tanaka&Titus Alexander(18:39)Marvelous- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/Kota_Ibushi_2011.JPG
