date,event,result,location,image_url
1,11.09.2025,,"500.000 Dollar:Megan Bayne,Penelope Ford&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatHarley Cameron,Jamie Hayter,Kris Statlander&TayJay(Anna Jay&Tay Melo)AEW Collision #110- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
2,06.09.2025,,"Harley Cameron,Kris Statlander,Mina Shirakawa&Toni StormdefeatMegan Bayne&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) (12:14)AEW Collision #109- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
3,05.09.2025,,"EVE International Title:Kris Statlander(c) defeatsNina Samuels(17:45)EVE 139: Strong Women Style 2025- Online Stream @ The Big Penny Social in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
4,29.08.2025,,"Kris StatlanderdefeatsLiviyah(6:58)Beyond Americanrana 2025- Online Stream @ Rhodes On The Pawtuxet in Cranston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
5,27.08.2025,,"Harley Cameron&Kris StatlanderdefeatMegan Bayne&Penelope Ford(10:13)AEW Dynamite #308- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
6,24.08.2025,,"Megan Bayne&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatHarley Cameron,Kris Statlander,Queen Aminata&Willow Nightingale(11:17)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
7,14.08.2025,,"100.000 Dollar Four Way:Kris StatlanderdefeatsAnna JayandJulia HartandPenelope Ford(9:44)AEW Collision #106- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
8,31.07.2025,,"Kris StatlanderdefeatsLena Kross(1:29)AEW Collision #104- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
9,16.07.2025,,"100.000 Dollar Four Way:ThekladefeatsKris StatlanderandQueen AminataandWillow Nightingale(10:44)AEW Dynamite #302- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
10,12.07.2025,,"Casino Gauntlet:AthenadefeatsAlex WindsorandJulia HartandKris StatlanderandMegan BayneandMina ShirakawaandQueen AminataandSyuriandTay MeloandTheklaandThunder RosaandWillow Nightingale(27:01)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
11,04.07.2025,,"EVE International Title:Kris StatlanderdefeatsAnita Vaughan(c) (20:23) -TITLE CHANGE !!!EVE 136: Mean Grrrls- Online Stream @ The Big Penny Social in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
12,25.06.2025,,"Women's Casino Gauntlet #1 Spot Four Way:Kris StatlanderdefeatsAthenaandThunder RosaandWillow Nightingale(10:48)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
13,08.05.2025,,"Kris StatlanderdefeatsWillow Nightingale(12:20)AEW Collision #92- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
14,23.04.2025,,"Owen Hart Foundation 2025 Women's Tournament Semi Final:Jamie HayterdefeatsKris Statlander(12:10)AEW Dynamite #290- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
15,17.04.2025,,"Julia Hart&Kris StatlanderdefeatHarley Cameron&Mercedes Mone(11:02)AEW Collision #89 - Spring BreakThru - Tag 2- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/6/60/Kris_Statlander.jpg
