date,event,result,location,image_url
1,26.07.2015,,"PaigedefeatsLaylaWWE Live SummerSlam Heatwave Tour- House Show @ Amarillo Civic Center Coliseum in Amarillo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
2,25.07.2015,,"PaigedefeatsLaylaWWE Live SummerSlam Heatwave Tour- House Show @ Ector County Coliseum in Odessa, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
3,18.07.2015,,"Alicia Fox&CamerondefeatEmma&LaylaWWE Live SummerSlam Heatwave Tour- House Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
4,14.07.2015,,"Dark:NatalyadefeatsLaylaWWE Main Event #146- Dark Match @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
5,12.07.2015,,"Six Man Battle Royal:NatalyadefeatsAlicia FoxandCameronandEmmaandLaylaandSummer Rae(6:45)WWE Live SummerSlam Heatwave Tour- House Show @ Knoxville Civic Coliseum in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
6,11.07.2015,,"Battle Royal:NatalyadefeatsAlicia FoxandCameronandEmmaandLaylaandSummer RaeWWE Live SummerSlam Heatwave Tour- House Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
7,13.06.2015,,"Layla&NatalyadefeatAlicia Fox&Summer RaeWWE Live- House Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
8,09.06.2015,,"Naomi&TaminadefeatEmma&Layla(4:54)WWE Main Event #141- Online Stream @ Cajundome in Lafayette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
9,08.06.2015,,"PaigedefeatsLayla(4:29)WWE Superstars #322- Online Stream @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
10,24.05.2015,,"Charlotte&EmmadefeatAlicia Fox&LaylaWWE Live- House Show @ Floyd L. Maines Veterans Memorial Arena in Binghamton, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/George_Harrison_and_Pattie_Boyd.jpg
