date,event,result,location,image_url
1,23.08.2025,,"Yuki AraidefeatsMaki Itoh(15:11)TJPW Tokyo Princess Cup 2025 -  Tag 5- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
2,17.08.2025,,"Maki Itoh&Shino SuzukidefeatHaru Kazashiro&Uta Takami(10:57)TJPW Tokyo Princess Cup 2025 - Tag 4- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
3,09.08.2025,,"Maki Itoh&RakudefeatMifu Ashida&Rika Tatsumi(11:45)TJPW Tokyo Princess Cup 2025 - Tag 3- Online Stream @ Shinagawa Grand Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
4,30.07.2025,,"Maki ItohdefeatsShotzi Blackheart(12:29)GCW Japan - Tag 3- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
5,27.07.2025,,"Mahiro Kiryu&Miyu YamashitadefeatMaki Itoh&Pom Harajuku(8:19)TJPW Tokyo Princess Cup 2025 - Tag 1- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
6,21.07.2025,,"Chris Brookes&Emi SakuradefeatEl Desperado&Maki Itoh(12:36)TJPW Summer Sun Princess '25- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
7,13.07.2025,,"MizukidefeatsMaki Itoh(17:13)TJPW Live In Dallas- Online Stream @ OC Theatre in Forney, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
8,11.07.2025,,"Maki ItohdefeatsRaku(8:21)TJPW Live In Houston - Tag 2- Online Stream @ POST in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
9,10.07.2025,,"Miyu YamashitadefeatsMaki Itoh(14:48)TJPW Live In Houston - Tag 1- Online Stream @ POST in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
10,08.07.2025,,"Chika Nanase,Ivy Steele&Kira SummerdefeatMaki Itoh,Mifu Ashida& Ren Konatsu (9:06)TJPW Yoshiko Hasegawa Graduation - NonfictioN- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
11,08.07.2025,,"DDT Iron Man Heavy Metal TitleBest Two Out Of Three Falls 27 On 1 Handicap:Arisu Endo,Chika Nanase,Haru Kazashiro,HIMAWARI,Hyper Misao,Ivy Steele,Kaya Toribami,Kira Summer,Mahiro Kiryu,Maki Itoh,Mifu Ashida,Miu Watanabe,Mizuki,Moka Miyamoto,Pom Harajuku,Raku, Ren Konatsu,Rika Tatsumi,Shino Suzuki,Shoko Nakajima,Suzume,Tetsuya Koda,Toga,Uta Takami,Wakana Uehara,Yuki Aino,Yuki Arai&Yuki Kamifuku[2] defeatYoshiko Hasegawa(c) [1] -TITLE CHANGE !!!TJPW Yoshiko Hasegawa Graduation - NonfictioN- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
12,22.06.2025,,"Raku&Shino SuzukidefeatMaki Itoh& Ren Konatsu (9:03)TJPW Spring Tour 2025 Final- Online Stream @ Ryogoku KFC Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
13,21.06.2025,,"HIMAWARI&Moka MiyamotodefeatIvy Steele&Maki Itoh(9:35)TJPW Spring Tour 2025 In Kofu- Online Stream @ Kose Sports Park Gymnasium Sub-Arena in Kofu, Yamanashi, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
14,14.06.2025,,"Maki Itohdefeats Mo MageeLLL 12 Year Anniversary - Tag 2- Event @ Oriental Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
15,13.06.2025,,"AbadondefeatsMaki Itoh(9:27)LLL 12 Year Anniversary - Tag 1- Event @ Oriental Theater in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
16,07.06.2025,,"Mahiro Kiryu&Shino SuzukidefeatChika Nanase&Maki Itoh(9:12)TJPW Spring Tour 2025 In Shinagawa Vol. 2- Online Stream @ Shinagawa Prince Hotel Club eX in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
17,01.06.2025,,"Elimination:Arisu Endo,Maki Itoh,Pom Harajuku&Yuki AraidefeatJada Stone,Miu Watanabe,Yuki Aino&Yuki Kamifuku(21:20)TJPW Spring Tour 2025 In Nagoya- Online Stream @ Chunichi Hall in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
18,31.05.2025,,"Jada Stone&MizukidefeatMaki Itoh&Uta Takami(11:08)TJPW Spring Tour 2025 In Nerima- Online Stream @ Nerima Coconeri Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
19,24.05.2025,,"Daisy Monkey(Arisu Endo&Suzume) defeatMaki Itoh&Uta Takami(10:46)TJPW Spring Tour 2025 In Shizuoka- Online Stream @ Shimizu Marine Building in Shimizu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
20,17.05.2025,,"Maki ItohdefeatsUta Takami(10:57)TJPW Spring Tour 2025 In Shinagawa Vol. 1- Online Stream @ Shinagawa Prince Hotel Club eX in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
21,11.05.2025,,"Ober Eats(Wakana Uehara&Yuki Kamifuku) defeatMaki Itoh&Toga(13:02)TJPW Spring Tour 2025 In Fujisawa- Online Stream @ Shonandai Cultural Center in Fujisawa, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
22,04.05.2025,,"GCW World Title:Effy(c) defeatsMaki Itoh(12:08)GCW We Still Don't Trust You- Pay Per View @ The Hawthorne Theatre in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
23,03.05.2025,,"Miyu YamashitadefeatsMaki Itoh(13:23)GCW Crazy Scary Spooky Hilarious- Pay Per View @ Ukrainian Culture Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
24,02.05.2025,,"GLAM Title:Mylo(c) defeatsMaki ItohHoodslam Phantasmagoria- Online Stream @ Continental Club in Oakland, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
25,25.04.2025,,"Danhausen&Maki ItohdefeatBang And Matthews(August Matthews&Davey Bang) (9:50)BLP At Squared Circle Expo III- Online Stream @ The Wyndham in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
26,19.04.2025,,"Microman&Yukio Nayadefeat1 Called Manders&Maki Itoh(11:28)TJPW/DDT/GCW- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
27,18.04.2025,,"Maki Itoh&Zara ZakherdefeatMax The Impaler&Raku(9:44)TJPW Live In Las Vegas- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
28,18.04.2025,,"World's Cutest:Maki ItohdefeatsEl Phantasmo(9:21)Fear And WrestleCore In Las Vegas- Online Stream @ Swan Dive in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
29,17.04.2025,,"Mickie JamesdefeatsMaki Itoh(14:25)WrestleCon Mark Hitchcock Memorial SuperShow 2025- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
30,13.04.2025,,"Werewolf Death:Kaya ToribamidefeatsMaki ItohandRika TatsumiandShino SuzukiandShoko Nakajima(15:01)TJPW Universe Members Show - Pure Tokyo Joshi Pro Wrestling 9- Online Stream @ Kitazawa Town Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/03/20170726_Maki_Itoh_at_Akasaka_Sacas.jpg
