date,event,result,location,image_url
1,17.08.2025,,"CTW Heavyweight  Title:TAMURA GENE(c) defeatsMarty Scurll(23:00)HEAT UP Super KAWASAKI 2- Online Stream @ Todoroki Arena in Kawasaki, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
2,07.06.2025,,"EWF World Title:Ryan O Patrao(c) defeatsMarty Scurll(19:00)EWF 12 Anos - Tag 1- Event @ Porto Alegre, Rio Grande do Sul, Brasilien",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
3,03.05.2025,,"Blue Demon III,Blue Demon Jr.&Tinieblas Jr.defeatDelta,DMT Azul&Marty Scurllby DQ (20:05)Producciones Aoza- Online Stream @ Auditorio Saltillo in Saltillo, Coahuila, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
4,22.02.2025,,"QPW Tag Team Title:1D & Razor H (c) defeatJonny Storm&Marty ScurllQPW Super Slam III - Tag 2- Event @ Aspire Ladies Sports Hall in Doha, Katar",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
5,21.12.2024,,"DPW Worlds  Title:Nitro Green(c) defeatsMarty ScurllDPW Hardcore X-Mas 2024- Event @ Fængslet in Horsens, Dänemark",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
6,07.12.2024,,"Marty ScurlldefeatsHijo del EnigmaCWA Christmas Showdown 2024- Event @ Teatrio America in Vega Baja, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
7,29.11.2024,,"Marty Scurlldefeats MkeSPW Rimal Tuwaiq 3- Event @ VOV Gaming Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
8,24.11.2024,,"Jake SomethingdefeatsMarty ScurllcOw X- Event @ Klinkenthalhalle in Schiffweiler, Saarland, Deutschland",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
9,23.11.2024,,"Marty ScurlldefeatsMartyrium(15:16)cOw Payday 2024- Event @ Klinkenthalhalle in Schiffweiler, Saarland, Deutschland",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
10,03.11.2024,,"HammerstonedefeatsMarty ScurllDestiny Haywire 2024- TV-Show @ Don Kolov Arena in Mississauga, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
11,26.10.2024,,"Marty ScurlldefeatsMartyriumPTW/WWA Takeover- Event @ Salzberghalle in Hallein, Salzburg, Österreich",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
12,25.10.2024,,"Marty ScurlldefeatsJJ GaleRoE/UKWA WrestleClash: Maxima- Event @ Thermenhalle in Bad Vöslau, Niederösterreich, Österreich",https://upload.wikimedia.org/wikipedia/commons/1/12/Cody_Rhodes_Marty_Scurll_%26_Hangman_Page_crop.jpg
