date,event,result,location,image_url
1,19.07.2025,,"Coupe Max Soulie 2025:Ultimo DragondefeatsMatt SydalABC 15eme Festival International De Catch- Event @ Gymnase du Four a Chaux in Beziers, Frankreich",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
2,22.05.2024,,"Konosuke TakeshitadefeatsMatt Sydal(1:58)AEW Dynamite #242- TV-Show @ Mechanics Bank Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
3,15.05.2024,,"AEW World Tag Team TitleEliminator:The Young Bucks(Matthew Jackson&Nicholas Jackson) [c] defeatChristopher Daniels&Matt Sydal(8:30)AEW Dynamite #241- TV-Show @ Angel of the Winds Arena in Everett, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
4,11.05.2024,,"Three Way:Matt SydaldefeatsAigle BlancandJonny Storm(10:22)PTW #6: Total Blast From The Past- Pay Per View @ Arena Legionowo in Legionowo, Masowien, Polen",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
5,21.04.2024,,"Trent BerettadefeatsMatt Sydal(8:13)AEW Dynasty 2024 - Zero Hour- Online Stream @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
6,13.04.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatAction Andretti,Dante Martin&Matt Sydal(14:24)AEW Collision #41- TV-Show @ Truist Arena in Highland Heights, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
7,10.04.2024,,"Jay WhitedefeatsMatt Sydal(11:25)AEW Rampage #140- TV-Show @ Charleston Coliseum in Charleston, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
8,03.04.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatBryan Keith,Christopher Daniels&Matt Sydal(9:24)AEW Collision #40- TV-Show @ DCU Center in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
9,29.03.2024,,"Blue Panther,Mistico,Ultimo Guerrero&Volador Jr.defeatBlackpool Combat Club(Bryan Danielson,Claudio Castagnoli&Jon Moxley) &Matt Sydal(16:35)CMLL Homenaje A Dos Leyendas 2024- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
10,20.03.2024,,"Action Andretti&Top Flight(Dante Martin&Darius Martin) defeatChristopher Daniels,Jack Cartwheel&Matt Sydal(8:56)ROH on HonorClub #58- Online Stream @ Coca-Cola Coliseum in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
11,13.03.2024,,"Matt SydaldefeatsTJ Crawford(5:14)ROH on HonorClub #56- Online Stream @ Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
12,28.02.2024,,"Private Party(Isiah Kassidy&Marq Quen) defeatChristopher Daniels&Matt Sydal(9:52)AEW Collision #36- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
13,24.02.2024,,"All-Star 8-Man Scramble Qualifying:MagnusdefeatsMatt Sydal(11:47)AEW Rampage #134- TV-Show @ Great Southern Bank Arena in Springfield, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
14,21.02.2024,,"Three Way:Bryan Keith,Komander&Penta El Zero MiedodefeatMatt Sydal&Private Party(Isiah Kassidy&Marq Quen) andAction Andretti&Top Flight(Dante Martin&Darius Martin) (11:30)AEW Rampage #133- TV-Show @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
15,14.02.2024,,"Four Corner Survival:KomanderdefeatsAR FoxandExodus PrimeandMatt Sydal(12:02)ROH on HonorClub #52- Online Stream @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
16,07.02.2024,,"MisticodefeatsMatt Sydal(7:52)AEW Rampage #131- TV-Show @ Footprint Center in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
17,31.01.2024,,"Hechicero,Mascara Dorada,Mistico&Volador Jr.defeatAngelo Parker,Christopher Daniels,Matt Menard&Matt Sydal(11:31)AEW Rampage #130- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
18,20.01.2024,,"Roderick StrongdefeatsMatt Sydal(8:13)AEW Collision #31- TV-Show @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
19,17.01.2024,,"Chris JerichodefeatsMatt Sydal(10:37)AEW Rampage #128- TV-Show @ North Charleston Coliseum in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
20,10.01.2024,,"Swerve StricklanddefeatsMatt Sydal(4:30)AEW Rampage #127 - Homecoming 2024 - Tag 2- TV-Show @ Daily's Place in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
21,27.12.2023,,"ROH Pure Title:Wheeler Yuta(c) defeatsMatt Sydal(9:34)AEW Rampage #125 - New Year's Smash 2023 - Tag 2- TV-Show @ Addition Financial Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
22,06.12.2023,,"The Don Callis Family(Konosuke Takeshita&Powerhouse Hobbs) defeatChristopher Daniels&Matt Sydal(8:38)AEW Rampage #122- TV-Show @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
23,02.12.2023,,"House Of Black(Buddy Matthews&Malakai Black) defeatChristopher Daniels&Matt Sydal(8:40)AEW Collision #25- TV-Show @ Erie Insurance Arena in Erie, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
24,22.11.2023,,"Dark:Christopher Daniels&Matt SydaldefeatCole Karter&Griff Garrisonby referee's decisionROH on HonorClub #40- Dark Match @ Wintrust Arena in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
25,15.11.2023,,"Dark:The Righteous(Dutch&Vincent) defeatChristopher Daniels&Matt SydalAEW Dynamite #215- Dark Match @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
26,08.11.2023,,"El Hijo del Vikingo&KomanderdefeatChristopher Daniels&Matt Sydal(11:27)ROH on HonorClub #38- Online Stream @ Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
27,01.11.2023,,"The Gunns(Austin Gunn&Colten Gunn) defeatChristopher Daniels&Matt Sydal(4:28)AEW Rampage #117- TV-Show @ KFC Yum! Center in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
28,28.10.2023,,"The Righteous(Dutch&Vincent) defeatChristopher Daniels&Matt Sydal(6:12)ROH on HonorClub #36- Online Stream @ Mohegan Sun Arena in Uncasville, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
29,18.10.2023,,"Dynamite Diamond Ring 2023 Battle Royal:Juice RobinsondefeatsDaniel GarciaandDustin RhodesandJake HagerandJeff HardyandJohnny TVandKomanderandMatt HardyandMatt MenardandMatt SydalandMax CasterandTrent Beretta(14:33)AEW Dynamite #211- TV-Show @ Fort Bend Epicenter in Rosenberg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
30,15.10.2023,,"Red Diamond Cup Semi Final:Fast Time MoododefeatsMatt Sydal(8:13)Unlimited Wrestling Wrestival 2023 - Tag 2- Pay Per View @ Klubhaus in Thale, Sachsen-Anhalt, Deutschland",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
31,14.10.2023,,"Red Diamond Cup First Round:Matt SydaldefeatsCrowchester(11:01)Unlimited Wrestling Wrestival 2023 - Tag 1- Pay Per View @ Klubhaus in Thale, Sachsen-Anhalt, Deutschland",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
32,10.10.2023,,"WardlowdefeatsMatt Sydalby referee's decision (0:49)AEW Dynamite #210 - Title Tuesday 2023- TV-Show @ Cable Dahmer Arena in Independence, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
33,04.10.2023,,"Dark:The Dark Order(Alex Reynolds,Evil Uno&John Silver) defeatBrandon Cutler,Colt Cabana&Matt SydalAEW Dynamite #209 - Anniversary 2023- Dark Match @ Stockton Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
34,13.09.2023,,"The Kingdom(Matt Taven&Mike Bennett) defeatChristopher Daniels&Matt Sydal(8:14)AEW Rampage #110- TV-Show @ Heritage Bank Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
35,09.09.2023,,"Matt SydaldefeatsTaylor WolfTrash Pro La Final del Torneo del Mejor Luchador de Chile- Event @ Teatro Las Tejas in Santiago de Chile, Chile",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
36,19.08.2023,,"Matt Sydal&YOHdefeatBUSHI&Shun Skywalker(8:55)NJPW All Star Junior Festival 2023 USA- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
37,16.08.2023,,"Matt SydaldefeatsSerpentico(6:32)ROH on HonorClub #26- Online Stream @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
38,09.08.2023,,"Gates Of Agony(Bishop Kaun&Toa Liona) defeatChristopher Daniels&Matt Sydal(10:11)ROH on HonorClub #25- Online Stream @ Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
39,26.07.2023,,"AEW World Tag Team Title#1 Contendership Battle Royal:Big Bill&Brian CagedefeatChristopher Daniels&Matt SydalandEthan Page&Isiah KassidyandJay Lethal&Satnam SinghandSpanish Announce Project(Luther&Serpentico) andThe Jericho Appreciation Society(Angelo Parker&Matt Menard) andThe Hardys(Jeff Hardy&Matt Hardy) andThe Butcher And The Blade(The Blade&The Butcher) (16:34)AEW Rampage #103- TV-Show @ MVP Arena in Albany, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
40,19.07.2023,,"AEW TNT Title#1 Contendership Royal Rampage 2023:Darby AllindefeatsAngelo ParkerandBig BillandBishop KaunandBrian CageandEthan PageandIsiah KassidyandJake HagerandJay LethalandJeff JarrettandKomanderandMatt HardyandMatt MenardandMatt SydalandMinoru SuzukiandNick WayneandSwerve StricklandandThe BladeandThe ButcherandToa Liona(28:33)AEW Rampage #102 - Royal Rampage 2023- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
41,08.07.2023,,"ROH World Six Man Tag Team Title:The Mogul Embassy(Bishop Kaun,Brian Cage&Toa Liona) (c) defeatChristopher Daniels,Darius Martin&Matt Sydal(12:04)ROH on HonorClub #20- Online Stream @ Brandt Centre in Regina, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
42,05.07.2023,,"Blind Eliminator Tag Team Tournament Quarter Final:Big Bill&Brian CagedefeatMatt Sydal&Trent Beretta(12:24)AEW Rampage #100- TV-Show @ Rogers Place in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
43,23.06.2023,,"Fuego Del SoldefeatsMatt Sydal(15:11)VIP Catch These Hands- Online Stream @ St. Jude Hall in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
44,17.06.2023,,"Big Bill&Lee MoriartydefeatBlake Christian&Matt Sydal(10:01)ROH on HonorClub #17- Online Stream @ United Center in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
45,04.06.2023,,"Matt SydaldefeatsZack Clayton(3:04)ROH on HonorClub #15- Online Stream @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
46,04.06.2023,,"ROH World Television Title:Samoa Joe(c) defeatsMatt Sydal(6:44)ROH on HonorClub #16- Online Stream @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
47,03.06.2023,,"WLW Junior Heavyweight Title:MosesdefeatsMatt Sydal(c) (11:35) -TITLE CHANGE !!!WLW Gold Rush 2023- Online Stream @ Harley Race Wrestling Arena in Troy, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
48,07.05.2023,,"Samoa Joe&Zack Sabre Jr.defeatChristopher Daniels&Matt Sydalby referee's decision (15:18)ROH on HonorClub #13- Online Stream @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
49,06.05.2023,,"Christopher Daniels&Matt SydaldefeatCole Karter&Zack Clayton(6:27)ROH on HonorClub #12- Online Stream @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
50,20.04.2023,,Kill City Cup First Round Three Way:Hecates HangmandefeatsMaxwell ChicagoandNeo-ShamanKill City Cup: America's Most Badass Tournament- Online Stream @ USA,https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
51,26.02.2023,,"Aussie Open(Kyle Fletcher&Mark Davis) defeatChristopher Daniels&Matt Sydal(14:11)ROH on HonorClub #4- Online Stream @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
52,26.02.2023,,"Christopher Daniels&Matt SydaldefeatThe Outrunners(Truth Magnum&Turbo Floyd) (2:42)ROH on HonorClub #3- Online Stream @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
53,25.02.2023,,"WLW Junior Heavyweight Title:Matt SydaldefeatsRahim De La Suede(c) -TITLE CHANGE !!!WLW Showdown #212- Online Stream @ Davidson Fitness Center in Fort Leonard Wood, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/30/AJ_%26_Matt....jpg
