date,event,result,location,image_url
1,29.04.2025,,"Manami&Meiko SatomuradefeatAja Kong&Chihiro Hashimoto(22:55)Sendai Girls Meiko Satomura THE FINAL- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
2,29.04.2025,,"Five On Two Handicap:Aja Kong&Meiko Satomuravs.Chihiro Hashimoto,Mika Iwata,Senka Akatsuki,Takumi Iroha&YUNA- Time Limit Draw (5:00)Sendai Girls Meiko Satomura THE FINAL- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
3,27.04.2025,,"Meiko Satomura,Mika Iwata&YUNAdefeatCosmic Angels(Aya Sakura,Natsupoi&Saori Anou) (13:05)Stardom All-Star Grand Queendom 2025- TV-Show @ Yokohama Arena in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
4,26.04.2025,,"DASH Chisako&Meiko SatomuradefeatHiroyo Matsumoto&Ryo Mizunami(20:00)Sendai Girls- Online Stream @ Sendai PIT in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
5,25.04.2025,,"Chigusa Nagayo&Meiko SatomuradefeatSenka Akatsuki&YUNA(14:42)Tenryu Project Live For Today ~ Tenryu Project 15th Anniversary- TV-Show @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
6,23.04.2025,,"Chikayo Nagashima&Sonoko KatodefeatMeiko Satomura& Shin Meiko Satomura (Shin Sakura Hirota) (18:37)WAVE Shin Sakura Hirota Produce Welcome To Saku Paradise ~ Let's Have Fun One Last Time- Event @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
7,16.04.2025,,"Team 200kg(Chihiro Hashimoto&Yuu) defeatMeiko Satomura&Sareee(19:16)Fortune Dream 10- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
8,15.04.2025,,"Exhibition:Kenohvs.Meiko Satomura- Time Limit Draw (5:00)Kenoh 3rd Anniversary Thanksgiving Festival ~ All The Bastards Assemble- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
9,13.04.2025,,"Meiko Satomura&Sonoko KatodefeatChikayo Nagashima&Mayumi Ozaki(15:51)OZ Academy Sonoko Kato Debut 30th Anniversary ~ Battle Big Bonus 2025- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
10,12.04.2025,,"Meiko Satomura&Ryo MizunamidefeatManami&Yurika Oka(17:23)Sendai Girls- Online Stream @ Azalea Taisho Hall in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c1/Meiko_Satomura_CHIKARA.jpg
