date,event,result,location,image_url
1,14.09.2025,,"STARS(Bea Priestley,Hanan,Momo Kohgo&Saya Iida) defeatHATE(Konami,Momo Watanabe,Rina&Saya Kamitani) (15:42)Stardom- Online Stream @ Kanazawa Distribution Center in Kanazawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
2,13.09.2025,,"HATE(Konami,Momo Watanabe&Saya Kamitani) vs.Neo Genesis(AZM,Miyu Amasaki&Starlight Kid) - Double Count Out (14:07)Stardom- Online Stream @ Sanjo City Public Welfare Hall in Sanjo, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
3,10.09.2025,,"Bea Priestley&STARS(Hanan,Momo Kohgo&Saya Iida) defeatHATE(Azusa Inaba,Momo Watanabe,Natsuko Tora&Saya Kamitani) (9:00)Stardom Nighter In Korakuen- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
4,06.09.2025,,"HATE(Azusa Inaba,Konami&Momo Watanabe) defeatMi Vida Loca(Bozilla,Itsuki Aoki&Rina Yamashita) (10:14)Stardom To The World- TV-Show @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
5,23.08.2025,,"5STAR Grand Prix 2025 Final:Momo WatanabedefeatsAZM(21:11)Stardom 5STAR Grand Prix 2025 - Tag 13- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
6,23.08.2025,,"5STAR Grand Prix 2025 Semi Final:Momo WatanabedefeatsSaori Anou(14:02)Stardom 5STAR Grand Prix 2025 - Tag 13- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
7,20.08.2025,,"5STAR Grand Prix 2025 Quarter Final Blue Stars:Momo WatanabedefeatsAmi Sourei(11:41)Stardom 5STAR Grand Prix 2025 - Tag 12- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
8,20.08.2025,,"5STAR Grand Prix 2025 Semi Final Blue Stars:Momo WatanabedefeatsSareee(15:13)Stardom 5STAR Grand Prix 2025 - Tag 12- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
9,16.08.2025,,"5STAR Grand Prix 2025 Block B:Sareee[9] defeatsMomo Watanabe[8] (12:29)Stardom 5STAR Grand Prix 2025 - Tag 10- Pay Per View @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
10,11.08.2025,,"5STAR Grand Prix 2025 Block B:Hina[4] defeatsMomo Watanabe[8] (9:17)Stardom 5STAR Grand Prix 2025 - Tag 9- Online Stream @ Kobe Geijutsu Center in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
11,09.08.2025,,"5STAR Grand Prix 2025 Block B:HANAKO[7] defeatsMomo Watanabe[8] (14:25)Stardom 5STAR Grand Prix 2025 - Tag 7- Online Stream @ Kyoto KBS Hall in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/7/74/Momo_Watanabe_in_April_2024.jpg
