date,event,result,location,image_url
1,24.08.2025,,"IWGP World Heavyweight Title:Zack Sabre Jr.(c) defeatsNigel McGuinness(17:01)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
2,14.08.2025,,"IWGP World Heavyweight Title#1 Contendership Four Way:Nigel McGuinnessdefeatsDaniel GarciaandHechiceroandLee Moriarty(15:35)AEW Collision #106- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
3,25.05.2025,,"FTR(Cash Wheeler&Dax Harwood) defeatDaniel Garcia&Nigel McGuinnessby referee's decision (23:31)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
4,20.12.2024,,"ROH Pure Title:Lee Moriarty(c) defeatsNigel McGuinness(17:05)ROH Final Battle 2024- Online Stream @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
5,25.09.2024,,"Bryan DanielsondefeatsNigel McGuinness(18:51)AEW Dynamite #260 - Grand Slam 2024 - Tag 1- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
6,25.08.2024,,"AEW World Title#1 Contendership Casino Gauntlet:Christian CagedefeatsAdam PageandJeff JarrettandKazuchika OkadaandKyle O'ReillyandLuchasaurusandMark BriscoeandNigel McGuinnessandOrange CassidyandRicochetandRoderick StrongandZack Sabre Jr.(25:57)AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
7,17.12.2011,,"TJ PhillipsdefeatsNigel McGuinnessAPWA 3rd Annual Holiday Grand Prix - Tag 2- Event @ The Summit Park VFD in Clarksburg, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
8,16.12.2011,,"Irish Airborne(Dave Crist&Jake Crist) defeatNigel McGuinness&TJ PhillipsAPWA 3rd Annual Holiday Grand Prix - Tag 1- Event @ The Summit Park VFD in Clarksburg, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
9,10.12.2011,,"Nigel McGuinnessdefeatsMartin KirbySWE Seasons Beatings- Event @ Gym Combat in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
10,04.12.2011,,"Jack GallagherdefeatsNigel McGuinness(9:33)NGW Eternal Glory III- Event @ Eastmount Recreation Centre in Hull, East Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
11,03.12.2011,,"Disco Madness(Mad Man Manson&Sam Bailey) defeatDave Rayne&Nigel McGuinness(16:38)PCW Festive Fury- Event @ Lava & Ignite in Preston, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
12,27.11.2011,,"Joel RedmandefeatsNigel McGuinness(13:30)IPW:UK 7 Year Anniversary Show- Event @ Swallows Leisure Centre in Sittingbourne, Kent, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
13,26.11.2011,,"Jon RyandefeatsNigel McGuinness(22:50)wXw 11th Anniversary- Event @ Turbinenhalle in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
14,25.11.2011,,"FCP TitleThree Way:Eddie EdwardsdefeatsNigel McGuinnessandTrent Seven(c) -TITLE CHANGE !!!FCP Infinity 2011- Event @ The Planet Nightclub in Wolverhampton, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/Desmond_Wolfe_%26_Kurt_Angle_in_January_2010_%28cropped%29.jpg
