date,event,result,location,image_url
1,29.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
2,28.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
3,27.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
4,26.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
5,09.09.2024,,"Mixed Street Fight:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatAmerican Made(Brutus Creed,Chad Gable,Ivy Nile&Julius Creed) (16:55)WWE Monday Night RAW #1633- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
6,06.11.2023,,"WWE Women's World Title#1 Contendership Battle Royal:Zoey StarkdefeatsChelsea GreenandIndi HartwellandIvy NileandKatana ChanceandKayden CarterandMaxxine DupriandNatalyaandNia JaxandNikki CrossandPiper NivenandRaquel RodriguezandShayna BaszlerandTegan Nox(16:00)WWE Monday Night RAW #1589- TV-Show @ Mohegan Sun Arena in Wilkes-Barre, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
7,23.10.2023,,"Chelsea Green&Piper NivendefeatNatalya&Nikki Cross(3:13)WWE Monday Night RAW #1587- TV-Show @ American Airlines Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
8,09.10.2023,,"Nikki CrossdefeatsKiana James(5:06)WWE Main Event #576- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
9,02.10.2023,,"Nikki CrossdefeatsKayden Carter(6:54)WWE Main Event #575- Online Stream @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
10,25.09.2023,,"Nikki CrossdefeatsXia Li(7:41)WWE Main Event #574- Online Stream @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/e/ec/Nikki_Cross_083125.jpg
