date,event,result,location,image_url
1,12.09.2025,,"WWE NXT Title:Oba Femi(c) defeatsShawn SpearsWWE NXT Live- House Show @ Havert L. Fenn Center in Fort Pierce, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
2,07.09.2025,,"WWE NXT Title:Oba Femi(c) defeatsGrayson WallerWWE NXT Live- House Show @ Bell Auditorium in Augusta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
3,06.09.2025,,"Hank And Tank(Hank Walker&Tank Ledger) &Oba FemidefeatEthan Page,Jasper Troy&RusevWWE NXT Live- House Show @ Charleston Area Convention Center in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
4,05.09.2025,,"WWE NXT Title:Oba Femi(c) defeatsGrayson WallerWWE NXT Live- House Show @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
5,02.09.2025,,"Hank And Tank(Hank Walker&Tank Ledger),Oba Femi&Ricky SaintsdefeatDarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) (12:00)WWE NXT #801- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
6,24.08.2025,,"WWE NXT Title:Oba Femi(c) defeatsJe'Von Evans(17:44)WWE Heatwave 2025- Premium Live Event @ Lowell Memorial Auditorium in Lowell, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
7,12.08.2025,,"DarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) defeatJe'Von Evans,Moose,Oba Femi&Trick Williams(13:19)WWE NXT #798- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
8,22.07.2025,,"WWE NXT TitleTriple Threat:Oba Femi(c) defeatsJosh BriggsandYoshiki Inamura(9:34)WWE NXT #795- TV-Show @ 713 Music Hall in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
9,19.07.2025,,"WWE NXT Title:Oba Femi(c) defeatsHank WalkerWWE NXT Live- House Show @ University Area CDC Gymnasium in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
10,12.07.2025,,"WWE NXT Title:Oba Femi(c) defeatsYoshiki Inamura(13:19)WWE NXT The Great American Bash 2025- Premium Live Event @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
11,28.06.2025,,"WWE NXT Title:Oba Femi(c) defeatsNiko VanceWWE NXT Live- House Show @ Melbourne Auditorium in Melbourne, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
12,14.06.2025,,"WWE NXT Title:Oba Femi(c) defeatsYoshiki InamuraWWE NXT Live- House Show @ Dade City Armory in Dade City, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
13,10.06.2025,,"WWE NXT Title:Oba Femi(c) defeatsJasper Troy(11:21)WWE NXT #789- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
14,25.05.2025,,"WWE NXT Title:Oba Femi(c) defeatsMyles Borne(16:50)WWE Battleground 2025- Premium Live Event @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
15,16.05.2025,,"WWE NXT Title:Oba Femi(c) defeatsDante ChenWWE NXT Live- House Show @ Lakeland Armory in Lakeland, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
16,13.05.2025,,"Oba FemidefeatsCharlie Dempsey(8:24)WWE NXT #785- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
17,26.04.2025,,"WWE NXT Title:Oba Femi(c) defeatsBrooks JensenWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
18,19.04.2025,,"WWE NXT TitleTriple Threat:Oba Femi(c) defeatsJe'Von EvansandTrick Williams(16:58)WWE Stand & Deliver 2025- Premium Live Event @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
19,08.04.2025,,"DarkState(Cutler James,Dion Lennox&Saquon Shugars) defeatJe'Von Evans,Oba Femi&Trick Williams(13:30)WWE NXT #780- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
20,04.04.2025,,"WWE NXT Title:Oba Femi(c) defeatsChanning Lorenzoby DQWWE NXT Live- House Show @ National Guard Armory in Crystal River, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
21,21.03.2025,,"WWE Title:Oba Femi(c) defeatsBrooks JensenWWE NXT Live- House Show @ Melbourne Auditorium in Melbourne, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
22,11.03.2025,,"WWE NXT Title:Oba Femi(c) defeatsMoose(13:36)WWE NXT #776 - Roadblock 2025- TV-Show @ The Theater At Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
23,07.03.2025,,"WWE NXT TitleTriple Threat:Oba Femi(c) defeatsRidge HollandandWes LeeWWE NXT Live- House Show @ Jacksonville Armory in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
24,20.02.2025,,"The System(Brian Myers,Eddie Edwards&Moose) defeatOba Femi&The Hardys(Jeff Hardy&Matt Hardy) (6:50)TNA iMPACT #1075- TV-Show @ Full Sail University in Winter Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
25,15.02.2025,,"WWE NXT TitleTriple Threat:Oba Femi(c) defeatsAustin TheoryandGrayson Waller(13:13)WWE Vengeance Day 2025- Premium Live Event @ CareFirst Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
26,08.02.2025,,"WWE NXT Title:Oba Femi(c) defeatsEddy ThorpeWWE NXT Live- House Show @ University Area CDC Gymnasium in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
27,04.02.2025,,"A-Town Down Under(Austin Theory&Grayson Waller) defeatOba Femi&Trick Williams(12:05)WWE NXT #771- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
28,21.01.2025,,"WWE NXT Title:Oba Femi(c) defeatsEddy Thorpe(10:19)WWE NXT #769- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
29,17.01.2025,,"WWE NXT Title:Oba Femi(c) defeatsBrooks JensenWWE NXT Live- House Show @ Citrus Springs Community Center in Citrus Springs, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
30,11.01.2025,,"WWE NXT Title:Oba Femi(c) defeatsJasper TroyWWE NXT Live- House Show @ Jacksonville Armory in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
31,07.01.2025,,"WWE NXT TitleTriple Threat:Oba FemidefeatsEddy ThorpeandTrick Williams(c) (10:43) -TITLE CHANGE !!!WWE NXT #767 - New Year's Evil 2025- TV-Show @ Shrine Expo Hall in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
32,20.12.2024,,"Oba FemidefeatsDrake MorreauxWWE NXT Live- House Show @ St. Petersburg Armory in St. Petersburg, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
33,17.12.2024,,"Oba FemidefeatsAxiom(10:20)WWE NXT #764- TV-Show @ Lowell Memorial Auditorium in Lowell, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
34,07.12.2024,,"WWE NXT Title#1 Contendership Iron Survivor Challenge:Oba Femi[3] defeatsEthan Page[2] andJe'Von Evans[2] andNathan Frazer[1] andWes Lee[1] (25:00)WWE Deadline 2024- Premium Live Event @ Minneapolis Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
35,27.10.2024,,"WWE NXT North American TitleTables, Ladders & Scares:Tony D'Angelo(c) defeatsOba Femi(15:25)WWE Halloween Havoc 2024- Premium Live Event @ GIANT Center in Hershey, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
36,22.10.2024,,"Oba FemidefeatsLuca Crusifino(3:06)WWE NXT #756- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
37,08.10.2024,,"WWE NXT North American Title:Tony D'AngelodefeatsOba Femi(c) (14:00) -TITLE CHANGE !!!WWE NXT #754- TV-Show @ The Factory At The District in Chesterfield, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
38,10.09.2024,,"Oba FemidefeatsHammerstone(5:26)WWE NXT #750- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
39,03.09.2024,,"Oba FemidefeatsChanning Lorenzo(4:34)WWE NXT #749- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
40,01.09.2024,,"WWE NXT North American Title:Oba Femi(c) defeatsTony D'Angelo(13:46)WWE NXT No Mercy 2024- Premium Live Event @ Ball Arena in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
41,24.08.2024,,"WWE NXT North American Title:Oba Femi(c) defeatsMyles BorneWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
42,13.08.2024,,"WWE NXT North American Title:Oba Femi(c) defeatsOtis(10:37)WWE NXT #746- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
43,12.08.2024,,"Oba FemidefeatsDante Chen(5:23)WWE Main Event #620- Online Stream @ Moody Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
44,10.08.2024,,"Oba FemidefeatsRobert StoneWWE NXT Live- House Show @ St. Petersburg Armory in St. Petersburg, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
45,16.07.2024,,"WWE NXT North American Title:Oba Femi(c) defeatsDuke Hudson(11:34)WWE NXT #742- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
46,12.07.2024,,"WWE NXT North American Title:Oba Femi(c) defeatsDuke HudsonWWE NXT Live- House Show @ Alan Jay Arena in Sebring, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
47,07.07.2024,,"WWE NXT North American Title:Oba Femi(c) defeatsWes Lee(16:19)WWE NXT Heatwave 2024- Premium Live Event @ Scotiabank Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
48,22.06.2024,,"WWE NXT North American Title:Oba Femi(c) defeatsLuca CrusifinoWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Oba_Femi_081925_%28cropped%29.jpg
