date,event,result,location,image_url
1,30.08.2025,,"The Velveteen Dreamdefeats CamachoLucha Libre Promotions Lucha Madness- Event @ Anthem Row in Washington, District Of Columbia, USA",
2,27.07.2025,,"Chris SladedefeatsPatrick ClarkMCW Summer Slamboree- Event @ North Point Flea Market in Dundalk, Maryland, USA",
3,26.07.2025,,"Chris Slade& Khazman Lee defeatJoseph Keys&Patrick ClarkMCW Breakthrough Taping- Event @ 5th Company Brewery in Perryville, Maryland, USA",
4,08.06.2025,,"Dirty Larry,Marcus Monere&Patrick ClarkdefeatRon Corvus,Scott Molloy& Wolfgang StormVaria Wrestling Kiev FanCon 2025 - Tag 2- Event @ Kiew, Ukraine",
5,07.06.2025,,"Patrick ClarkdefeatsRon CorvusVaria Wrestling Kiev FanCon 2025 - Tag 1- Event @ Kiew, Ukraine",
6,26.04.2025,,"Ken Dixon&Spencer SladedefeatJoseph Keys&Patrick ClarkMCW Spring Fever 2025 - Tag 3- Event @ RJ Meyer Arena in Joppa, Maryland, USA",
7,23.03.2025,,"MCW Heavyweight TitleFour Way:Joseph Keys(c) defeatsMyles HawkinsandPatrick ClarkandSpencer SladeMCW Spring Fever 2025 - Tag 2- Event @ North Point Flea Market in Dundalk, Maryland, USA",
8,22.03.2025,,"Street Fight:Patrick ClarkdefeatsKen DixonMCW Spring Fever 2025 - Tag 1- Event @ Hollywood Volunteer Fire Department in Hollywood, Maryland, USA",
9,15.03.2025,,"Patrick ClarkdefeatsRyan ZukkoMCW Winter Blast 2025 - Tag 5- Event @ Coppermine Pantherplex in Hampstead, Maryland, USA",
10,16.02.2025,,"Spencer SladedefeatsPatrick ClarkMCW Fan Jam 4- Event @ RJ Meyer Arena in Joppa, Maryland, USA",
11,25.01.2025,,"Patrick ClarkdefeatsSpencer SladeMCW Winter Blast 2025 - Tag 1- Event @ Hollywood Volunteer Fire Department in Hollywood, Maryland, USA",
