date,event,result,location,image_url
1,09.03.2025,,"Battle Royal:The Sandmandefeats ??? andBetty DandBruce GreyandChainsaw Nateand Emily Rose and Gen Z andHuffmanlyandJames Ellsworthand Kronos andMike Howardand OK andZeke MercerACW Nothing But A Good Time- Event @ Spooky Nook Sports in Hamilton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
2,16.11.2024,,"Bill Bain&The Sandmandefeat Chukwu &Tony MackoMCW Autumn Armageddon 2024 - Tag 4- Event @ Frederick Elks Lodge 684 in Frederick, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
3,20.04.2024,,"John McChesney&The SandmandefeatChris Taylor&J-Rocc(7:08)RWA Spring Fling 2024- Event @ West Newton Gym in West Newton, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
4,16.03.2024,,"Chris TaylordefeatsThe Sandman(1:44)RWA March To Victory 2024- Event @ West Newton Gym in West Newton, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
5,29.04.2023,,"ECW Rules:The SandmandefeatsThe DilfFYW All Gas No Brakes!- Online Stream @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
6,03.12.2022,,"GCW Tag Team   TitleThree Way:Los Macizos(Ciclope&Miedo Extremo) (c) defeat2 Cold Scorpio&The SandmanandThe Second Gear Crew(Mance Warner&Matthew Justice) (7:19)GCW Wasted Time- Pay Per View @ Pop's Nightclub in Sauget, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
7,03.10.2021,,"WCR Texas Title Hardcore:The Blood Hunter(c) defeatsThe Sandman(4:45)WCR Clash At The Cotillion V: Flame On, Game On- Event @ The Cotillion in Wichita, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
8,24.04.2021,,"Brandon Day,Dirtbag Dan, Hooks &Shane DouglasdefeatThe War Hoss(Crosshairs Kelly&Pat The Bruiser),Sgt. Ledbetter&The SandmanBOTB New Beginnings- Event @ Aurora Recreation Community Center in Aurora, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
9,23.04.2021,,"Shane DouglasdefeatsThe SandmanBOTB Legends & All Stars- Event @ Globetrotters VFW in Addyston, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
10,20.03.2021,,"Three Way:The SandmandefeatsAlex OceanandMatthew Justice(9:12)CCW Anniversary 17- Event @ Xtreme Action Park in Fort Lauderdale, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
11,19.03.2021,,"ViniciousdefeatsThe Sandman(2:30)CCW St. Lucie Showdown- Event @ MidFlorida Credit Union Event Center in Port St. Lucie, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
12,18.03.2021,,"Hardcore Cup 2021 First Round:Alex OceandefeatsThe Sandman(0:05)CCW Hardcore Cup 2021- Event @ Boca Black Box Theater in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
13,21.02.2020,,"ARW Next Level TitleFour Way:Shannon MooredefeatsVertigo(c) andChico AdamsandThe Sandman-TITLE CHANGE !!!ARW The Extreme Torch - 3 Year Anniversary- Event @ Space Coast Convention Center in Cocoa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Bundesarchiv_Bild_183-1984-1126-312%2C_Sandm%C3%A4nnchen%2C_25._Geburtstag.jpg
