date,event,result,location,image_url
1,02.04.2022,,"No Holds Barred:Steve AustindefeatsKevin Owens(13:55)WWE WrestleMania 38 - Saturday- Premium Live Event @ AT&T Stadium in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
2,30.03.2003,,"The RockdefeatsSteve Austin(17:55)WWE WrestleMania XIX - ""Dare To Dream""- Pay Per View @ Safeco Field in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
3,17.03.2003,,"No Disqualification:Steve AustindefeatsEric Bischoff(4:21)WWE RAW #512- TV-Show @ Savvis Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
4,23.02.2003,,"Steve AustindefeatsEric Bischoff(4:28)WWE No Way Out 2003- Pay Per View @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
5,09.06.2002,,"Steel Cage:Steve AustindefeatsRic FlairWWE RAW House Show- House Show @ Civic Center in Columbus, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
6,08.06.2002,,"Steel Cage:Steve AustindefeatsRic FlairWWE RAW House Show- House Show @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
7,07.06.2002,,"Steve AustindefeatsEddie GuerreroWWE RAW House Show- House Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
8,03.06.2002,,"No Punches Allowed Pure Wrestling:Steve AustindefeatsRic Flair(14:33)WWE RAW #471- TV-Show @ American Airlines Arena in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
9,02.06.2002,,"Steve AustindefeatsEddie GuerreroWWE RAW House Show- House Show @ The Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
10,26.05.2002,,"Steve AustindefeatsEddie GuerreroWWE RAW House Show- House Show @ Red Deer, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
11,25.05.2002,,"Steve AustindefeatsEddie GuerreroWWE RAW House Show- House Show @ The Arena in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
12,19.05.2002,,"Two On One Handicap:Steve AustindefeatsRic Flair&The Big Show(15:34)WWE Judgment Day 2002- Pay Per View @ Gaylord Entertainment Center in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
13,18.05.2002,,"Two On One Handicap Steel Cage:Steve AustindefeatsRic Flair&The Big ShowWWE RAW House Show- House Show @ Entertainment & Sports Arena in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
14,17.05.2002,,"Two On One Handicap Steel Cage:Steve AustindefeatsRic Flair&The Big ShowWWE RAW House Show- House Show @ Freedom Hall in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
15,13.05.2002,,"Lumberjack:Steve AustindefeatsBooker T(5:27)WWE RAW #468- TV-Show @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
16,06.05.2002,,"Bradshaw,Ric Flair&Steve Austinvs.The nWo(Scott Hall,The Big Show&X-Pac) - No Contest (15:51)WWE RAW #467- TV-Show @ Civic Center in Hartford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
17,04.05.2002,,"Match (Special Referee: Ric Flair):Steve AustindefeatsThe Big Show(15:00)WWF Insurrextion 2002- Pay Per View @ Wembley Arena in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
18,03.05.2002,,"Steve AustindefeatsScott HallWWF Road To Insurrextion Tour - Tag 3- House Show @ Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
19,02.05.2002,,"Steve AustindefeatsThe Big ShowWWF Road To Insurrextion Tour - Tag 2- House Show @ Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
20,01.05.2002,,"Steve AustindefeatsThe UndertakerWWF Road To Insurrextion Tour - Tag 1- House Show @ Kölnarena in Köln, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
21,29.04.2002,,"(Special Referee: Ric Flair):Bradshaw&Steve AustindefeatThe nWo(Scott Hall&X-Pac) (7:30)WWF RAW #466- TV-Show @ HSBC Arena in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
22,22.04.2002,,"Steve Austin&The Big Showvs.The nWo(Scott Hall&X-Pac) - No Contest (7:30)WWF RAW #465- TV-Show @ Savvis Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
23,21.04.2002,,"WWF Undisputed World Heavyweight Title#1 Contendership Match (Special Referee: Ric Flair):The UndertakerdefeatsSteve Austin(27:02)WWF Backlash 2002- Pay Per View @ Kemper Arena in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
24,19.04.2002,,"Steve AustindefeatsThe UndertakerWWF RAW House Show- House Show @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
25,15.04.2002,,"Three On Two Handicap:Bradshaw&Steve AustindefeatThe nWo(Scott Hall&X-Pac) &The Undertaker(7:14)WWF RAW #464- TV-Show @ Reed Arena in College Station, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
26,14.04.2002,,"The UndertakerdefeatsSteve AustinWWF RAW House Show- House Show @ Abilene, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
27,13.04.2002,,"The UndertakerdefeatsSteve AustinWWF RAW House Show- House Show @ Ector County Coliseum in Odessa, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
28,12.04.2002,,"The UndertakerdefeatsSteve AustinWWF RAW House Show- House Show @ Amarillo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
29,08.04.2002,,"WWF Undisputed World Heavyweight Title#1 Contendership:Steve AustindefeatsScott Hall(9:35)WWF RAW #463- TV-Show @ America West Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
30,07.04.2002,,"WWF Undisputed World Heavyweight Title#1 Contendership:The UndertakerdefeatsSteve AustinWWF RAW House Show- House Show @ The Coliseum in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
31,06.04.2002,,"No Disqualification:The UndertakerdefeatsSteve AustinWWF RAW House Show- House Show @ E Center in West Valley City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
32,02.04.2002,,"Kane&Steve AustindefeatBooker T&The UndertakerWWF RAW House Show- House Show @ Sovereign Center in Reading, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
33,17.03.2002,,"Steve AustindefeatsScott Hall(9:53)WWF WrestleMania X8 - ""The One And Only""- Pay Per View @ SkyDome in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
34,11.03.2002,,"Three On Two Handicap:The nWo(Hollywood Hogan,Kevin Nash&Scott Hall) defeatSteve Austin&The Rock(9:12)WWF RAW #459- TV-Show @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
35,10.03.2002,,"Steve AustindefeatsScott HallWWF House Show- House Show @ The Coliseum in Fort Wayne, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
36,04.03.2002,,"Booker Tvs.Steve Austin- No Contest (2:25)WWF RAW #458- TV-Show @ Frank Erwin Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
37,03.03.2002,,"Steve AustindefeatsScott HallWWF House Show- House Show @ Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
38,02.03.2002,,"Steve AustindefeatsScott HallWWF House Show- House Show @ Civic Center in Lake Charles, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
39,01.03.2002,,"Steve AustindefeatsScott HallWWF House Show- House Show @ Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
40,25.02.2002,,"Steve AustindefeatsMr. Perfect(4:56)WWF RAW #457- TV-Show @ Dunkin' Donuts Center in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
41,24.02.2002,,"Steve AustindefeatsScott HallWWF House Show- House Show @ Verizon Wireless Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Austin_with_WWF_title.jpg
