date,event,result,location,image_url
1,30.08.2025,,"Tim BosbydefeatsTimothy Thatcher(13:19)Memphis Wrestling #236- Online Stream @ Memphis Wrestling WrestleCenter in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
2,29.08.2025,,"Ryan ClancydefeatsTimothy Thatcher(7:55)Beyond Americanrana 2025- Online Stream @ Rhodes On The Pawtuxet in Cranston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
3,28.08.2025,,"Timothy Thatcherdefeats Jariel Rivera (8:13)Wrestling Open #191- Online Stream @ Electric Haze in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
4,17.08.2025,,"Adrenaline Drip(Cappuccino Jones&Jack Cartwheel) defeatOlumide&Timothy ThatcherSPW Lemonade 2025- Event @ Soccer World Indoor Arena in Elk Grove, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
5,02.08.2025,,"Timothy ThatcherdefeatsSLADEby DQ (4:41)GCW Josh Barnett's Bloodsport XIV- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
6,01.08.2025,,"Timothy ThatcherdefeatsAaron Rourke(18:10)GCW ID Showcase- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
7,19.07.2025,,"WWE EVOLVE Title:Jackson Drake(c) defeatsTimothy Thatcher(13:56)WWN/HOC ID Showcase- Online Stream @ House Of Champions Pro Wrestling Training Center in Longwood, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
8,15.07.2025,,"Ice WilliamsdefeatsTimothy ThatcherRMP Ignition- Online Stream @ The Quarry At The Jefferson County Colorado Fairgrounds in Golden, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
9,15.07.2025,,"RMP Title:Timothy Thatcher(c) defeats Stanley LoganRMP Ignition- Online Stream @ The Quarry At The Jefferson County Colorado Fairgrounds in Golden, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
10,12.07.2025,,"IWC Super Indy Title:Sam Holloway(c) defeatsTimothy Thatcher(8:30)IWC Wipeout 2025- Pay Per View @ Marx's Court Theatre in Elizabeth, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
11,07.07.2025,,"Steven StetsondefeatsTimothy Thatcher(9:19)Wrestling Open RI #14- Online Stream @ Rhodes On The Pawtuxet in Cranston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
12,06.07.2025,,"Mance WarnerdefeatsTimothy Thatcher(11:32)JCW Born (Almost) On The Fourth Of July- Online Stream @ House Of Independents in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
13,27.06.2025,,"West Coast Pro Golden Gate Title:Bret The Threat(c) defeatsTimothy Thatcher(11:17)West Coast Pro For The Love Of The Game- Online Stream @ Pacifica, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
14,20.06.2025,,"Timothy ThatcherdefeatsKeanu Carverby DQ (6:51)WWE EVOLVE #19- Online Stream @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
15,15.06.2025,,"Timothy ThatcherdefeatsOlumideSPW Dishonored- Event @ Soccer World Indoore Arena in Elks Grove, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
16,08.06.2025,,"Timothy ThatcherdefeatsSam Holloway(10:46)NYWC ID Showcase- Online Stream @ NYWC Sportatorium in Deer Park, New York, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
17,12.05.2025,,"Marcus MathersdefeatsTimothy Thatcher(10:11)Wrestling Open RI #7- Online Stream @ Rhodes On The Pawtuxet in Cranston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
18,11.05.2025,,"JCW Title:Masha Slamovich(c) defeatsTimothy Thatcher(13:31)JCW May Flowers 2025- Online Stream @ House Of Independents in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
19,08.05.2025,,"Timothy ThatcherdefeatsFreedom RamseyRMP Charged #445- Online Stream @ The Quarry At The Jefferson County Colorado Fairgrounds in Golden, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/7/73/20230122timothy1.jpg
