date,event,result,location,image_url
1,07.09.2025,,"Kouki Amarei,Utami Hayashishita& Yuuka Yamazaki defeatDarkness Revolution(Misa Matsui,Nagisa Nozaki&Rea Seto) (16:34)Marigold Dream Star Grand Prix 2025 - Tag 11- Online Stream @ Mie Prefectural General Bunka Center in Tsu, Mie, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
2,06.09.2025,,"Kouki Amarei,Nao Ishikawa&Utami HayashishitadefeatChika Goto,Mai Sakurai&Nagisa Tachibana(17:07)Marigold Dream Star Grand Prix 2025 - Tag 10- Online Stream @ Bolfert Toyama 2F Multipurpose Hall in Toyama, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
3,02.09.2025,,"Darkness Revolution(CHIAKI,Misa Matsui&Nagisa Nozaki) defeatMinami Yuuki,MIRAI&Utami Hayashishita(11:20)Marigold Dream Star Grand Prix 2025 - Tag 9- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
4,30.08.2025,,"DREAM STAR Grand Prix 2025 DREAM League:Mayu Iwatani[5] vs.Utami Hayashishita[9] - Time Limit Draw (15:00)Marigold Dream Star Grand Prix 2025 - Tag 8- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
5,22.08.2025,,"DREAM STAR Grand Prix 2025 DREAM League:Utami Hayashishita[8] defeatsMaria[4] (8:58)Marigold Dream Star Grand Prix 2025 - Tag 7- Online Stream @ Sunpearl Arakawa in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
6,17.08.2025,,"Mayu Iwatani,Seri Yamaoka&ShinnodefeatKomomo Minami,Utami Hayashishita&Victoria Yuzuki(13:48)Marigold Dream Star Grand Prix 2025 - Tag 6- Online Stream @ Shibuya Sports Center in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
7,16.08.2025,,"DREAM STAR Grand Prix 2025 DREAM League:Utami Hayashishita[6] defeatsSeri Yamaoka[4] (11:03)Marigold Dream Star Grand Prix 2025 - Tag 5- Online Stream @ Ichikawa City Bunka Hall in Ichikawa, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
8,10.08.2025,,"Chika Goto,Kouki Amarei,Miku Aono&Minami YuukidefeatKizuna Tanaka,Komomo Minami,Shinno&Utami Hayashishita(16:59)Marigold Dream Star Grand Prix 2025 - Tag 4- Online Stream @ Sendai PIT in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
9,09.08.2025,,"Komomo Minami,Minami Yuuki&Utami HayashishitadefeatKizuna Tanaka,Miku Aono& Yuuka Yamazaki (9:22)Marigold Dream Star Grand Prix 2025 - Tag 3: MIRAI Homecoming- Online Stream @ Miyako City General Gymnasium in Miyako, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
10,08.08.2025,,"Ten Men Elimination:Komomo Minami,Miku Aono,Seri Yamaoka,Utami Hayashishita&Victoria YuzukidefeatAi Houzan,Maria,Mio Momono,Riko Kawahata&Sora Ayame[5:3] (42:36)Marvelous- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
11,03.08.2025,,"DREAM STAR Grand Prix 2025 DREAM League:Utami Hayashishita[4] defeatsCHIAKI[0] (7:27)Marigold Dream Star Grand Prix 2025 - Tag 2- Online Stream @ Hiroshima Prefectural Industrial Hall East Exhibition Hall in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
12,02.08.2025,,"DREAM STAR Grand Prix 2025 DREAM League:Utami Hayashishita[2] defeatsRea Seto[0] (6:16)Marigold Dream Star Grand Prix 2025 - Tag 1 (Afternoon Show)- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
13,02.08.2025,,"DREAM STAR Grand Prix 2025 DREAM League:Victoria Yuzuki[2] defeatsUtami Hayashishita[0] (11:13)Marigold Dream Star Grand Prix 2025 - Tag 1 (Morning Show)- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
14,29.07.2025,,"Chanyota,Kizuna Tanaka,Mai Sakurai&Miku Aonovs.Kouki Amarei,Seri Yamaoka,Utami Hayashishita&Victoria Yuzuki- Time Limit Draw (20:00)Marigold 1st Anniversary Series ~ Burning Desire - Tag 17- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
15,21.07.2025,,"Mayu Iwatani,MIRAI&Utami HayashishitadefeatSeri Yamaoka,Shinno& Yuuka Yamazaki (14:39)Marigold 1st Anniversary Series ~ Burning Desire - Tag 16- Online Stream @ Kariya City Industrial Promotion Center Aioi Hall in Kariya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
16,20.07.2025,,"Utami Hayashishita&Victoria YuzukidefeatMIRAI& Yuuka Yamazaki (11:06)Marigold 1st Anniversary Series ~ Burning Desire - Tag 15- Online Stream @ 176BOX in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
17,19.07.2025,,"Chika Goto&Minami YuukidefeatUtami Hayashishita& Yuuka Yamazaki (10:49)Marigold 1st Anniversary Series ~ Burning Desire - Tag 14- Online Stream @ Okayama Convention Center in Okayama, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
18,16.07.2025,,"Marigold World Title/GHC Women's Title:Takumi Iroha(c) [GHC] vs.Utami Hayashishita(c) [Marigold] - Double KO (56:16)Marigold 1st Anniversary Series ~ Burning Desire - Tag 13- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
19,13.07.2025,,"Utami HayashishitadefeatsTsuruhimekaEPW Summer Big Match- Event @ Matsuyama City General Community Center in Matsuyama, Ehime, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
20,12.07.2025,,"MIRAI,Seri Yamaoka&Utami HayashishitadefeatChanyota,Mai Sakurai& Yuuka Yamazaki (13:05)Marigold 1st Anniversary Series ~ Burning Desire - Tag 12- Online Stream @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
21,06.07.2025,,"Komomo Minami,Mayu Iwatani&Utami HayashishitadefeatMai Sakurai,MIRAI& Yuuka Yamazaki (13:36)Marigold 1st Anniversary Series ~ Burning Desire - Tag 11- Online Stream @ Niigata Higashi Ward Plaza in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
22,05.07.2025,,"Mayu Iwatani&Miku AonodefeatChika Goto&Utami Hayashishita(14:23)Marigold 1st Anniversary Series ~ Burning Desire - Tag 10- Online Stream @ Westa Kawagoe in Kawagoe, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
23,28.06.2025,,"Chanyota,Mai Sakurai&Miku AonodefeatChika Goto,Kizuna Tanaka&Utami Hayashishita(14:39)Marigold 1st Anniversary Series ~ Burning Desire - Tag 9- Online Stream @ Kasukabe Fureai Cube in Kasukabe, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
24,22.06.2025,,"Darkness Revolution(CHIAKI&Misa Matsui) defeatHummingbird&Utami Hayashishita(9:04)Marigold 1st Anniversary Series ~ Burning Desire - Tag 8- Online Stream @ City Gymnasium in Minamisoma, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
25,21.06.2025,,"Selene Flora(Kizuna Tanaka&Victoria Yuzuki) &Utami HayashishitadefeatMIRAI,Rea Seto&Seri Yamaoka(16:02)Marigold 1st Anniversary Series ~ Burning Desire - Tag 7- Online Stream @ INPEX Sakata Arena in Sakata, Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
26,17.06.2025,,"Mayu Iwatani,Seri Yamaoka&Utami HayashishitadefeatSenka Akatsuki,Sora Ayame&Takumi Iroha(18:21)Marigold 1st Anniversary Series ~ Burning Desire - Tag 6- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
27,15.06.2025,,"Chanyota,Mai Sakurai&Mayu IwatanidefeatChika Goto,Miku Aono&Utami Hayashishita(14:54)Marigold 1st Anniversary Series ~ Burning Desire - Tag 5- Online Stream @ Fujisan Messe in Fuji, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
28,14.06.2025,,"Kouki Amarei&Utami HayashishitadefeatChika Goto&Minami Yuuki(11:33)Marigold 1st Anniversary Series ~ Burning Desire - Tag 4- Online Stream @ 176BOX in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
29,05.06.2025,,"Chanyota,Komomo Minami&Mai SakuraidefeatMIRAI,Rea Seto&Utami Hayashishita(13:47)Marigold 1st Anniversary Series ~ Burning Desire - Tag 3- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
30,31.05.2025,,"Utami Hayashishita&Victoria YuzukidefeatDarkness Revolution(CHIAKI&Misa Matsui) (14:41)Marigold 1st Anniversary Series ~ Burning Desire - Tag 2- Online Stream @ Acros Fukuoka in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
31,30.05.2025,,"Chanyota&Mai Sakuraivs.Kouki Amarei&Utami Hayashishita- Time Limit Draw (15:00)Marigold 1st Anniversary Series ~ Burning Desire - Tag 1- Online Stream @ Kumamoto City Center Plaza Hall in Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
32,24.05.2025,,"Marigold World Title:Utami Hayashishita(c) defeatsMIRAI(16:12)Marigold Shine Forever ~A Glorious Celebration~- Pay Per View @ Yoyogi National Gymnasium #2 in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
33,18.05.2025,,"Selene Flora(Kizuna Tanaka&Victoria Yuzuki) &Utami HayashishitadefeatDarkness Revolution(CHIAKI,Misa Matsui&Nagisa Nozaki) (16:07)Marigold Rising Spirit - Tag 12- Online Stream @ Hakodate City General Wholesale Center Distribution Hall in Hakodate, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
34,17.05.2025,,"Mayu Iwatani&Utami HayashishitadefeatDarkness Revolution(CHIAKI&Nagisa Nozaki) (12:21)Marigold Rising Spirit - Tag 11 (Evening Show)- Online Stream @ Chateraise Gateaux Kingdom Sapporo in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
35,17.05.2025,,"Mayu Iwatani&MIRAIdefeatUtami Hayashishita&Victoria Yuzuki(17:18)Marigold Rising Spirit - Tag 11 (Afternoon Show)- Online Stream @ Chateraise Gateaux Kingdom Sapporo in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
36,11.05.2025,,"Selene Flora(Kizuna Tanaka&Victoria Yuzuki) &Utami HayashishitadefeatDarkness Revolution(CHIAKI,Megaton&Nagisa Nozaki) (16:00)Marigold Rising Spirit - Tag 10- Online Stream @ Juroka Plaza in Gifu, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
37,10.05.2025,,"Mai Sakurai,MIRAI&Rea SetodefeatSelene Flora(Kizuna Tanaka&Victoria Yuzuki) &Utami Hayashishita(12:36)Marigold Rising Spirit - Tag 9- Online Stream @ 176BOX in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
38,06.05.2025,,"MIRAI,Nanae Takahashi&Seri YamaokadefeatSelene Flora(Kizuna Tanaka&Victoria Yuzuki) &Utami Hayashishita(19:42)Marigold Rising Spirit - Tag 8- Online Stream @ Sendai PIT in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
39,05.05.2025,,"Riara&Utami HayashishitadefeatGigaton&Megaton(14:18)Marigold Rising Spirit - Tag 7- Online Stream @ B&G Ocean Center in Kurihara, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
40,04.05.2025,,"Utami Hayashishita&Victoria YuzukidefeatMIRAI&Seri Yamaoka(15:55)Marigold Rising Spirit - Tag 6- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/43/20210213utami.jpg
