date,event,result,location,image_url
1,05.11.2016,,"No Disqualification:Bully Ray,Drolix&Velvet SkydefeatDamian Martinez,Ken Dixon&Kennadi BrinkMCW Autumn Armageddon Tour 2016 - Tag 4- Event @ MCW Arena in Joppa, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
2,27.08.2016,,"So Over(Jimmy Preston&Mark Shurman) &Velvet SkydefeatJake Manning,Kamaitachi&Sumie SakaiNEW Wrestling Under The Stars 5- Event @ Dutchess Stadium in Wappingers Falls, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
3,22.04.2016,,"SiennadefeatsVelvet Sky(3:20)IMPACT Wrestling #618- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
4,19.03.2016,,"Winner Becomes Head Of The Knockouts Ladder:MariadefeatsGail KimandJadeandMadison RayneandMarti BellandRebelandVelvet Sky(5:13)IMPACT Wrestling #614- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
5,18.03.2016,,"Velvet SkydefeatsMarti Bell(7:02)TNA One Night Only - Victory Road 2016- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
6,17.03.2016,,"Laura DennisdefeatsVelvet Sky(5:02)TNA One Night Only - Knockouts Knockdown 2016- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
7,16.03.2016,,"TNA Women's Knockout Title#1 Contendership:Madison RaynedefeatsVelvet Sky(4:32)IMPACT Wrestling #611- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
8,31.01.2016,,"The Beautiful People(Madison Rayne&Velvet Sky) defeatThe Dollhouse(Marti Bell&Rebel)TNA Xplosion #599- TV-Show @ Barclaycard Arena in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
9,30.01.2016,,"Lethal Lockdown:The Dollhouse(Jade,Marti Bell&Rebel) defeatGail Kim,Maria&Velvet Sky(11:15)IMPACT Wrestling #606 - Lockdown 2016- TV-Show @ Wembley Arena in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
10,09.01.2016,,"Awesome KongdefeatsVelvet Sky(3:41)IMPACT Wrestling #602- TV-Show @ Sands Bethlehem Event Center in Bethlehem, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
11,08.01.2016,,"TNA Women's Knockout Title#1 Contendership Gauntlet Battle Royal:Awesome KongdefeatsChelseaandDeonnaandJadeandMadison RayneandMarti BellandRebelandVelvet Sky(16:03)TNA One Night Only - Live!- Pay Per View @ Sands Bethlehem Event Center in Bethlehem, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/0c/Knockout_Champion_Velvet_Sky.jpg
