date,event,result,location,image_url
1,05.10.2013,,Big Daddy VdefeatsRene DupreeQPW- Event @ Hyatt Plaza in Katar,https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
2,04.10.2013,,Bobby LashleydefeatsBig Daddy Vby DQQPW- Event @ Hyatt Plaza in Katar,https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
3,03.10.2013,,Chris RaaberdefeatsBig Daddy Vby DQQPW- Event @ Hyatt Plaza in Katar,https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
4,07.07.2013,,"PWR Heavyweight  Title:Blue Demon Jr.(c) defeatsBig Daddy VWWL Dream Matches Tour- Pay Per View @ Arena Coliseo de Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
5,01.07.2013,,"Three On Two Handicap:Harry Smith&Tiger Ali SinghdefeatBig Daddy V,Darkko&RhinoTigerFest 2013- Event @ Donald M. Gordon Chinguacousy Park in Brampton, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
6,11.05.2013,,"Big Daddy V&Chris BanksdefeatJoey Ace&Steve SterlingWOW Full Throttle- Event @ Funstation USA in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
7,04.05.2013,,"Big Daddy V, Rumble O'Reilly &Wes Adamsdefeat The Future Foundation (Calvin Rose,Jay Steele&Lukas Frost)PSP Slamfest 2- Event @ 35th Annual Heritage Days Festival in Liberty, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
8,27.10.2012,,"Catch Wrestling World Grand Prix Final:Chris RaaberdefeatsVisceraEWA Weltmeisterschaft 2012 ~ World Grand Prix - Tag 2- Event @ Oberlandhalle in Leoben, Steiermark, Österreich",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
9,26.10.2012,,"Catch Wrestling World Grand Prix First Round:VisceradefeatsLeon van GasterenEWA Weltmeisterschaft 2012 ~ World Grand Prix - Tag 1- Event @ Oberlandhalle in Leoben, Steiermark, Österreich",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
10,20.10.2012,,"Two On One Handicap:VisceradefeatsAndre Williams&Ted DancinRCW Rise of the Legends II - Tag 2- Event @ Glengarry Community Hall in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
11,19.10.2012,,"Silvie Silver,Steven Styles&VisceradefeatC-Block(Slammer,Ugg&Vince Austin)RCW Rise of the Legends II - Tag 1- Event @ Kehewin, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
12,06.10.2012,,"Big Daddy VdefeatsJohn RedbeardHOH Debut Show- Event @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
13,06.10.2012,,"Big Daddy VdefeatsMike MitchellHOH Debut Show- Event @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
14,05.10.2012,,"Street Fight:Malta The DamagerdefeatsBig Daddy VFWE Back 2 Brooklyn- Pay Per View @ St. Patrick's Gym in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
15,29.09.2012,,"Atsushi SawadadefeatsBig Daddy V(7:52)IGF Genome22- TV-Show @ Aichi Prefectural Gymnasium  in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/6/65/Creative_Commons_by_small.svg
