date,event,result,location,image_url
1,11.09.2025,,"500.000 Dollar:Megan Bayne,Penelope Ford&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatHarley Cameron,Jamie Hayter,Kris Statlander&TayJay(Anna Jay&Tay Melo) (9:15)AEW Collision #110- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
2,14.08.2025,,"100.000 Dollar Four Way:Kris StatlanderdefeatsAnna JayandJulia HartandPenelope Ford(9:44)AEW Collision #106- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
3,02.07.2025,,"Athena,Julia Hart,Megan Bayne&ThekladefeatQueen Aminata,TayJay(Anna Jay&Tay Melo) &Thunder Rosa(10:20)AEW Collision #100- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
4,21.06.2025,,"Athena,Megan Bayne,Penelope Ford&ThekladefeatQueen Aminata,TayJay(Anna Jay&Tay Melo) &Thunder Rosa(10:40)AEW Collision #98- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
5,11.06.2025,,"TayJay(Anna Jay&Tay Melo) defeatMegan Bayne&Penelope Ford(10:22)AEW Dynamite #297 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
6,28.05.2025,,"No Disqualification:Megan Bayne&Penelope ForddefeatAnna Jay&Harley Cameron(11:01)AEW Dynamite #295- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
7,25.05.2025,,"Anna Jay&Harley CamerondefeatMegan Bayne&Penelope Ford(12:35)AEW Double Or Nothing 2025 - The Buy In- Online Stream @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
8,14.05.2025,,"Megan BaynedefeatsAnna Jay(7:30)AEW Collision #93 - Beach Break 2025 - Tag 2- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
9,07.05.2025,,"AEW Women's World TitleEliminator Four Way:Toni Storm[c] defeatsAnna JayandPenelope FordandThunder Rosa(10:52)AEW Dynamite #292- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
10,23.04.2025,,"Anna JaydefeatsTaylor Gainey(0:55)AEW Collision #90 - Playoff Palooza- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
11,11.01.2025,,"Elimination:Empress Nexus Venus(HANAKO,Maika&Mina Shirakawa) &Viva VandefeatAnna Jay,AZM,Johnnie Robbie&Trish Adora(13:37)NJPW Battle In The Valley 2025- Online Stream @ San Jose Civic in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
12,18.12.2024,,"AEW TBS Title:Mercedes Mone(c) defeatsAnna Jay(10:32)AEW Dynamite #272 - Holiday Bash 2024 - Tag 1- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
13,04.12.2024,,"Anna JaydefeatsPenelope Ford(8:46)AEW Dynamite #270- TV-Show @ Fishers Event Center in Fishers, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
14,23.11.2024,,"Anna JaydefeatsDeonna Purrazzo(7:22)AEW Full Gear 2024 - Zero Hour- Online Stream @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
15,14.11.2024,,"AEW Women's World TitleNo Disqualification:Mariah May(c) defeatsAnna Jay(14:29)AEW Collision #70- TV-Show @ MVP Arena in Albany, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
16,08.11.2024,,"NJPW STRONG Women's Title#1 Contendership Four Way:HazukidefeatsAnna JayandKogumaandTrish Adora(8:57)NJPW Fighting Spirit Unleashed 2024- Online Stream @ Lowell Memorial Auditorium in Lowell, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
17,02.11.2024,,"AEW Women's World Title:Mariah May(c) defeatsAnna Jay(10:22)AEW Collision #68- TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
18,26.10.2024,,"Anna JaydefeatsViva Van(9:48)AEW Collision #67- TV-Show @ Alliant Energy PowerHouse in Cedar Rapids, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
19,23.10.2024,,"Anna JaydefeatsLeila Grey(3:13)AEW Rampage #168- TV-Show @ Maverik Center in West Valley City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
20,17.10.2024,,"AEW Women's World TitleEliminator:Anna JaydefeatsMariah May[c] (12:07)AEW Battle Of The Belts XII- TV-Show @ Adventist Health Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
21,16.10.2024,,"Anna JaydefeatsTrish Adora(8:23)AEW Rampage #167- TV-Show @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
22,12.10.2024,,"Anna JaydefeatsHarley Cameron(8:20)AEW WrestleDream 2024 - Zero Hour- Online Stream @ Tacoma Dome in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
23,21.09.2024,,"Anna JaydefeatsRobyn Renegade(2:38)AEW Rampage #164- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
24,31.08.2024,,"Anna JaydefeatsMomo Kohgo(7:09)Stardom 5STAR Grand Prix 2024 - Tag 12- TV-Show @ Musashino Forest Sport Plaza in Chofu, Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
25,25.08.2024,,"HATE(Natsuko Tora&Rina) defeatAnna Jay&Hina(10:21)Stardom 5STAR Grand Prix 2024 - Tag 10- Online Stream @ Yamagata Big Wing in Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
26,24.08.2024,,"5STAR Grand Prix 2024 Block A:Anna Jay[6] defeatsKoguma[4] (6:41)Stardom 5STAR Grand Prix 2024 - Tag 9- Online Stream @ Paruse Iizaka in Iizaka, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
27,20.08.2024,,"5STAR Grand Prix 2024 Block A:Anna Jay[4] defeatsMiyu Amasaki[2] (8:02)Stardom 5STAR Grand Prix 2024 - Tag 7- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
28,17.08.2024,,"5STAR Grand Prix 2024 Block A:Xena[4] defeatsAnna Jay[2] (10:03)Stardom 5STAR Grand Prix 2024 - Tag 5- Online Stream @ KBS Hall in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/3/38/Anna_Jay_Photo_Op_GalaxyCon_Richmond_2023.jpg
