date,event,result,location,image_url
1,24.01.2025,,"Apollo CrewsdefeatsJohnny Gargano(4:14)WWE Friday Night SmackDown #1327- TV-Show @ Moody Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
2,27.12.2024,,"Dark:Apollo CrewsdefeatsGrayson WallerWWE Friday Night SmackDown #1323- Dark Match @ Amalie Arena in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
3,13.12.2024,,"The Bloodline(Jacob Fatu,Solo Sikoa&Tama Tonga) defeatAndrade,Apollo Crews&LA Knight(14:38)WWE Friday Night SmackDown #1322- TV-Show @ XL Center in Hartford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
4,22.11.2024,,"Dark:Apollo CrewsdefeatsGiovanni VinciWWE Friday Night SmackDown #1318- Dark Match @ Delta Center in Salt Lake City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
5,15.11.2024,,"Dark:Apollo CrewsdefeatsGiovanni VinciWWE Friday Night SmackDown #1317- Dark Match @ Fiserv Forum in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
6,08.11.2024,,"Dark:Apollo CrewsdefeatsGiovanni VinciWWE Friday Night SmackDown #1316- Dark Match @ KeyBank Center in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
7,04.10.2024,,"Dark:Apollo Crews&Baron CorbindefeatLos Garza(Angel&Berto)WWE Friday Night SmackDown #1311- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
8,20.09.2024,,"Apollo CrewsdefeatsGiovanni Vinci(1:37)WWE Friday Night SmackDown #1309- TV-Show @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
9,13.09.2024,,"Dark:Apollo Crews&Baron CorbindefeatThe OC(Karl Anderson&Luke Gallows)WWE Friday Night SmackDown #1308- Dark Match @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
10,06.09.2024,,"Apollo CrewsdefeatsGiovanni Vinci(0:04)WWE Friday Night SmackDown #1307- TV-Show @ Rogers Place in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8a/Apollo_Crews_040518_%28cropped%29.jpg
