date,event,result,location,image_url
1,23.02.2008,,"Afa Jr.defeatsBilly KidmanFCW- Event @ Jewish Community Center in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
2,15.02.2008,,"Billy Kidman&TJ WilsondefeatBrad Allen&Nic NemethFCW At Florida State Fair- Event @ Florida State Fair in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
3,15.02.2008,,"FCW Florida Heavyweight TitleBattle Royal:Jake HagerandTed DiBiase Jr.defeatAfa Jr.andBig Rob TerryandBilly KidmanandBrad AllenandBrandon GroomandBryan KellyandChristopher GrayandGabe TuftandHade VansenandJohnny CurtisandKevin KileyandMatt O'NealandMighty MikeyandMr. YamamotoandNic NemethandRycklonandSheamusandSinn BowdeeandThe Giant TitanandTJ WilsonandTommy TaylorFCW At Florida State Fair- Event @ Florida State Fair in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
4,26.01.2008,,"Billy Kidman&Matt O'NealdefeatBig Rob&Nic NemethFCW- Event @ Jewish Community Center in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
5,22.01.2008,,"Heath MillerdefeatsBilly KidmanFCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
6,19.01.2008,,"Billy KidmandefeatsHade VansenFCW- Event @ US Flea Market in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
7,15.01.2008,,"FCW Southern Heavyweight Title:Heath Miller[Replacement for Ted DiBiase Jr.] defeatsBilly KidmanFCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
8,12.01.2008,,"Billy Kidman&TJ WilsondefeatHade Vansen&Heath MillerFCW- Event @ Hernando High School in Brooksville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
9,11.12.2007,,"Billy Kidman,Steve Lewington&TJ WilsondefeatAfa Jr.,Hade Vansen&Ted DiBiase Jr.FCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
10,04.12.2007,,"Billy KidmandefeatsHade VansenFCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
11,01.12.2007,,"Billy Kidman&Johnny CurtisdefeatHade Vansen&Heath MillerFCW- Event @ Jewish Community Center in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
12,27.11.2007,,"Billy KidmandefeatsHade Vansenby DQFCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
13,13.11.2007,,"Heath MillerdefeatsBilly KidmanFCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
14,10.11.2007,,"Billy KidmandefeatsSinn BowdeeFCW Tribute To Jesse's Palace- Event @ Lecanto High School in Lecanto, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
15,19.10.2007,,"Ultimo DragondefeatsBilly KidmanWrestlefanfest Malice In The Palace- Event @ Cow Palace in San Francisco, California, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
16,16.10.2007,,"FCW Southern Heavyweight Title:Afa Jr.(c) defeatsBilly KidmanFCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
17,13.10.2007,,"No Disqualification:Billy Kidman,Harry Smith,Ted DiBiase Jr.&TJ WilsondefeatAfa Jr.,G-Rilla,Jake Hager&Shawn OsbourneFCW- Event @ Jewish Community Center in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
18,02.10.2007,,"FCW Southern Heavyweight Title:Harry Smith(c) defeatsBilly KidmanFCW- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
19,29.09.2007,,"RXW World Title:Billy Kidmandefeats Slash (c) -TITLE CHANGE !!!RXW National Tour- Event @ Panama City, Panama",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
20,25.09.2007,,"Doink defeatsBilly KidmanFCW Wrestling For Whiskers- Event @ Bourbon Street Night Club in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
21,22.09.2007,,"NWA Midwest X-Division TitleFour Corners Elimination:Jason Dukes(c) defeatsBilly KidmanandBilly RocandJoey RyanNWA Midwest- Event @ Streamwood Park District Recreation Center in Streamwood, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
22,15.09.2007,,"FCW Southern Heavyweight Title:Harry Smith(c) defeatsBilly KidmanFCW- Event @ Jewish Community Center in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
23,15.09.2007,,"FCW Southern Heavyweight Title#1 Contendership Battle Royal:G-RilladefeatsBilly KidmanandChris GrayandEgotistico FantasticoandHade VansenandHeath MillerandJake HagerandJohnny CurtisandKeith WalkerandKofi KingstonandMike MondoandNick NemethandShawn OsbourneandSteve TaylorandTed HartandThe Giant TitanandTJ WilsonFCW- Event @ Jewish Community Center in New Port Richey, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
24,24.08.2007,,"Glamour Boy ShanedefeatsBilly Kidmanby DQNWA Pro Wrestling Summit- Event @ Orleans Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
25,12.08.2007,,"Billy KidmandefeatsSteve Corino(12:47)AWF Global Attack Sydney- Event @ UNSW Roadhouse in Kensington, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
26,11.08.2007,,"Billy KidmandefeatsSteve RavenousAWF Global Attack Melbourne- Event @ Melbourne Sports & Aquatic Centre in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
27,10.08.2007,,"WSW Heavyweight TitleStreet Fight:Billy Kidman(c) defeatsHeidenreichWSW Global Attack- Event @ Thebarton Theatre in Adelaide, South Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
28,08.07.2007,,"NWA World Tag Team    TitleThree Way Gauntlet Match (vakant):Joey Ryan&Karl AndersondefeatBilly Kidman&Sean WaltmanandIncognito&Sicodelico Jr.-TITLE CHANGE !!!NWA Pro Wrestling- Event @ McAllen Convention Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
29,30.06.2007,,"RXW World Title:Slash (c) defeatsBilly KidmanRXW Xtreme Domination- Event @ Panama City, Panama",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
30,03.06.2007,,"WSW Heavyweight Title:Billy KidmandefeatsBryan Danielson(c) (19:20) -TITLE CHANGE !!!AWF/WSW International Assault Tour 2007 - Tag 3- Event @ Newcastler Panthers Arena in Newcastle, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
31,02.06.2007,,"Billy KidmandefeatsMark HiltonAWF/WSW International Assault Tour 2007 - Tag 2- Event @ Melbourne Sports & Aquatic Center in Melbourne, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
32,01.06.2007,,"AWF Australasian Title:TNT(c) defeatsBilly KidmanAWF/WSW International Assault Tour 2007 - Tag 1- Event @ University Of New South Wales in Kensington, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
33,12.05.2007,,"IWA Puerto Rico Extreme Cruiserweight Title:Tommy Diablo(c) defeatsBilly KidmanandPsicosis(13:48)IWA Puerto Rico Juicio Final Tour- Event @ Antonio R. Barceló Coliseum in Toa Baja, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
34,11.05.2007,,"Billy KidmandefeatsPsicosis(14:37)IWA Puerto Rico Juicio Final Tour- Event @ Pedro Albizu Campos Coliseum  in Yabucoa, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
35,01.05.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 15- Event @ Camp Red Cloud in Uijeongbu, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
36,29.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 14- Event @ Kunsan Air Base in Gunsan, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
37,28.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 13- Event @ Camp Walker in Daegu, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
38,27.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 12- Event @ Commander Fleet Activities Chinhae in Changwon, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
39,26.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 11- Event @ Yongsan Garrison in Seoul, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
40,25.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 10- Event @ Camp Humphreys in Anjeong-ri, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
41,24.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 9- Event @ Osan Air Base in Pyeongtaek, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
42,22.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 8- Event @ Camp Casey in Dongducheon, Südkorea",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
43,20.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 7- Event @ Naval Air Facility Atsugi in Yamato, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
44,19.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 6- Event @ Camp Fuji in Gotemba, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
45,18.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 5- Event @ United States Fleet Activities Sasebo in Sasebo, Nagasaki, Japan",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
46,17.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 4- Event @ Marine Corps Air Station Iwakuni in Iwakuni, Yamaguchi, Japan",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
47,14.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 3- Event @ Kadena Air Base in Kadena, Okinawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
48,13.04.2007,,"Norman SmileydefeatsBilly KidmanICW Pacific Tour 2007 - Tag 2- Event @ Camp Hansen in Kin, Okinawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
49,12.04.2007,,"Norman SmileydefeatsBilly KidmanICW/IZW Pacific Tour 2007 - Tag 1- Event @ Camp Foster in Ginowan, Okinawa, Japan",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
50,31.03.2007,,"IWA Puerto Rico Heavyweight Title:Ray Gonzalez(c) defeatsBilly Kidman(11:55)IWA Puerto Rico- Event @ Pepin Cestero Arena in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
51,25.03.2007,,"Nelson CreeddefeatsBilly Kidman(11:49)NWA Pro Wrestling Summit- Event @ Silver Spurs Arena in Kissimmee, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
52,23.03.2007,,"PsicosisdefeatsBilly KidmanNWA Pro Wrestling Summit- Event @ Celebrity Theatre in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
53,25.02.2007,,"Billy Kidman&El Hijo del SantodefeatPsicosis&Super Parka(20:00)NWA Pro Wrestling Summit - Fiesta Lucha- Event @ Orleans Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
54,03.02.2007,,"El BroncodefeatsBilly KidmanWWC- Event @ Yldefonso Sola Morales Coliseum  in Caguas, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
55,23.09.2006,,"UXW United States TitleMatch (vakant):Nick BerkdefeatsBilly Kidman-TITLE CHANGE !!!UXW Florida Debut Show- Event @ Orlando Downtown Recreation Complex in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
56,25.08.2006,,"Jason BladedefeatsBilly Kidman(15:03)MXW Golden Quest- Event @ Knights Of Columbus Hall in Wallingford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
57,29.07.2006,,"Billy KidmandefeatsGrim ReeferUXW Circle Of Disrespect- Event @ Amazura Concert Hall in Jamaica, New York, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
58,28.07.2006,,"Billy KidmandefeatsTrent Acid(11:29)NWS- Event @ Joseph C. Caruso School in Keansburg, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
59,25.07.2006,,"Dark:Jamie NobledefeatsBilly KidmanWWE Friday Night SmackDown #363- Dark Match @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
60,24.06.2006,,"Dagon BriggsdefeatsBilly KidmanSCW- Event @ Cocoa Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
61,17.06.2006,,"Billy KidmandefeatsLex Lovett(9:22)Jeff Peterson Memorial Cup 2006 - Tag 2- Event @ The Boys And Girls Club in Pinellas Park, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
62,16.06.2006,,"Billy KidmandefeatsNaphtali(10:26)Jeff Peterson Memorial Cup 2006 - Tag 1- Event @ Sanford Civic Center in Sanford, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
63,30.04.2006,,"Triple Threat:Jonny StormdefeatsBilly KidmanandJody FleischFWA NOAH Limits 2- Event @ The Hippodrome in Colchester, Essex, England, UK",https://upload.wikimedia.org/wikipedia/commons/7/7d/Billy_Kidman_2007_crop.jpg
