date,event,result,location,image_url
1,05.09.2025,,"PWA Champion's Grail Title:Rohan Raja(c) defeatsBishop DyerMLP Sacred Ground- Online Stream @ Six Nations Sports & Cultural Memorial Centre in Ohsweken, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
2,19.07.2025,,"Bishop Dyer,Shotzi Blackheart& Simone Valentina defeatAristote,Ben Bishop&James EllsworthMCW Shane Shamrock Memorial Cup XXIV- Event @ RJ Meyer Arena in Joppa, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
3,18.07.2025,,"Ben BishopdefeatsBishop DyerACW Hagerstown Heat- Event @ Hagerstown Elks Lodge in Hagerstown, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
4,05.07.2025,,"Bishop DyerdefeatsCara NoirandKuroandRobbie XBZW Les Jeux Sont Faits- Online Stream @ Casino Barriere in Lille, Frankreich",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
5,05.07.2025,,"Bishop DyerdefeatsLeonardo Darwin(0:03)BZW Les Jeux Sont Faits- Online Stream @ Casino Barriere in Lille, Frankreich",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
6,26.06.2025,,"MLW World Tag Team Title:The Skyscrapers(Bishop Dyer&Donovan Dijak) defeatLos Depredadores(Magnus&Rugido) (c) (9:02) -TITLE CHANGE !!!MLW Summer Of The Beasts 2025- Online Stream @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
7,26.06.2025,,"Opera Cup 2025 First Round:Bishop DyerdefeatsAnthony Greene(7:45)MLW Blood & Thunder 2025- Online Stream @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
8,10.05.2025,,"MLP Canadian Title20 Man Gauntlet Match (vakant):Josh AlexanderdefeatsAlex ZayneandBhupinder GujjarandBilly GunnandBishop DyerandBrent BanksandEl PhantasmoandJohnny ParisiandMatt CardonaandMichael Allen Richard ClarkandMo JabariandPCOandPsycho MikeandQT MarshallandRaj DhesiandRhinoandRich SwannandSantino MarellaandSheldon JeanandSlex(42:40) -TITLE CHANGE !!!MLP Northern Rising- Pay Per View @ Mattamy Athletic Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
9,05.04.2025,,"MLW World Heavyweight Title40 Man Battle Riot VII:Matt Riddle(c) defeatsAlex HammerstoneandAlex KaneandAnthony GreeneandAriel DominguezandAtlantisandAtlantis Jr.andBarbaro CavernarioandBishop DyerandBlue PantherandBobby FishandBrett Ryan GosselinandBrock AndersonandChris AdonisandCW AndersonandDonovan DijakandDr. DaxandEsfingeandHechiceroandIkuro KwonandJesus RodriguezandJourney FatuandJuicy FinauandKUSHIDAandMads Krule KrüggerandMagnusandMatthew JusticeandMr. ThomasandOkumuraandPaul LondonandPaul Walter HauserandRaj DhesiandRob Van DamandSatoshi KojimaandShane HasteandStar Jr.andTitus AlexanderandTom LawlorandUltimo GuerreroandVirus(66:31)MLW Battle Riot VII- Online Stream @ Thunder Studios Arena in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
10,15.03.2025,,"Billy Gunn&Bishop DyerdefeatMatt Cardona&Thom Latimer(10:25)MLP Mayhem - Tag 2- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
11,14.03.2025,,"NWA Worlds Heavyweight Title:Thom Latimer(c) defeatsBishop Dyer(17:38)MLP Mayhem - Tag 1- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
12,19.01.2025,,"Bloodsport:Josh BarnettdefeatsTom Pestock(9:57)GCW The People Vs. GCW 2025- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
13,18.10.2024,,"Dark:Baron CorbindefeatsGiovanni VinciWWE Friday Night SmackDown #1313- Dark Match @ Colonial Life Arena in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
14,04.10.2024,,"Dark:Apollo Crews&Baron CorbindefeatLos Garza(Angel&Berto)WWE Friday Night SmackDown #1311- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
15,20.09.2024,,"Dark:Baron CorbindefeatsKarl AndersonWWE Friday Night SmackDown #1309- Dark Match @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
16,13.09.2024,,"Dark:Apollo Crews&Baron CorbindefeatThe OC(Karl Anderson&Luke Gallows)WWE Friday Night SmackDown #1308- Dark Match @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
17,30.08.2024,,"Los Garza(Angel&Berto) defeatApollo Crews&Baron Corbin(6:41)WWE Friday Night SmackDown #1306- TV-Show @ Uber Arena in Berlin, Deutschland",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
18,16.08.2024,,"Dark:Apollo Crews&Baron CorbindefeatLegado del Fantasma(Angel&Berto)WWE Friday Night SmackDown #1304- Dark Match @ Kia Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
19,09.08.2024,,"Dark:Apollo Crews&Baron CorbindefeatLegado del Fantasma(Angel&Berto)WWE Friday Night SmackDown #1303- Dark Match @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
20,19.07.2024,,"WWE Tag Team  Title#1 Contendership Gauntlet:The Bloodline(Jacob Fatu&Tama Tonga) defeatApollo Crews&Baron CorbinandLegado del Fantasma(Angel&Berto) andPretty Deadly(Elton Prince&Kit Wilson) andThe OC(Karl Anderson&Luke Gallows) andThe Street Profits(Angelo Dawkins&Montez Ford) (38:35)WWE Friday Night SmackDown #1301- TV-Show @ CHI Health Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
21,19.07.2024,,"WWE Speed Title:Andrade(c) defeatsBaron Corbin(4:12)WWE Speed #22- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
22,12.07.2024,,"Legado del Fantasma(Angel&Berto) defeatApollo Crews&Baron Corbin(8:02)WWE Friday Night SmackDown #1299- TV-Show @ DCU Center in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
23,05.07.2024,,"WWE Speed Title#1 Contendership Tournament Semi Final:Baron CorbindefeatsAngelo Dawkins(2:49)WWE Speed #20- Online Stream @ Scotiabank Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
24,10.05.2024,,"King Of The Ring 2024 First Round:Carmelo HayesdefeatsBaron Corbin(6:17)WWE Friday Night SmackDown #1290- TV-Show @ Mohegan Sun Arena in Wilkes-Barre, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
25,23.04.2024,,"Lexis KingdefeatsBaron Corbin(5:38)WWE NXT #730 - Spring Breakin' 2024 - Tag 1- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
26,09.04.2024,,"WWE NXT Tag Team Title:Axiom&Nathan FrazerdefeatThe Wolfdogs(Baron Corbin&Bron Breakker) (c) (11:35) -TITLE CHANGE !!!WWE NXT #728- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
27,06.04.2024,,"WWE NXT Tag Team Title:Baron Corbin&Bron Breakker(c) defeatAxiom&Nathan Frazer(11:23)WWE NXT Stand & Deliver 2024- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
28,26.03.2024,,"Baron Corbin&Bron BreakkerdefeatAlpha Academy(Akira Tozawa&Otis) (10:06)WWE NXT #726- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
29,05.03.2024,,"WWE NXT Tag Team Title:Baron Corbin&Bron Breakker(c) defeatChase U(Andre Chase&Duke Hudson) (11:18)WWE NXT #723 - Roadblock 2024- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
30,13.02.2024,,"WWE NXT Tag Team Title:Baron Corbin&Bron BreakkerdefeatThe D'Angelo Family(Channing Lorenzo&Tony D'Angelo) (c) (12:27) -TITLE CHANGE !!!WWE NXT #720- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
31,04.02.2024,,"Dusty Rhodes Tag Team Classic 2024 Final:Baron Corbin&Bron BreakkerdefeatCarmelo Hayes&Trick Williams(14:27)WWE NXT Vengeance Day 2024- Premium Live Event @ F&M Bank Arena in Clarksville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
32,23.01.2024,,"Dusty Rhodes Tag Team Classic 2024 Semi Final:Baron Corbin&Bron BreakkerdefeatAxiom&Nathan Frazer(12:04)WWE NXT #717- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
33,12.01.2024,,"WWE NXT Tag Team TitleTriple Threat:The D'Angelo Family(Channing Lorenzo&Tony D'Angelo) (c) defeatBaron Corbin&Bron BreakkerandHank Walker&Tank LedgerWWE NXT Live- House Show @ Dade City Armory in Dade City, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/39/Baron_Corbin_April_2018.jpg
