date,event,result,location,image_url
1,21.04.2018,,"Masakatsu Funaki,Riki Choshu&Tatsumi FujinamidefeatBob Backlund,Hiro Saito&Yoshiaki Fujiwara(13:40)Dradition Back To The New York Tour In Osaka- Event @ Osaka ATC Hall C Hall in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
2,20.04.2018,,"Bob Backlund,Riki Choshu&Tatsumi FujinamidefeatJinsei Shinzaki,KAZMA SAKAMOTO&TAJIRI(13:02)Dradition Back To The New York Tour In Tokyo- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
3,12.08.2011,,"Bob BacklunddefeatsKen Patera(6:12)JCW Legends & Icons- Pay Per View @ Hogrock Campground in Cave-In-Rock, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
4,21.09.2009,,"Bob BacklunddefeatsJason RumbleNWA On Fire- Event @ Nasson Community Center in Springvale, Maine, USA",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
5,10.12.2007,,"15th Anniversary Battle Royal:Ted DiBiasedefeatsAl SnowandBart GunnandBob BacklundandDoinkandFlash FunkandGangrelandGillbergandIrwin R. SchysterandJim NeidhartandPete GasandRepo ManandScotty 2 HottyandSgt. SlaughterandSkinnerandSteve BlackmanandThe Goon(5:45)WWE Monday Night RAW #759 - 15th Anniversary- TV-Show @ Arena At Harbor Yard in Bridgeport, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
6,15.07.2007,,"The Motor City Machine Guns(Alex Shelley&Chris Sabin) defeatBob Backlund&Jerry Lynn(10:40)TNA Victory Road 2007- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
7,17.06.2007,,"Bob BacklunddefeatsAlex Shelley(3:55)TNA Slammiversary 2007- Pay Per View @ Municipal Auditorium in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
8,13.10.2001,,"Bob Backlund&Dory Funk Jr.defeatSteve Keirn&Tatsumi Fujinami(23:22)NJPW Survival 2001 - Tag 2- TV-Show @ Yokkaichi City Gymnasium in Yokkaichi, Mie, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
9,12.10.2001,,"Bob Backlund&Tatsumi FujinamidefeatSteve Keirn&Tony St. Clair(11:59)NJPW Survival 2001 - Tag 1- TV-Show @ Ueda Citizen Gymnasium in Ueda, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
10,08.10.2001,,"Bob Backlund&Tatsumi FujinamidefeatThe Funks(Dory Funk Jr.&Terry Funk) (10:40)NJPW Indicate Of Next- TV-Show @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/c/c2/Backlund199809.jpg
