date,event,result,location,image_url
1,27.07.2025,,"Triple Threat:Shelton BenjamindefeatsBobby FishandKENTA(10:30)ALW Star Spangled Slammer 9- Event @ Ocean Center in Daytona Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
2,26.07.2025,,"TMW Heavyweight  Title/ PWA Heavyweight                Title Three Way:The Ram Rock(c) [PWA] defeats Will Kennedy (c) [TMW] andBobby Fish-TITLE CHANGE !!!TMW Thunder Rumble 2025- Event @ Paul Huber Middle School in Douglas, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
3,26.06.2025,,"Opera Cup 2025 First Round:Satoshi KojimadefeatsBobby Fish(8:52)MLW Blood & Thunder 2025- Online Stream @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
4,10.05.2025,,"War Chamber:Bomaye Fight Club(Alex Kane&Mr. Thomas),Matthew Justice&Paul LondondefeatThe Rogue Horsemen(Bobby Fish,Brett Ryan Gosselin,Brock Anderson&CW Anderson) (24:35)MLW War Chamber 2025- Online Stream @ Cicero Stadium in Cicero, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
5,05.04.2025,,"MLW World Heavyweight Title40 Man Battle Riot VII:Matt Riddle(c) defeatsAlex HammerstoneandAlex KaneandAnthony GreeneandAriel DominguezandAtlantisandAtlantis Jr.andBarbaro CavernarioandBishop DyerandBlue PantherandBobby FishandBrett Ryan GosselinandBrock AndersonandChris AdonisandCW AndersonandDonovan DijakandDr. DaxandEsfingeandHechiceroandIkuro KwonandJesus RodriguezandJourney FatuandJuicy FinauandKUSHIDAandMads Krule KrüggerandMagnusandMatthew JusticeandMr. ThomasandOkumuraandPaul LondonandPaul Walter HauserandRaj DhesiandRob Van DamandSatoshi KojimaandShane HasteandStar Jr.andTitus AlexanderandTom LawlorandUltimo GuerreroandVirus(66:31)MLW Battle Riot VII- Online Stream @ Thunder Studios Arena in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
6,09.03.2025,,"FultondefeatsBobby Fish(11:16)BRCW Challenge Accepted 2- Event @ The Studio in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
7,21.02.2025,,"Bobby FishdefeatsEl Ridiculoso(9:30)ALW 8 Year Anniversary Show: Chapter 9 - The Prophecy- Event @ Space Coast Convention Center in Cocoa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
8,08.02.2025,,"MLW National Openweight TitleFour Way:Matthew Justice(c) defeatsAKIRAandBobby FishandPaul Walter Hauser(9:23)MLW Intimidation Games 2025- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
9,11.01.2025,,"Bobby FishdefeatsAriel Dominguez(2:36)MLW Reloaded 2025- Online Stream @ NYTEX Sports Centre in North Richland Hills, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
10,05.12.2024,,"UWFi Rules:Alex KanedefeatsBobby Fish(8:25)MLW Eric Bischoff's One-Shot 2024- Online Stream @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/0e/Bobby_Fish%2C_March_2016_%28cropped%29.png
