date,event,result,location,image_url
1,11.01.2025,,"Street Justice Rules Gauntlet:Street Justice (AJ Francis,Booker T,Edge Stone&Gaspar Hernandez) defeatZilla Fatu(21:44)ROW Battle To The Bell- Online Stream @ Walker Texas Lawyer Arena in Texas City, Texas, USA",
2,28.01.2023,,"Royal Rumble:Cody RhodesdefeatsAngelo DawkinsandAustin TheoryandBaron CorbinandBobby LashleyandBooker TandBraun StrowmanandBrock LesnarandChad GableandDamian PriestandDominik MysterioandDrew McIntyreandEdgeandEliasandFinn BalorandGuntherandJohnny GarganoandKarrion KrossandKofi KingstonandLogan PaulandMontez FordandOmosandOtisandRicochetandSantos EscobarandSeth RollinsandSheamusandThe MizandXavier Woods(71:42)WWE Royal Rumble 2023- Premium Live Event @ Alamodome in San Antonio, Texas, USA",
3,09.07.2022,,"Team Sharmell (Edge Stone,Gino Medina,Ryan Davidson,Stephen Wolf&Will Allday) defeat Team Booker (Blake Cortez,Booker T,Bryan Keith,Gaspar Hernandez&Mysterious Q)ROW Summer Of Champions VIII- Event @ World Gym Arena in Texas City, Texas, USA",
4,08.02.2020,,"Ryan Davidson& The Renegades (???, ??? &Dex) defeatFly Def(Warren Johnson&Zack Mason),Bryan Keith&GI BroROW TV Taping- Online Stream @ World Gym Arena in Texas City, Texas, USA",
5,12.01.2019,,"Booker TdefeatsRex AndrewsROW The Last Stand- Pay Per View @ World Gym Arena in Texas City, Texas, USA",
6,23.04.2016,,"Match (Special Guest Referee: Noam Dar):Booker TdefeatsLionheartPCW SpringSlam 2016 - Show 3- Event @ Evoque in Preston, Lancashire, England, UK",
7,21.02.2015,,"ROW Tag Team Title:Harlem Heat(Booker T&Stevie Ray) defeatThe Heavenly Bodies(Desirable Dustin&Gigolo Justin) (c) -TITLE CHANGE !!!ROW Final Heat- Event @ Pasadena, Texas, USA",
8,21.04.2012,,"Booker T&Drew McIntyredefeatChristian&Mark HenryWWE SmackDown House Show- House Show @ Braehead Arena in Glasgow, Scotland, UK",
9,20.04.2012,,"Booker T&Percy WatsondefeatChristian&Mark HenryWWE SmackDown House Show- House Show @ Metro Radio Arena in Newcastle Upon Tyne, Tyne And Wear, England, UK",
10,19.04.2012,,"Booker T&Brodus ClaydefeatChristian&Mark HenryWWE SmackDown House Show- House Show @ Motorpoint Arena Cardiff in Cardiff, Wales, UK",
11,18.04.2012,,"Booker T&Brodus ClaydefeatChristian&Mark HenryWWE SmackDown House Show- House Show @ Motorpoint Arena Sheffield in Sheffield, South Yorkshire, England, UK",
12,01.04.2012,,"12 Man:Team Johnny (David Otunga,Dolph Ziggler,Drew McIntyre,Jack Swagger,Mark Henry&The Miz) defeat Team Teddy (Booker T,Kofi Kingston,R-Truth,Santino Marella,The Great Khali&Zack Ryder) (10:32)WWE WrestleMania XXVIII - ""Once In A Lifetime""- Pay Per View @ Sun Life Stadium in Miami Gardens, Florida, USA",
13,25.02.2012,,"WWE Intercontinental Title:Cody Rhodes(c) defeatsBooker TWWE SmackDown House Show- House Show @ Domo De La Zona 13 in Guatemala City, Guatemala",
14,24.02.2012,,"WWE Intercontinental Title:Cody Rhodes(c) defeatsBooker TWWE SmackDown House Show- House Show @ Arena Roberto Duran in Panama City, Panama",
15,23.02.2012,,"WWE Intercontinental Title:Cody Rhodes(c) defeatsBooker TWWE SmackDown House Show- House Show @ Nacional de Ingenieros Coliseum in Tegucigalpa, Honduras",
16,05.02.2012,,"WWE Intercontinental Title:Cody Rhodes(c) defeatsBooker TWWE SmackDown House Show- House Show @ Maverik Center in West Valley City, Utah, USA",
17,04.02.2012,,"WWE Intercontinental Title:Cody Rhodes(c) defeatsBooker TWWE SmackDown House Show- House Show @ Spokane Arena in Spokane, Washington, USA",
18,29.01.2012,,"Royal Rumble:SheamusdefeatsAlex RileyandBooker TandChris JerichoandCody RhodesandDavid OtungaandDolph ZigglerandEpicoandEzekiel JacksonandHunicoandJack SwaggerandJerry LawlerandJey UsoandJim DugganandJinder MahalandJustin GabrielandKharmaandKofi KingstonandMichael ColeandMick FoleyandPrimoandR-TruthandRandy OrtonandRicardo RodriguezandSantino MarellaandThe Big ShowandThe Great KhaliandThe MizandThe Road DoggandWade Barrett(54:55)WWE Royal Rumble 2012- Pay Per View @ Scottrade Center in St. Louis, Missouri, USA",
19,03.01.2012,,"WWE Intercontinental Title:Cody Rhodes(c) defeatsBooker T(11:31)WWE Friday Night SmackDown #646- TV-Show @ Verizon Arena in North Little Rock, Arkansas, USA",
20,30.12.2011,,"WWE Intercontinental Title:Booker TdefeatsCody Rhodes(c) by DQWWE SmackDown House Show- House Show @ Izod Center in East Rutherford, New Jersey, USA",
21,29.12.2011,,"WWE Intercontinental Title:Booker TdefeatsCody Rhodes(c) by DQWWE SmackDown House Show- House Show @ First Niagara Center in Buffalo, New York, USA",
22,28.12.2011,,"WWE Intercontinental Title:Booker TdefeatsCody Rhodes(c) by DQWWE SmackDown House Show- House Show @ Joe Louis Arena in Detroit, Michigan, USA",
23,26.12.2011,,"Booker TdefeatsCody Rhodes(12:05)WWE Monday Night RAW #970- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",
24,18.12.2011,,"WWE Intercontinental Title:Cody Rhodes(c) defeatsBooker T(7:17)WWE TLC: Tables, Ladders & Chairs 2011- Pay Per View @ 1st Mariner Arena in Baltimore, Maryland, USA",
25,04.12.2011,,"WWE Intercontinental Title:Booker TdefeatsCody Rhodes(c) by DQWWE SmackDown House Show- House Show @ Columbus Civic Center in Columbus, Georgia, USA",
26,03.12.2011,,"WWE Intercontinental Title:Booker TdefeatsCody Rhodes(c) by DQWWE SmackDown House Show- House Show @ James Brown Arena in Augusta, Georgia, USA",
27,02.12.2011,,"WWE Intercontinental Title:Booker TdefeatsCody Rhodes(c) by DQWWE SmackDown House Show- House Show @ UTC McKenzie Arena in Chattanooga, Tennessee, USA",
28,06.06.2011,,"Booker TdefeatsJack Swaggerby Count Out (3:16)WWE Monday Night RAW #941- TV-Show @ Richmond Coliseum in Richmond, Virginia, USA",
29,30.01.2011,,"Royal Rumble:Alberto Del RiodefeatsAlex RileyandBooker TandChavo GuerreroandChris MastersandCM PunkandDaniel BryanandDavid OtungaandDieselandDolph ZigglerandDrew McIntyreandEzekiel JacksonandHeath SlaterandHornswoggleandHusky HarrisandJack SwaggerandJohn CenaandJohn MorrisonandJTGandJustin GabrielandKaneandKing SheamusandKofi KingstonandMark HenryandMason RyanandMichael McGillicuttyandR-TruthandRandy OrtonandRey MysterioandSantino MarellaandTed DiBiaseandThe Big ShowandThe Great KhaliandTyler ReksandTyson KiddandVladimir KozlovandWade BarrettandWilliam RegalandYoshi TatsuandZack Ryder(69:51)WWE Royal Rumble 2011- Pay Per View @ TD Garden in Boston, Massachusetts, USA",
30,21.11.2010,,"The World's Greatest Tag Team(Charlie Haas&Shelton Benjamin) defeatBooker T&Scott SteinerAWR Twisted Steel Tour - Tag 7- Event @ Zenith Arena in Rouen, Frankreich",
31,20.11.2010,,"La Resistance(Rene Dupree&Sylvan Grenier) defeatBooker T&Scott SteinerAWR Twisted Steel Tour - Tag 6- Event @ Zenith Arena in Cournon D'Auvergne, Frankreich",
32,16.11.2010,,"La Resistance(Rene Dupree&Sylvan Grenier) defeatBooker T&Scott SteinerAWR Twisted Steel Tour - Tag 5- Event @ Zenith Arena in Lille, Frankreich",
33,14.11.2010,,"The World's Greatest Tag Team(Charlie Haas&Shelton Benjamin) defeatBooker T&Scott SteinerAWR Twisted Steel Tour - Tag 4- Event @ Zenith Arena in Dijon, Frankreich",
34,13.11.2010,,"Steel Cage:Booker TdefeatsScott SteinerAWR Twisted Steel Tour - Tag 3- Event @ Sports Palace in Grenoble, Frankreich",
35,11.11.2010,,"AWR Heavyweight Title:Rene Dupree(c) defeatsBooker Tby DQAWR Twisted Steel Tour - Tag 2- Event @ Marseille Dome in Marseille, Frankreich",
36,10.11.2010,,"Steel Cage:Scott SteinerdefeatsBooker TAWR Twisted Steel Tour - Tag 1- Event @ Meriadeck Ice Rink in Bordeaux, Frankreich",
