date,event,result,location,image_url
1,20.03.2025,,"Brian Cagevs.Chris Masters- No ContestOWA- Pay Per View @ The Vermont Hollywood in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
2,19.03.2025,,"The Don Callis Family(Brian Cage,Konosuke Takeshita&Lance Archer) defeatPowerhouse Hobbs&The Conglomeration(Mark Briscoe&Rocky Romero) (11:22)AEW Collision #85 - Slam Dunk Saturday- TV-Show @ Liberty First Credit Union Arena in Ralston, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
3,15.03.2025,,"Four On Two Handicap:Murder Machines(Brian Cage&Lance Archer) defeatBryce Saturn,El Fatal,Matt Vandagriff&Sonico(0:29)AEW Collision #84- TV-Show @ The Theater At Virgin Hotels Las Vegas in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
4,12.03.2025,,"Hologram&Powerhouse HobbsdefeatBrian Cage&Dralistico(10:39)AEW Dynamite #284- TV-Show @ Save Mart Center At Fresno State in Fresno, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
5,05.03.2025,,"Powerhouse Hobbs,The Conglomeration(Mark Briscoe&Orange Cassidy) &Will OspreaydefeatBryan Keith&The Don Callis Family(Brian Cage,Lance Archer&Mark Davis) (15:06)AEW Dynamite #283- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
6,26.02.2025,,"The Outrunners(Truth Magnum&Turbo Floyd) defeatMurder Machines(Brian Cage&Lance Archer) (8:24)AEW Dynamite #282- TV-Show @ Frontwave Arena in Oceanside, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
7,19.02.2025,,"Murder Machines(Brian Cage&Lance Archer) defeatMondo Avion&Robby Avion(1:15)AEW Collision #81- TV-Show @ Arizona Financial Theatre in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
8,03.02.2025,,"The Don Callis Family(Brian Cage,Konosuke Takeshita&Lance Archer) defeatBandido&The Outrunners(Truth Magnum&Turbo Floyd)Jericho Cruise 2025: Six On The Beach - Tag 4 (Show 2)- Event @ Norwegian Pearl Cruise Ship in USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
9,02.02.2025,,"The Don Callis Family(Brian Cage,Konosuke Takeshita&Lance Archer) defeatDaniel Garcia,Jay Lethal&Mark BriscoeJericho Cruise 2025: Six On The Beach - Tag 3- Event @ Norwegian Pearl Cruise Ship in USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
10,29.01.2025,,"Will OspreaydefeatsBrian Cage(12:48)AEW Dynamite #278- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Brian_Cage.jpg
