date,event,result,location,image_url
1,07.09.2025,,"GWF World Title#1 Contendership 30 Man Battlefield:MetehanandRambodefeatAbdul KenanandAndi ThequeandAtilla GulyasandAytac BaharandBig NikandCarlitoandCrowchesterand D-Nice andErkan SulcaniandEvil JaredandFast Time MoodoandGeorg AsgolarandJoshua AmaruandKrampusandLaurance RomanandNick SchreierandOwadasanandPahlevan NimaandPascal SpalterandRobert DreisskerandRonaldo ShaqiriandShaheenandSoraniandTim StübingandToni HartingandUlf HermanandVilmos GulyasandZoltan(64:05)GWF Battlefield 2025- Online Stream @ Festsaal Kreuzberg in Berlin, Deutschland",
2,06.09.2025,,"CarlitodefeatsAaron Roberts(8:11)Memphis Wrestling #237- Online Stream @ Memphis Wrestling WrestleCenter in Memphis, Tennessee, USA",
3,05.09.2025,,"Carlito,DMT Azul&El Hijo de Dr. Wagner Jr.defeatD'Luxe,Oraculo&Pierroth Jr.The Crash- Online Stream @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",
4,30.08.2025,,"WWC Universal Heavyweight TitleFour Way:XavantdefeatsChicano(c) andMatt HardyandCarlito-TITLE CHANGE !!!WWC 52. Aniversario- Event @ Coliseo Ruben Rodriguez in Bayamon, Puerto Rico, USA",
5,24.08.2025,,"New South Heavyweight Title:Stan Sierra(c) vs.Carlito- No Contest (14:49)AMW Showdown 016- Online Stream @ Civic Center in Corbin, Kentucky, USA",
6,17.08.2025,,"CarlitodefeatsCarter MasonSmash Super Showdown X- Event @ Toronto Rec Room in Toronto, Ontario, Canada",
7,16.08.2025,,"Carlitodefeats Josef Von SchmidtUCW Hometown Throwdown- Event @ Taylor Street Gym in Griffin, Georgia, USA",
8,09.08.2025,,"Three Way:Journey FatudefeatsBoyce LeGrandeandCarlitoStars Of Wrestling Grapplr's Paradise- Event @ Alameda Point Gym in Alameda, California, USA",
9,01.08.2025,,"HOG Heavyweight Title:Charles Mason(c) defeatsCarlito(10:56)HOG High Intensity 2025- Pay Per View @ NYC Arena in New York City, New York, USA",
10,18.07.2025,,"Triple Threat:CarlitodefeatsBrian MyersandLeo Sparrow(6:32)ACW Fallout- Pay Per View @ MJN Convention Center in Poughkeepsie, New York, USA",
11,31.05.2025,,"WWC Puerto Rico Title:CarlitodefeatsRay Gonzalez(c) -TITLE CHANGE !!!WWC Summer Madness 2025- Event @ CBT. Pepin Cestero in Bayamon, Puerto Rico, USA",
12,18.04.2025,,"Andre The Giant Memorial 2025 Battle Royal:Carmelo HayesdefeatsAkira TozawaandAndradeandAngelandAustin TheoryandBertoandBrutus CreedandCarlitoandChad GableandCruz Del ToroandDragon LeeandElton PrinceandGrayson WallerandJoaquin WildeandJulius CreedandKarrion KrossandKit WilsonandLudwig KaiserandOtisandPete DunneandR-TruthandRey FenixandSantos EscobarandShinsuke NakamuraandThe MizandTyler Bate(15:28)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",
13,24.03.2025,,"Dark:CM Punk,Cody Rhodes&Rey MysteriodefeatThe Judgment Day(Carlito,Dominik Mysterio&Finn Balor) (10:09)WWE Monday Night RAW #1661- Dark Match @ OVO Hydro in Glasgow, Scotland, UK",
14,15.11.2024,,"Dark:Braun Strowman&LWO(Dragon Lee&Rey Mysterio) defeatThe Judgment Day(Carlito,Finn Balor&JD McDonagh)WWE Friday Night SmackDown #1317- Dark Match @ Fiserv Forum in Milwaukee, Wisconsin, USA",
15,11.11.2024,,"The War Raiders(Erik&Ivar) defeatThe Judgment Day(Carlito&Dominik Mysterio) (9:30)WWE Monday Night RAW #1643- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",
16,18.10.2024,,"Dark:Sami Zayn&The New Day(Kofi Kingston&Xavier Woods) defeatPete Dunne&The Judgment Day(Carlito&Finn Balor)WWE Friday Night SmackDown #1313- Dark Match @ Colonial Life Arena in Columbia, South Carolina, USA",
17,30.09.2024,,"The Judgment Day(Carlito,Dominik Mysterio&JD McDonagh) defeatLWO(Cruz Del Toro,Dragon Lee&Joaquin Wilde) (8:30)WWE Monday Night RAW #1636- TV-Show @ Ford Center in Evansville, Indiana, USA",
18,23.09.2024,,"Dragon LeedefeatsCarlito(2:28)WWE Monday Night RAW #1635- TV-Show @ Toyota Arena in Ontario, California, USA",
19,26.08.2024,,"The Judgment Day(Carlito,Dominik Mysterio,Finn Balor&JD McDonagh) defeatLWO(Cruz Del Toro,Dragon Lee,Joaquin Wilde&Rey Mysterio) (14:55)WWE Monday Night RAW #1631- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",
20,18.08.2024,,"Braun Strowman,Kofi Kingston&Odyssey JonesdefeatThe Judgment Day(Carlito,Finn Balor&JD McDonagh)WWE SuperShow Summer Tour - Tag 11- House Show @ Hertz Arena in Fort Myers, Florida, USA",
21,17.08.2024,,"Braun Strowman,Kofi Kingston&Odyssey JonesdefeatThe Judgment Day(Carlito,Finn Balor&JD McDonagh)WWE SuperShow Summer Tour - Tag 10- House Show @ RP Funding Center in Lakeland, Florida, USA",
22,12.08.2024,,"Damian PriestdefeatsCarlito(9:21)WWE Monday Night RAW #1629- TV-Show @ Moody Center in Austin, Texas, USA",
23,29.07.2024,,"Jey UsodefeatsCarlito(7:50)WWE Monday Night RAW #1627- TV-Show @ Xcel Energy Center in St. Paul, Minnesota, USA",
24,14.07.2024,,"LWO(Dragon Lee&Rey Mysterio) defeatCarlito&Dominik MysterioWWE SuperShow Summer Tour - Tag 6- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",
25,13.07.2024,,"LWO(Dragon Lee&Rey Mysterio) defeatCarlito&Dominik MysterioWWE SuperShow Summer Tour - Tag 5- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",
26,12.07.2024,,"Dark:Braun StrowmandefeatsCarlitoWWE Friday Night SmackDown #1299- Dark Match @ DCU Center in Worcester, Massachusetts, USA",
27,08.07.2024,,"Carlito&The Judgment Day(Finn Balor&JD McDonagh) defeatAwesome Truth(R-Truth&The Miz) &Braun Strowman(8:16)WWE Monday Night RAW #1624- TV-Show @ Canadian Tire Centre in Ottawa, Ontario, Canada",
28,17.06.2024,,"CarlitodefeatsDragon Lee(8:01)WWE Monday Night RAW #1621- TV-Show @ American Bank Center in Corpus Christi, Texas, USA",
29,10.06.2024,,"Braun Strowman&LWO(Dragon Lee&Rey Mysterio) defeatCarlito&The Judgment Day(Dominik Mysterio&JD McDonagh) (13:55)WWE Monday Night RAW #1620- TV-Show @ Huntington Center in Toledo, Ohio, USA",
30,07.06.2024,,"Dark:Braun Strowman&Rey MysteriodefeatCarlito&JD McDonaghWWE Friday Night SmackDown #1294- Dark Match @ KFC Yum! Center in Louisville, Kentucky, USA",
31,07.06.2024,,"Dark:Rey MysteriodefeatsCarlitoby DQWWE Friday Night SmackDown #1294- Dark Match @ KFC Yum! Center in Louisville, Kentucky, USA",
32,03.06.2024,,"Braun StrowmandefeatsCarlito(1:24)WWE Monday Night RAW #1619- TV-Show @ GIANT Center in Hershey, Pennsylvania, USA",
33,27.05.2024,,"Rey MysteriodefeatsCarlito(10:27)WWE Monday Night RAW #1618- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",
34,03.05.2024,,"Dark:Rey MysteriodefeatsCarlitoWWE Friday Night SmackDown #1289- Dark Match @ LDLC Arena in Décines-Charpieu, Frankreich",
35,21.04.2024,,"LWO(Carlito,Dragon Lee&Rey Mysterio) defeatLegado del Fantasma(Angel,Berto&Santos Escobar)WWE Sunday Stunner- House Show @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",
36,20.04.2024,,"CarlitodefeatsSantos EscobarWWE Saturday Night's Main Event- House Show @ Erie Insurance Arena in Erie, Pennsylvania, USA",
37,19.04.2024,,"Santos EscobardefeatsCarlito(7:34)WWE Friday Night SmackDown #1287- TV-Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",
38,17.03.2024,,"AJ StylesdefeatsCarlitoWWE Road To WrestleMania- House Show @ North Charleston Coliseum in North Charleston, South Carolina, USA",
39,16.03.2024,,"AJ StylesdefeatsCarlitoWWE Road To WrestleMania- House Show @ James Brown Arena in Augusta, Georgia, USA",
40,10.03.2024,,"AJ StylesdefeatsCarlitoWWE Road To WrestleMania- House Show @ Cajundome in Lafayette, Louisiana, USA",
41,09.03.2024,,"AJ StylesdefeatsCarlitoWWE Road To WrestleMania- House Show @ Rapides Coliseum in Alexandria, Louisiana, USA",
42,01.03.2024,,"Street Fight:CarlitodefeatsSantos Escobar(11:15)WWE Friday Night SmackDown #1280- TV-Show @ Desert Diamond Arena in Glendale, Arizona, USA",
43,18.02.2024,,"CarlitodefeatsAustin TheoryWWE Road To WrestleMania- House Show @ Save Mart Center At Fresno State in Fresno, California, USA",
44,17.02.2024,,"CarlitodefeatsAustin TheoryWWE Road To WrestleMania- House Show @ Oakland Arena in Oakland, California, USA",
45,27.01.2024,,"Royal Rumble:Cody RhodesdefeatsAndradeandAustin TheoryandBobby LashleyandBron BreakkerandBronson ReedandCarlitoandCarmelo HayesandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandGrayson WallerandGuntherandIvarandJD McDonaghandJey UsoandJimmy UsoandKarrion KrossandKofi KingstonandLudwig KaiserandOmosandPat McAfeeandR-TruthandRicochetandSami ZaynandSantos EscobarandShinsuke NakamuraandThe Miz(68:11)WWE Royal Rumble 2024- Premium Live Event @ Tropicana Field in St. Petersburg, Florida, USA",
46,26.01.2024,,"Santos EscobardefeatsCarlito(9:50)WWE Friday Night SmackDown #1275- TV-Show @ Kaseya Center in Miami, Florida, USA",
47,19.01.2024,,"Legado del Fantasma(Angel,Humberto&Santos Escobar) defeatLWO(Carlito,Cruz Del Toro&Joaquin Wilde) (8:26)WWE Friday Night SmackDown #1274- TV-Show @ State Farm Arena in Atlanta, Georgia, USA",
48,02.01.2024,,"LWO(Carlito,Cruz Del Toro&Joaquin Wilde) defeatNo Quarter Catch Crew(Damon Kemp,Drew Gulak&Myles Borne) (8:30)WWE NXT #714 - New Year's Evil 2024- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
49,19.11.2023,,"LWO(Carlito,Cruz Del Toro&Joaquin Wilde) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Sunday Stunner- House Show @ First National Bank Arena in Jonesboro, Arkansas, USA",
50,18.11.2023,,"LWO(Carlito,Cruz Del Toro&Joaquin Wilde) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Saturday Night's Main Event- House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA",
51,10.11.2023,,"Bobby LashleydefeatsCarlito(9:27)WWE Friday Night SmackDown #1264- TV-Show @ Nationwide Arena in Columbus, Ohio, USA",
52,05.11.2023,,"LWO(Carlito&Cruz Del Toro) defeatThe Street Profits(Angelo Dawkins&Montez Ford)WWE SuperShow- House Show @ MassMutual Center in Springfield, Massachusetts, USA",
53,04.11.2023,,"LWO(Carlito&Cruz Del Toro) defeatThe Street Profits(Angelo Dawkins&Montez Ford)WWE SuperShow- House Show @ Blue Cross Arena in Rochester, New York, USA",
54,27.10.2023,,"The Street Profits(Angelo Dawkins&Montez Ford) defeatLWO(Carlito&Santos Escobar) (11:18)WWE Friday Night SmackDown #1262- TV-Show @ Fiserv Forum in Milwaukee, Wisconsin, USA",
55,22.10.2023,,"LWO(Carlito,Joaquin Wilde&Santos Escobar) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Sunday Stunner- House Show @ Sames Auto Arena in Laredo, Texas, USA",
56,21.10.2023,,"LWO(Carlito,Joaquin Wilde&Santos Escobar) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford)WWE Saturday Night's Main Event- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",
57,15.10.2023,,"LWO(Carlito&Joaquin Wilde) defeatThe Street Profits(Angelo Dawkins&Montez Ford)WWE SuperShow- House Show @ Great Southern Bank Arena in Springfield, Missouri, USA",
58,14.10.2023,,"LWO(Carlito&Joaquin Wilde) defeatThe Street Profits(Angelo Dawkins&Montez Ford)WWE SuperShow- House Show @ T-Mobile Center in Kansas City, Missouri, USA",
59,07.10.2023,,"LWO(Carlito,Rey Mysterio&Santos Escobar) defeatBobby Lashley&The Street Profits(Angelo Dawkins&Montez Ford) (10:02)WWE Fastlane 2023- Premium Live Event @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",
60,24.06.2023,,"WWC Universal Heavyweight Title:Intelecto 5 Estrellas (c) defeatsCarlitoWWC 50. Aniversario- Pay Per View @ Coliseo Ruben Rodriguez in Bayamon, Puerto Rico, USA",
61,17.06.2023,,"Carlito&Chase Oliverdefeat9 To 5(Jack Verville&Louis Lyndon) (15:02)AIW Over The Line- Online Stream @ Westside Bowl in Youngstown, Ohio, USA",
62,16.06.2023,,"HOG Heavyweight Title:Matt Cardona(c) defeatsCarlitoby DQ (18:33)HOG Plata O Plomo- Online Stream @ NYC Arena in New York City, New York, USA",
63,10.06.2023,,"CarlitodefeatsKrampusCWE Catch Wrestling Weltmeisterschaft- Event @ DSV Stadion in Leoben, Steiermark, Österreich",
64,03.06.2023,,"TSW Heavyweight  Title:VSK(c) defeatsCarlitoTSW Ante Up- Event @ Lawrenceburg Event Center in Lawrenceburg, Indiana, USA",
65,21.05.2023,,"CarlitodefeatsChristopher RyseckASW Cloverdale Rodeo 2023- Event @ Cloverdale Agriplex in Surrey, British Columbia, Canada",
66,20.05.2023,,"Carlito&Casey FerreiradefeatMr. Ferguson&Nick PeskyASW Cloverdale Rodeo 2023- Event @ Cloverdale Agriplex in Surrey, British Columbia, Canada",
67,22.04.2023,,"MAW Warriors Title:Rampage Santana(c) defeatsCarlitoMAW WillmarMania IV- Event @ Willmar Civic Center in Willmar, Minnesota, USA",
68,08.04.2023,,"Carlito&Crazzy Stevedefeat Hooks &Matthew TaylorSCX Retribution- Pay Per View @ The Wyndham in Indianapolis, Indiana, USA",
69,30.03.2023,,"CCW Heavyweight Title:Ariel Levy(c) defeatsCarlito(18:12)CCW Genesis- Event @ Teleamerica Television Studios in Anaheim, California, USA",
70,25.03.2023,,"Carlito&Eddie ColondefeatGilbert&Ray GonzalezWWC Honor Vs. Traicion 2023- Event @ Coliseito Pedrin Zorrilla in Hato Rey, Puerto Rico, USA",
71,19.03.2023,,"Men's Lucha Libre World Cup 2023 Quarter Final:Team Latin America (Carlito,Hip Hop Man&Zumbi) vs. Team Mexico 1 (Alberto El Patron,El Hijo del Vikingo&Psycho Clown) - Time Limit Draw (10:00)AAA Lucha Libre World Cup 2023- Pay Per View @ Estadio Panamericano de Beisbol Charros de Jalisco in Guadalajara, Jalisco, Mexiko",
72,19.03.2023,,"Men's Lucha Libre World Cup 2023 Quarter Final Sudden Death:Alberto El PatrondefeatsCarlito(3:54)AAA Lucha Libre World Cup 2023- Pay Per View @ Estadio Panamericano de Beisbol Charros de Jalisco in Guadalajara, Jalisco, Mexiko",
73,25.02.2023,,"J FowlerdefeatsCarlito(11:34)RUGGEDpro Falls City Slam 2023- Event @ Prichard Auditorium in Falls City, Nebraska, USA",
74,23.02.2023,,"Carlito Colondefeats Jonny Nova (8:21)CCW Cepra Smackdown - Tag 3- Event @ Cepra Construction in Ocoee, Florida, USA",
75,22.02.2023,,"Carlito Colondefeats Jonny Nova (10:21)CCW Cepra Smackdown - Tag 2- Event @ Cepra Construction in Ocala, Florida, USA",
76,21.02.2023,,"Carlito ColondefeatsGangrel(15:52)CCW Cepra Smackdown - Tag 1- Event @ Cepra Construction in Bradenton, Florida, USA",
77,14.01.2023,,"ZDPdefeatsCarlito(12:30)NWP Anniversary XI- Online Stream @ West Vigo Community Center in Terre Haute, Indiana, USA",
78,08.01.2023,,"CarlitodefeatsJohn MorrisonWWC Euphoria 2023- Event @ Coliseo Ruben Rodriguez in Bayamon, Puerto Rico, USA",
79,18.12.2022,,"Matthew SmythdefeatsCarlitoOTT Now That's Cool, The Christmas Party Tag 2- Event @ Europa Hotel in Belfast, Northern Ireland, UK",
80,17.12.2022,,"CarlitodefeatsRenzo RoseOTT Now That's Cool, The Christmas Party Tag 1- Event @ The Complex Dublin in Dublin, Ireland",
81,26.11.2022,,"CarlitodefeatsDirty Dango(9:30)WrestleCade SuperShow 2022- Pay Per View @ Benton Convention Center in Winston-Salem, North Carolina, USA",
82,20.11.2022,,"Cut Throat Cody,Graves&Remy MarceldefeatBret The Threat,Carlito&Chris MastersFSW Against All Odds 2022- Pay Per View @ Silver Nugget Casino in Las Vegas, Nevada, USA",
83,20.11.2022,,"Against All Odds Battle Royal:Matt VandagriffdefeatsAction BraxtonandAJ ManaandBig Money ClutchandBodhi Young Prodigyand Branson Gee andBret The ThreatandCarlitoandChase BellandChris MastersandCut Throat CodyandDamian Drakeand Damien Morningstar and Davion Jacot andDevin RenoandFrescoandGravesand Grizz Broady andHero LeuandIce Williamsand Jimmy Jack and Kevin Koa andLazarusand Nino Black andRemy MarcelandRicky TenaciousandSantana JacksonandShogun JonesandToa LionaandWatsonFSW Against All Odds 2022- Pay Per View @ Silver Nugget Casino in Las Vegas, Nevada, USA",
84,12.11.2022,,"STW Southern Cross Title:Julio Garcia(c) defeatsCarlito(11:59)STW Ambition- Online Stream @ Baldivis Recreation Centre in Baldivis, Western Australia, Australia",
85,06.11.2022,,"Alberto El Patronvs.Carlito- No ContestNLL- Event @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",
86,06.11.2022,,"Alberto El Patron,Cinta de Oro&LA ParkdefeatCarlito,Primo Colon&Travis BanksNLL- Event @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",
87,06.11.2022,,"CarlitodefeatsBlack AvalonNLL- Event @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",
88,06.11.2022,,"Carlitodefeats Faraon De OroNLL- Event @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",
89,29.10.2022,,"CarlitodefeatsMalicePPW Battle In The Creek 2- Event @ Kellogg Arena in Battle Creek, Michigan, USA",
90,28.10.2022,,"CarlitodefeatsOmega(10:53)BTW 25th Anniversary Show- Event @ Wayne High School Gym in Wayne, West Virginia, USA",
91,23.10.2022,,"FSW Tag Team Title:TBD(Hero Leu&Shogun Jones) (c) defeatCarlito&Chris Masters(13:01)FSW Mecca VIII- Pay Per View @ Silver Nugget Casino in Las Vegas, Nevada, USA",
92,18.10.2022,,"UWN World Title:Jordan Clearwater(c) defeatsCarlitoChampionship Wrestling #587- Online Stream @ Irvine Improv in Irvine, California, USA",
93,01.10.2022,,"Sydney SteeledefeatsCarlitoPPW Bridge City Brawl- Event @ ENMAX Centre in Lethbridge, Alberta, Canada",
94,24.09.2022,,"Alberto El Patron,Cinta de Oro&Dr. Wagner Jr.defeatAkbar Farat,Carlito&Primo ColonNLL- Event @ Unidad Cuauhtemoc in Naucalpan de Juarez, Estado de Mexico, Mexiko",
95,24.09.2022,,"Dr. Wagner Jr.&El Texano Jr.defeatCarlito&Primo ColonNLL- Event @ Unidad Cuauhtemoc in Naucalpan de Juarez, Estado de Mexico, Mexiko",
96,17.09.2022,,"CarlitodefeatsChase JamesRelentless Express- Event @ Trailbreaker Cider in Liberty Lake, Washington, USA",
97,04.09.2022,,"CarlitodefeatsDiego DaVinciCWE Extreme Heat - Tag 7- Event @ Collins Hall in Elliot Lake, Ontario, Canada",
98,03.09.2022,,"CarlitodefeatsVinnie DaVinciCWE Extreme Heat - Tag 6- Event @ Soo Blaster in Sault Ste Marie, Ontario, Canada",
99,03.09.2022,,"CarlitodefeatsXavantby DQWWC Superstars Of Wrestling- Online Stream @ Acropolis in Manati, Puerto Rico, USA",
100,02.09.2022,,"Kevin O'DoyledefeatsCarlitoCWE Extreme Heat - Tag 5- Event @ West Thunder Community Centre in Thunder Bay, Ontario, Canada",
101,21.08.2022,,"Three Way:Erick RedbearddefeatsCarlitoandVangellysIWC Invasion- Event @ Legacy Event Center in Westminster, Colorado, USA",
102,19.08.2022,,"CarlitodefeatsIniestraCSW Rotten To The Core- Event @ VFW Hall in Franklin Park, Illinois, USA",
103,13.08.2022,,"Triple Threat:CarlitodefeatsParker TomasandVinnie VainFWA Resolution 5- Online Stream @ Club Five Dock RSL in Five Dock, New South Wales, Australia",
104,06.08.2022,,"Match (Special Referee: Ray Gonzalez):CarlitodefeatsAndrade El IdoloWWC 49. Aniversario- Event @ Coliseo Ruben Rodriguez in Bayamon, Puerto Rico, USA",
105,09.07.2022,,"Three Way:Mike SkyrosdefeatsCarlitoand Jordyn Rowe (14:20)TOS Undeniable 3- Online Stream @ Waterbury Elks in Waterbury, Connecticut, USA",
106,26.06.2022,,"CarlitodefeatsCha Cha CharlieUSA Pro Wrestle War 2022- Event @ Rosen JCC in Orlando, Florida, USA",
107,18.06.2022,,"ASWA Heavyweight  TitleThree Way:Ryan Eagles(c) defeatsCarlitoandKeegan BrettleASWA A Night To Remember 3- Event @ Padstow RSL Club in Padstow, New South Wales, Australia",
