date,event,result,location,image_url
1,10.09.2025,,"Daiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatBULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) (10:05)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",
2,09.09.2025,,"BULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) defeatDaiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota Tsuji(13:02)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",
3,07.09.2025,,"Daiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatBULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) (10:26)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",
4,17.08.2025,,"BULLET CLUB War Dogs(David Finlay,Drilla Moloney,Gedo&Taiji Ishimori) defeatDaiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota Tsuji(10:10)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",
5,16.08.2025,,"Daiki Nagai&Shingo TakagidefeatBULLET CLUB War Dogs(David Finlay&Gedo) (6:34)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",
6,14.08.2025,,"G1 Climax 2025 Playoff:Konosuke TakeshitadefeatsDavid Finlay(17:12)NJPW G1 Climax 35 - Tag 17- Online Stream @ Korakuen Hall in Tokyo, Japan",
7,13.08.2025,,"House Of Torture(Dick Togo&EVIL) defeatBULLET CLUB War Dogs(David Finlay&Gedo) (4:31)NJPW G1 Climax 35 - Tag 16- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",
8,10.08.2025,,"G1 Climax 2025 Block A:David Finlay[10] defeatsYuya Uemura[10] (23:01)NJPW G1 Climax 35 - Tag 15- Online Stream @ G Messe Gunma in Takasaki, Gunma, Japan",
9,08.08.2025,,"Tomoaki Honma&Yuya UemuradefeatBULLET CLUB War Dogs(David Finlay&Gedo) (5:26)NJPW G1 Climax 35 - Tag 14- Online Stream @ Yokohama Budokan in Yokohama, Kanagawa, Japan",
10,07.08.2025,,"G1 Climax 2025 Block A:David Finlay[8] defeatsYota Tsuji[8] (15:21)NJPW G1 Climax 35 - Tag 13- TV-Show @ Korakuen Hall in Tokyo, Japan",
11,05.08.2025,,"BULLET CLUB War Dogs(David Finlay&Gedo) defeatDaiki Nagai&Yota Tsuji(6:36)NJPW G1 Climax 35 - Tag 12- Online Stream @ INTEX Osaka Building No. 5 in Osaka, Japan",
12,03.08.2025,,"G1 Climax 2025 Block A:David Finlay[6] defeatsEVIL[8] (10:31)NJPW G1 Climax 35 - Tag 11- Online Stream @ Fukuoka Convention Center in Fukuoka, Japan",
13,02.08.2025,,"House Of Torture(Dick Togo&EVIL) defeatBULLET CLUB War Dogs(David Finlay&Gedo) (5:22)NJPW G1 Climax 35 - Tag 10- Online Stream @ Hiroshima Sun Plaza in Hiroshima, Japan",
14,01.08.2025,,"G1 Climax 2025 Block A:David Finlay[4] defeatsOleg Boltin[6] (10:52)NJPW G1 Climax 35 - Tag 9- Online Stream @ Sunmesse Kagawa in Takamatsu, Kagawa, Japan",
15,30.07.2025,,"Oleg Boltin&Toru YanodefeatBULLET CLUB War Dogs(David Finlay&Gedo) (6:23)NJPW G1 Climax 35 - Tag 8- TV-Show @ Yamato Arena in Suita, Osaka, Japan",
16,27.07.2025,,"G1 Climax 2025 Block A:Callum Newman[4] defeatsDavid Finlay[2] (10:32)NJPW G1 Climax 35 - Tag 7- Online Stream @ Nagoya International Conference Hall in Nagoya, Aichi, Japan",
17,26.07.2025,,"United Empire(Callum Newman&Jakob Austin Young) defeatBULLET CLUB War Dogs(David Finlay&Gedo) (5:41)NJPW G1 Climax 35 - Tag 6- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",
18,25.07.2025,,"G1 Climax 2025 Block A:Hiroshi Tanahashi[4] defeatsDavid Finlay[2] (16:02)NJPW G1 Climax 35 - Tag 5- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",
19,23.07.2025,,"Hiroshi Tanahashi&Katsuya MurashimadefeatBULLET CLUB War Dogs(David Finlay&Gedo) (7:56)NJPW G1 Climax 35 - Tag 4- Online Stream @ Aore Nagaoka in Nagaoka, Niigata, Japan",
