date,event,result,location,image_url
1,30.03.2019,,"Sweet And Tasty(Bobby Schink&Travis Cole) &Don CallisdefeatChris Stevens,Donny DiCaprio&Kenny Omega(10:08)PCW 17th Anniversary Show- Event @ Doubles Bar in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
2,26.03.2004,,"Four Way:Adam Pearce&Hardkore Kiddvs.Cyrus The Virus& Jason Allgood vs.Depredador&Fobiavs. Perro Ruso &Tornado Negro- No ContestX-LUM- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
3,28.01.2004,,"Loser Loses Power In TNA:Don CallisdefeatsErik Watts(8:32)NWA Total Nonstop Action #82- Pay Per View @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
4,30.11.2003,,"Chris Steele,Don Callis&The Highlandervs.Johnny Devine,Juggernaut&Rick Vain- No ContestPWA- Event @ The Joint Night Club in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
5,04.09.2003,,"CyrusdefeatsOzzPOW- Event @ Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
6,04.09.2003,,"Dice Steele,Ozz& Ricky Solar defeatCrash Crimson,Cyrus&Kerry BrownPOW- Event @ Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
7,10.08.2003,,"Apocalypse& Honey Dipper Dan defeatCyrus&JuggernautPOW- Event @ Prairieland Exhibition in Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
8,09.08.2003,,"Cyrus&Wavell StarrdefeatApocalypse&Dice SteelePOW- Event @ Prairieland Exhibition in Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
9,08.08.2003,,"Apocalypse&Jerry LynndefeatCyrus&Wavell StarrPOW- Event @ Prairieland Exhibition in Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
10,08.08.2003,,"CyrusdefeatsDice SteelePOW- Event @ Prairieland Exhibition in Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
11,07.08.2003,,"Cyrus&Wavell StarrdefeatApocalypse&Jerry LynnPOW- Event @ Prairieland Exhibition in Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
12,06.08.2003,,"Cyrus&Wavell StarrdefeatApocalypse&El AsesinoPOW- Event @ Prairieland Exhibition in Saskatoon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
13,24.07.2003,,"Bobby Clancy,Mickey Doyle&Scott D'AmoredefeatChris Pillon,Cyrus&Denny KassBCW 10th Anniversary Show- Event @ Ciociaro Club in Oldcastle, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
14,25.04.2003,,"Cage:CyrusdefeatsShane DouglasNHB- Event @ Thunder Bay, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
15,15.08.2002,,"BCW Can-Am Tag Team Title:Cyrus&Terry Taylor(c) defeatEl Tornado&Tyson DuxBCW- Event @ Ciociaro Club in Oldcastle, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
16,13.06.2002,,"Chris Sabin,Cyrus&Terry TaylordefeatSabu,Scott D'Amore&Simon DiamondBCW- Event @ Oldcastle, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
17,13.06.2002,,"BCW Can-Am Tag Team Title:Cyrus&Terry Taylor(c) defeatGutter&HackerBCW- Event @ Oldcastle, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
18,16.05.2002,,"Mighty Ivan, Quicksilver &Vance NevadadefeatCrash Crimson,Cyrus&Max FiendPOW- Event @ Prince Albert, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
19,14.05.2002,,"Crash Crimson,Cyrus&Vance NevadadefeatMighty Ivan, Quicksilver &Sodam InsanePOW- Event @ Swift Current, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
20,13.05.2002,,"Crash Crimson,Cyrus&Vance NevadadefeatMighty Ivan, Quicksilver &Sodam InsanePOW- Event @ Shaunavon, Saskatchewan, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d0/Don_Callis%2C_July_2023.jpg
