date,event,result,location,image_url
1,12.09.2025,,"AAA Latin American TitleFatal Four Way:El Hijo de Dr. Wagner Jr.(c) defeatsDragon LeeandEthan PageandJD McDonagh(9:56)AAA x WWE Worlds Collide 2025: Las Vegas- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",
2,07.09.2025,,"Dragon LeedefeatsEthan Pageby DQWWE NXT Live- House Show @ Bell Auditorium in Augusta, Georgia, USA",
3,06.09.2025,,"Trick WilliamsdefeatsDragon LeeWWE NXT Live- House Show @ Charleston Area Convention Center in North Charleston, South Carolina, USA",
4,05.09.2025,,"Dragon LeedefeatsEthan Pageby DQWWE NXT Live- House Show @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",
5,01.09.2025,,"Finn BalordefeatsDragon Lee(9:44)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",
6,25.08.2025,,"Dragon LeedefeatsJD McDonagh(8:47)WWE Monday Night RAW #1683- Online Stream @ bp pulse LIVE in Birmingham, West Midlands, England, UK",
7,18.08.2025,,"The Judgment Day(Finn Balor&JD McDonagh) defeatDragon Lee&Mr. Iguana(9:54)WWE Monday Night RAW #1682- Online Stream @ Xfinity Mobile Arena in Philadelphia, Pennsylvania, USA",
8,16.08.2025,,"AAA Mega TitleFatal Four Way:El Hijo del Vikingo(c) defeatsDominik MysterioandDragon LeeandEl Grande Americano(15:04)AAA TripleMania XXXIII- Online Stream @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",
9,11.08.2025,,"Dominik Mysterio&El Grande AmericanodefeatAJ Styles&Dragon Lee(16:38)WWE Monday Night RAW #1681- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",
10,04.08.2025,,"Dominik MysteriodefeatsDragon Lee(8:12)WWE Monday Night RAW #1680- Online Stream @ Barclays Center in New York City, New York, USA",
11,07.07.2025,,"El Grande AmericanodefeatsDragon Lee(9:23)WWE Monday Night RAW #1676- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",
12,09.06.2025,,"Dragon LeedefeatsAustin Theory(5:15)WWE Main Event #663- Online Stream @ PHX Arena in Phoenix, Arizona, USA",
13,07.06.2025,,"Aero Star,Mr. Iguana&Octagon Jr.defeatLince Dorado&LWO(Cruz Del Toro&Dragon Lee) (14:05)AAA x WWE Worlds Collide 2025: Los Angeles- Online Stream @ The Kia Forum in Inglewood, California, USA",
14,03.06.2025,,"Dragon Lee,Je'Von Evans,Laredo Kid&Sean LegacydefeatEthan Page&The Vanity Project(Brad Baylor,Jackson Drake&Ricky Smokes) (13:30)WWE NXT #788- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
15,26.05.2025,,"Money In The Bank Qualifying Triple Threat:PentadefeatsChad GableandDragon Lee(10:03)WWE Monday Night RAW #1670- Online Stream @ Yuengling Center in Tampa, Florida, USA",
16,05.05.2025,,"WWE Speed Title:El Grande AmericanodefeatsDragon Lee(c) (3:53) -TITLE CHANGE !!!WWE Speed #71- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",
17,28.04.2025,,"Dragon LeedefeatsKarrion Kross(4:01)WWE Main Event #657- Online Stream @ T-Mobile Center in Kansas City, Missouri, USA",
18,18.04.2025,,"LWO(Dragon Lee&Rey Mysterio) &Rey FenixdefeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed) (9:43)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",
19,18.04.2025,,"Andre The Giant Memorial 2025 Battle Royal:Carmelo HayesdefeatsAkira TozawaandAndradeandAngelandAustin TheoryandBertoandBrutus CreedandCarlitoandChad GableandCruz Del ToroandDragon LeeandElton PrinceandGrayson WallerandJoaquin WildeandJulius CreedandKarrion KrossandKit WilsonandLudwig KaiserandOtisandPete DunneandR-TruthandRey FenixandSantos EscobarandShinsuke NakamuraandThe MizandTyler Bate(15:28)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",
20,07.04.2025,,"American Made(Brutus Creed&Julius Creed) &El Grande AmericanodefeatLWO(Cruz Del Toro,Dragon Lee&Joaquin Wilde) (10:29)WWE Monday Night RAW #1663- Online Stream @ Target Center in Minneapolis, Minnesota, USA",
21,24.03.2025,,"El Grande AmericanodefeatsDragon Lee(8:58)WWE Monday Night RAW #1661- Online Stream @ OVO Hydro in Glasgow, Scotland, UK",
22,17.03.2025,,"LWO(Dragon Lee&Rey Mysterio) defeatAmerican Made(Brutus Creed&Julius Creed) (5:46)WWE Monday Night RAW #1660- Online Stream @ Forest National in Brüssel, Belgien",
23,10.03.2025,,"Tornado:The New Day(Kofi Kingston&Xavier Woods) defeatLWO(Dragon Lee&Rey Mysterio) (11:10)WWE Monday Night RAW #1659- Online Stream @ Madison Square Garden in New York City, New York, USA",
24,07.03.2025,,"WWE Speed Title:Dragon Lee(c) defeatsIvar(3:30)WWE Speed #63- Online Stream @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",
25,24.02.2025,,"Dragon LeedefeatsGrayson Waller(7:26)WWE Main Event #648- Online Stream @ Heritage Bank Center in Cincinnati, Ohio, USA",
