date,event,result,location,image_url
1,10.10.1996,,"Dos Caras,Dynamite Kid&Kuniaki KobayashidefeatFirst Tiger Mask,Mil Mascaras&The Great Sasuke(15:30)Michinoku Pro Takewaki -These Days-- TV-Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
2,28.05.1994,,"Jason Crossvs.The Dynamite Kid- DrawGPW- Event @ Krefeld, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
3,27.05.1994,,"Jason Cross&The Dynamite KiddefeatBuffalo Breheny&Soldier BoyGPW- Event @ Krefeld, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
4,30.04.1994,,"The Dynamite KiddefeatsDie MaskeGPW- Event @ Karlsruhe, Baden-Württemberg, Deutschland",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
5,29.04.1994,,"The British Bulldogs(Danny Boy Collins&The Dynamite Kid) defeatSkull Murphy&The British LODby DQGPW- Event @ Karlsruhe, Baden-Württemberg, Deutschland",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
6,08.04.1994,,"The Dynamite KiddefeatsWaverider CraigGPW- Event @ Bremerhaven, Bremen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
7,20.03.1994,,"The Dynamite Kiddefeats Steve BritainGPW- Event @ Hermann-Gieseler-Halle in Magdeburg, Sachsen-Anhalt, Deutschland",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
8,19.03.1994,,"The Dynamite KiddefeatsSoldier BoyGPW- Event @ Hermann-Gieseler-Halle in Magdeburg, Sachsen-Anhalt, Deutschland",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
9,28.01.1994,,"Survivor Series Quarter Final:Robbie Brookside&The Dynamite KiddefeatThe Superflys(Jimmy Ocean&Ricky Knight)ASW Survivor Series- Event @ Town Hall in Stockport, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
10,28.01.1994,,"Survivor Series Semi Final:The Dynamite Kiddefeats The Masked Superstar (Marty Jones) by DQASW Survivor Series- Event @ Town Hall in Stockport, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
11,27.01.1994,,"Survivor Series Tournament First Round:The Dynamite KiddefeatsBuffalo BrehenyASW Survivor Series- Event @ Munical Hall in Colne, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
12,27.01.1994,,"Survivor Series Tournament Semi Final:Johnny Saintvs.The Dynamite Kid- Double Count OutASW Survivor Series- Event @ Munical Hall in Colne, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
13,19.01.1994,,"The Dynamite KiddefeatsThe Ultimate ChippendaleASW- Event @ Queen Victoria Hall in Oldham, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
14,15.01.1994,,"The Dynamite KiddefeatsRicky KnightASW- Event @ Victoria Hall in Hanley, Stoke-on-Trent, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
15,14.01.1994,,"The Dynamite KiddefeatsJimmy OceanASW- Event @ Town Hall in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
16,29.07.1993,,"Super Generation Army(Jun Akiyama&Tsuyoshi Kikuchi) defeatDynamite Kid&Johnny Smith(11:23)AJPW Summer Action Series 1993 - Tag 22- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/04/Dynamite_Kid%2C_circa_1987.png
