date,event,result,location,image_url
1,05.09.2025,,"Judas IcarusdefeatsEric Young(5:11)TNA iMPACT #1104- TV-Show @ The Armory in Minneapolis, Minnesota, USA",
2,16.08.2025,,"Eric YoungdefeatsMyron Reed(5:56)TNA iMPACT #1101- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",
3,25.07.2025,,"Mike SantanadefeatsEric Young(5:31)TNA iMPACT #1099- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",
4,20.07.2025,,"The Home Town MandefeatsEric Young(4:10)TNA Countdown To Slammiversary 2025- Online Stream @ UBS Arena in Elmont, New York, USA",
5,12.07.2025,,"Doc Gallows&Eric Youngdefeat Gavin Miller &Shane MaliceWDWA Hot And Bothered 2025- Event @ South Berkeley Fire Hall in Inwood, West Virginia, USA",
6,07.06.2025,,"Eric YoungdefeatsSami Callihan(7:18)TNA iMPACT #1091- TV-Show @ Mullett Arena in Tempe, Arizona, USA",
7,25.05.2025,,"Eric Young[Canada] defeatsMatt Hardy[USA] (7:33)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",
8,24.05.2025,,"TNA X-Division Title:Moose(c) defeatsEric Young(7:36)TNA iMPACT #1089- TV-Show @ CAA Centre in Brampton, Ontario, Canada",
9,23.05.2025,,"The Northern Armory(Eric Young,Judas Icarus&Travis Williams) defeatThe System(Brian Myers,JDC&Moose) (12:00)TNA Under Siege 2025- Online Stream @ CAA Centre in Brampton, Ontario, Canada",
10,01.05.2025,,"TNA International TitleDog Collar:Steve Maclin(c) defeatsEric Young(10:56)TNA iMPACT #1085- TV-Show @ Bren Events Center in Irvine, California, USA",
11,27.04.2025,,"TNA International Title:Steve Maclin(c) defeatsEric Young(9:24)TNA Rebellion 2025- Pay Per View @ Galen Center in Los Angeles, California, USA",
12,17.04.2025,,"TNA International TitleTournament Final Three Way Match (vakant):Steve MaclindefeatsAJ FrancisandEric Young(13:39) -TITLE CHANGE !!!TNA Unbreakable 2025- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",
13,17.04.2025,,"TNA International TitleTournament Three Way:Eric YoungdefeatsJDCandZachary Wentz(8:48)TNA Unbreakable 2025- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",
14,29.03.2025,,"Eric YoungdefeatsLaredo(5:00)TNA Xplosion #923- Online Stream @ St. Joseph Civic Arena in St. Joseph, Missouri, USA",
15,15.03.2025,,"Eric YoungdefeatsAce Austin(7:12)TNA iMPACT #1079- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",
16,21.02.2025,,"The Northern Armory(Eric Young,Judas Icarus&Travis Williams) defeatAce Austin&The Rascalz(Trey Miguel&Zachary Wentz) (9:45)TNA iMPACT #1076- TV-Show @ Full Sail University in Winter Park, Florida, USA",
17,15.02.2025,,"Eric YoungdefeatsFabio FerrariI Miti Del Wrestling Wild And Young- Event @ Villa Bruno in San Giorgio a Cremano, Kampanien, Italien",
18,08.02.2025,,"FFW Title:Joel Redman(c) defeatsEric YoungFFW Road To 10 Year Anniversary- Event @ Nelson Club in Warwick, Warwickshire, England, UK",
19,07.02.2025,,"APW Scottish TitleRuggy Rumble:The Big Strong MandefeatsRavie Davie(c) andBig Ross Hauserand Bryan Mojo andCallum Andrewsand Chip Watson andCousin ZanderandDaroandDave Conradand Dougie James and E-Town andEric YoungandFrankie Richardsand Magic Dave and Mr. Wanderer andThatcher Wrightand The Seventh Circle andFulton Kingand Jay Bee Dub andJudas Greyand Kayden X andNathan Blackand Nick Justicel andRobb StowandRonan KingandSami SparxandSaqib AliandStegand The Music Man andThorin-TITLE CHANGE !!!APW Ruggy Rumble- Event @ Glencairn Venue in Rutherglen, South Lanarkshire, Scotland, UK",
20,07.02.2025,,"APW Scottish TitleThree Way:Ravie Davie(c) defeatsEric Youngand Mr. WandererAPW Ruggy Rumble- Event @ Glencairn Venue in Rutherglen, South Lanarkshire, Scotland, UK",
21,02.02.2025,,"OTT Tag Team Title:The Social Elite(Matthew Bullett Smyth&Sean Maxer Guinness) (c) defeatSAnitY(Axel Tischer&Eric Young) (10:20)OTT Aftermath 3- Event @ Europa Hotel in Belfast, Northern Ireland, UK",
22,01.02.2025,,"OTT World Title:Big Damo(c) defeatsEric Young(13:35)OTT Loco Rumble- Event @ National Stadium  in Dublin, Ireland",
23,24.01.2025,,"Eric YoungdefeatsJosh Alexander(14:46)TNA iMPACT #1073- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",
24,23.01.2025,,"Eric Young&Josh Alexandervs.The Northern Armory(Judas Icarus&Travis Williams) - No Contest (4:15)TNA iMPACT #1071- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",
25,19.01.2025,,"Eric Young&Steve MaclindefeatThe System(Brian Myers&Eddie Edwards) (7:30)TNA Genesis 2025- Pay Per View @ Curtis Culwell Center in Garland, Texas, USA",
26,14.12.2024,,"Eric Young&Steve MaclindefeatFirst Class(AJ Francis&KC Navarro) (6:36)TNA iMPACT #1069- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",
27,14.12.2024,,"Eric Young,Jonathan Gresham&Steve MaclindefeatThe System(Brian Myers,Eddie Edwards&JDC) (6:31)TNA iMPACT #1068- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",
28,29.11.2024,,"Thanksgiving Turkey Bowl:Joe HendrydefeatsBrian MyersandEric YoungandHammerstoneandJohn SkylerandRhino(8:21)TNA Turning Point 2024- Online Stream @ Benton Convention Center in Winston-Salem, North Carolina, USA",
29,09.11.2024,,"Frankie Kazarian&The Northern Armory(Josh Alexander,Judas Icarus&Travis Williams) defeatEric Young,Jonathan Gresham,Mike Santana&Steve Maclin(15:21)TNA iMPACT #1063- TV-Show @ Crown Arena in Fayetteville, North Carolina, USA",
30,08.11.2024,,"The Northern Armory(Josh Alexander,Judas Icarus&Travis Williams) defeatEric Young,Jonathan Gresham&Steve Maclin(12:52)TNA iMPACT #1060- TV-Show @ Crown Arena in Fayetteville, North Carolina, USA",
31,27.10.2024,,"Eric Young,Jonathan Gresham&Steve MaclindefeatJosh Alexander&The Good Hands(Jason Hotch&John Skyler) (7:11)TNA iMPACT #1058 - Halloween- TV-Show @ Wayne State Fieldhouse in Detroit, Michigan, USA",
32,20.10.2024,,"Man Like DeReissdefeatsEric YoungSMW Back To The Banking Hall Part 5- Event @ Portland House in Cardiff, Wales, UK",
33,18.10.2024,,"POW Intercontinental Title:James Mason(c) defeatsEric YoungPOW Armageddon 2024 - Tag 3- Event @ Festzelt auf dem Schützenplatz in Hannover, Niedersachsen, Deutschland",
34,12.10.2024,,"CACC Supreme TitleThree Way Match (vakant):A-BuckdefeatsEric YoungandTucker(10:43)CACC Bad Zone- Event @ Douai, Frankreich",
35,05.10.2024,,"UBW British Heavyweight Title:Ricky Calvet(c) defeatsEric YoungUBW Thunder In Fairfield- Event @ Fairfield Community Hall in Stotfold, Bedfordshire, England, UK",
36,02.10.2024,,"Josh AlexanderdefeatsEric Young(10:04)TNA iMPACT #1055- TV-Show @ Skyway Studios in Nashville, Tennessee, USA",
37,14.09.2024,,"Eric Young&Steve MaclindefeatThe Pillars Of Destiny(Hunter Grey&Paul Titan) (4:05)TNA Xplosion #891- Online Stream @ Boeing Center At Tech Port in San Antonio, Texas, USA",
38,13.09.2024,,"Hammerstone&Jake SomethingdefeatEric Young&Steve Maclin(6:56)TNA Countdown To Victory Road 2024- Online Stream @ Boeing Center At Tech Port in San Antonio, Texas, USA",
39,31.08.2024,,"Eric YoungdefeatsJake Something(3:50)TNA iMPACT #1050- TV-Show @ Old Forester's Paristown Hall in Louisville, Kentucky, USA",
40,30.08.2024,,"Steve MaclindefeatsEric Young(9:54)TNA Emergence 2024- Online Stream @ Old Forester's Paristown Hall in Louisville, Kentucky, USA",
41,03.08.2024,,"Eric YoungdefeatsKC Navarro(4:31)TNA Xplosion #886- Online Stream @ Florida State Fairgrounds in Tampa, Florida, USA",
42,02.08.2024,,"HammerstonedefeatsEric Young(6:47)TNA iMPACT #1049- TV-Show @ Florida State Fairgrounds in Tampa, Florida, USA",
43,21.07.2024,,"Mixed:Ash By Elegance&HammerstonedefeatEric Young&Jordynne Grace(7:40)TNA iMPACT #1044- TV-Show @ Verdun Auditorium in Montreal, Quebec, Canada",
44,20.07.2024,,"Eric YoungdefeatsHammerstone(5:28)TNA Countdown To Slammiversary 2024- Online Stream @ Verdun Auditorium in Montreal, Quebec, Canada",
45,15.07.2024,,"Iestyn ReesdefeatsEric YoungEWE Coyote Nitro- Event @ Coyote Ugly in Cardiff, Wales, UK",
46,14.07.2024,,"SAnitY(Axel Tischer,Big Damo&Eric Young) defeatIlija Zarkov,Renzo Rose& The Sem (9:02)OTT Sanity- Event @ KFR Centre in Dublin, Ireland",
47,13.07.2024,,"Eric Youngdefeats Charlie AndersonTarget Wrestling- Event @ BOX ARENA in Carlisle, Cumbria, England, UK",
48,06.07.2024,,"25 Man Royal Rumble:Corey McRaedefeats591andArdit AlijaandAxel TischerandBobby GunnsandChris TitanandEric YoungandHerbi VaraandIvan KievandJakk SellströmandJessy JayandJoshua Amaruand Kinichi andKrampusand Leo Nova and Lunatic andMarcus MonereandMark HaskinsandMatthias BernsteinandMike SolarisandPete BouncerandSoraniandTempestaandTim StübingandZeritus(64:36)Unlimited Wrestling New Dawn 2024- Pay Per View @ Klubhaus in Thale, Sachsen-Anhalt, Deutschland",
49,29.06.2024,,"Dark:Eric YoungdefeatsRich SwannTNA iMPACT #1043- Dark Match @ 2300 Arena in Philadelphia, Pennsylvania, USA",
50,28.06.2024,,"Dark:Eric Young&Josh AlexanderdefeatCampaign Singh&Mustafa AliTNA iMPACT #1042- Dark Match @ 2300 Arena in Philadelphia, Pennsylvania, USA",
51,15.06.2024,,"Road To Slammiversary Qualifying:Josh AlexanderdefeatsEric Young(11:25)TNA iMPACT #1039- TV-Show @ Cicero Stadium in Cicero, Illinois, USA",
52,14.06.2024,,"ABC(Ace Austin&Chris Bey) defeatEric Young&Josh Alexander(18:17)TNA Against All Odds 2024- Online Stream @ Cicero Stadium in Cicero, Illinois, USA",
53,09.06.2024,,"NEO Grand Independent Title:TARIK(c) defeatsEric YoungNEO Pro Art Of War: Days Of Future Past- Event @ Columbus Club of Niagara Falls in Niagara Falls, Ontario, Canada",
54,01.06.2024,,"Team TNA (Cody Deaner,Crazzy Steve&Eric Young) defeatDeadly Venoms(Anthony Darko,El Tornado&Jake O'Reilly)RSW Wrestling Night In Collingwood 11- Event @ Collingwood Curling Club in Collingwood, Ontario, Canada",
55,18.05.2024,,"Eric YoungdefeatsAlan Angels(6:29)TNA Xplosion #875- Online Stream @ MegaCorp Pavilion in Newport, Kentucky, USA",
56,04.05.2024,,"Champions Challenge 16 Man:Eric Young,Joe Hendry,Matt Hardy,Ryan Nemeth,Sami Callihan,Spitfire(Dani Luna&Jody Threat) &Steph De LanderdefeatJordynne Grace,Laredo Kid,Masha Slamovich,Mustafa Ali&The System(Alisha Edwards,Brian Myers,Eddie Edwards&Moose) (21:28)TNA iMPACT #1034- TV-Show @ Albany Armory in Albany, New York, USA",
57,03.05.2024,,"Eric Young&Josh AlexanderdefeatFrankie Kazarian&Steve Maclin(12:29)TNA Under Siege 2024- Online Stream @ Albany Armory in Albany, New York, USA",
58,26.04.2024,,"Superkick'D Title:Jessie V(c) defeatsEric YoungSuperkick'D Still Blazin'- Online Stream @ Great Hall in Toronto, Ontario, Canada",
59,20.04.2024,,"Full Metal Mayhem:Frankie KazariandefeatsEric Young(15:21)TNA Rebellion 2024- Pay Per View @ Palms Casino Resort in Las Vegas, Nevada, USA",
60,13.04.2024,,"Eric YoungdefeatsRob KilljoyACCW Wrestle Quest 2024- Online Stream @ Brookford Town Hall in Hickory, North Carolina, USA",
61,08.03.2024,,"TNA World Title:Moose(c) defeatsEric Young(22:05)TNA Sacrifice 2024- Online Stream @ St. Clair College SportsPlex in Windsor, Ontario, Canada",
62,24.02.2024,,"The System(Brian Myers,Eddie Edwards&Moose) defeatABC(Ace Austin&Chris Bey) &Eric Young(17:16)TNA iMPACT #1023- TV-Show @ Alario Center in Westwego, Louisiana, USA",
63,23.02.2024,,"TNA World Title#1 Contendership:Eric YoungdefeatsFrankie Kazarian(9:23)TNA No Surrender 2024- Online Stream @ Alario Center in Westwego, Louisiana, USA",
