date,event,result,location,image_url
1,09.09.2023,,"Awesome Kong,Gail Kim,Jordynne Grace,Mickie James&TrinitydefeatAngelina Love,Deonna Purrazzo,SHAWntourage(Gisele Shaw&Savannah Evans) &Tasha Steelz(15:23)Impact Wrestling #1000 - Tag 2- TV-Show @ Westchester County Center in White Plains, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
2,28.04.2019,,"Tessa BlancharddefeatsGail Kim(13:00)Impact Wrestling Rebellion 2019- Pay Per View @ REBEL Entertainment Complex in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
3,03.02.2018,,"Gail KimdefeatsKasey OwensSWE Raw Deal 7- Event @ The Gordon Craig Theatre in Stevenage, Hertfordshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
4,16.12.2017,,"Britt BakerdefeatsGail KimIWR Christmas Star Wars- Event @ Dickson High School Gym in Ardmore, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
5,03.12.2017,,"Allie[USA] defeatsGail Kim[CAN]Smash CANUSA Classic 2017- TV-Show @ Franklin Horner Community Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
6,05.11.2017,,"Impact Knockouts TitleThree Way:Gail KimdefeatsAllieandSienna(c) (9:45) -TITLE CHANGE !!!Impact Wrestling Bound For Glory 2017- Pay Per View @ Aberdeen Pavilion in Ottawa, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
7,21.10.2017,,"Gail KimdefeatsRebel(9:08)IWR When Worlds Collide 2- Event @ Firelake Casino in Shawnee, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
8,07.10.2017,,"Gail KimdefeatsIvelisse(9:28)IWR Oklamania II- Event @ Hardy Murphy Coliseum in Ardmore, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
9,20.08.2017,,"Sienna,Taryn Terrell&TayadefeatAllie,Gail Kim&Rosemary(9:31)GFW Impact Wrestling #689 - Victory Road 2017- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
10,18.08.2017,,"Sienna&Taryn TerrelldefeatAllie&Gail Kim(4:15)GFW Impact Wrestling #686- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
11,17.08.2017,,"GFW Knockouts Title:Sienna(c) defeatsGail Kim(7:02)GFW Impact Wrestling #683 - Destination X 2017- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
12,12.08.2017,,"Gail KimdefeatsTaya ValkyrieBlitz WrestleFest 8- Online Stream @ Edwards Event Center in Romeoville, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
13,03.10.2016,,"TNA Women's Knockout Title:Gail Kim(c) defeatsSienna(3:05)IMPACT Wrestling #638- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
14,03.10.2016,,"TNA Women's Knockout TitleNo Disqualification:Gail Kim(c) defeatsMaria(4:57)IMPACT Wrestling #639- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
15,02.10.2016,,"TNA Women's Knockout Title:Gail KimdefeatsMaria(c) (5:23) -TITLE CHANGE !!!TNA Bound For Glory 2016- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
16,17.08.2016,,"Lethal Lockdown:Team Lashley (Drew Galloway,Lashley,Maria&Mike Bennett) defeat Team EC3 (Aron Rex,Ethan Carter III,Gail Kim&Moose) (29:05)IMPACT Wrestling #637 - The Road To Glory- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
17,16.08.2016,,"Gail KimdefeatsLaurel Van Ness(8:32)TNA One Night Only - November 2016- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
18,14.08.2016,,"TNA Women's Knockout Title#1 Contendership Gauntlet Battle Royal:Gail KimdefeatsJadeandLaurel Van NessandMadison RayneandMarti BellandRaquelandSienna(10:39)IMPACT Wrestling #635- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
19,13.08.2016,,"Gail Kim&JadedefeatAllie&Sienna(4:39)IMPACT Wrestling #634- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
20,12.08.2016,,"Gail KimdefeatsJadeby DQ (5:23)IMPACT Wrestling #631- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
21,11.08.2016,,"No Disqualification:Gail KimdefeatsMarti Bell(4:44)IMPACT Wrestling #630- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
22,22.07.2016,,"ABC Women's TitleMatch (Special Referee: Claude Roca):Gail KimdefeatsHeidi Katrina(c) -TITLE CHANGE !!!ABC Arena Catch VII- Event @ Arenes de Béziers in Béziers, Languedoc, Frankreich",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
23,14.07.2016,,"Two On One Handicap:Gail KimdefeatsAllie&Sienna(5:41)IMPACT Wrestling #629- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
24,13.07.2016,,"Gail KimdefeatsMadison Rayne(4:54)IMPACT Wrestling #628- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
25,12.07.2016,,"TNA Women's Knockout TitleFour Way:Sienna(c) defeatsGail KimandJadeandMarti Bell(4:30)IMPACT Wrestling #626 - Destination X 2016- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
26,15.06.2016,,"TNA Women's Knockout Title:Sienna(c) defeatsGail Kim(3:18)IMPACT Wrestling #624- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
27,12.06.2016,,"TNA Women's Knockout TitleThree Way:SiennadefeatsJade(c) andGail Kim(8:11) -TITLE CHANGE !!!TNA Slammiversary XIV- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
28,28.05.2016,,"Gail KimdefeatsMandy LeonKPW Broken Promises- Event @ Host & Conference Center in Lancaster, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
29,30.04.2016,,"Gail KimdefeatsLuFistoAIW Girls Night Out 17- Event @ Our Lady Of Mount Carmel in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
30,24.04.2016,,"Ethan Carter III&Gail KimdefeatAllie&Mike Bennett(4:46)IMPACT Wrestling #621- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
31,23.04.2016,,"Gail KimdefeatsSienna(4:12)IMPACT Wrestling #619 - May Mayhem 2016- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
32,23.04.2016,,"Gail Kim&JadedefeatAllie&Sienna(5:25)IMPACT Wrestling #620- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
33,22.04.2016,,"TNA Women's Knockout Title:Jade(c) defeatsGail Kimby DQ (5:33)IMPACT Wrestling #617- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
34,15.04.2016,,"Gail KimdefeatsCarmelBCW Live In Kilmarnock- Event @ Grand Hall in Kilmarnock, East Ayrshire, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
35,19.03.2016,,"RosemarydefeatsGail Kim(6:11)IMPACT Wrestling #615 - Sacrifice 2016- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
36,19.03.2016,,"Winner Becomes Head Of The Knockouts Ladder:MariadefeatsGail KimandJadeandMadison RayneandMarti BellandRebelandVelvet Sky(5:13)IMPACT Wrestling #614- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
37,17.03.2016,,"Allysin KaydefeatsGail Kimby Count Out (7:53)TNA One Night Only - Knockouts Knockdown 2016- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
38,17.03.2016,,"Maria&Mike BennettdefeatDJ Z&Gail Kim(7:44)TNA One Night Only - Knockouts Knockdown 2016- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
39,17.03.2016,,"TNA Women's Knockout TitleThree Way:JadedefeatsGail Kim(c) andMadison Rayne(3:40) -TITLE CHANGE !!!IMPACT Wrestling #612- TV-Show @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/43/Gail_Kim.jpg
