date,event,result,location,image_url
1,13.09.2025,,"BULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) defeatDaiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota Tsuji(9:34)NJPW Road To Destruction 2025 - Tag 3- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
2,12.09.2025,,"Masked Battle Royal:Hikaru SatodefeatsDaiki NagaiandGedoandGreat-O-KhanandHartley JacksonandJadoandRobbie Eaglesand Tetsuya Matsumoto andTiger MaskandZane Jay(11:15)NJPW Shinnichi-Champion presents Pyon!- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
3,10.09.2025,,"Daiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatBULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) (10:05)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
4,09.09.2025,,"BULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) defeatDaiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota Tsuji(13:02)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
5,07.09.2025,,"Daiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota TsujidefeatBULLET CLUB War Dogs(David Finlay,Gabe Kidd,Gedo&Taiji Ishimori) (10:26)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
6,17.08.2025,,"BULLET CLUB War Dogs(David Finlay,Drilla Moloney,Gedo&Taiji Ishimori) defeatDaiki Nagai,Hiromu Takahashi,Shingo Takagi&Yota Tsuji(10:10)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
7,16.08.2025,,"Daiki Nagai&Shingo TakagidefeatBULLET CLUB War Dogs(David Finlay&Gedo) (6:34)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
8,13.08.2025,,"House Of Torture(Dick Togo&EVIL) defeatBULLET CLUB War Dogs(David Finlay&Gedo) (4:31)NJPW G1 Climax 35 - Tag 16- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
9,08.08.2025,,"Tomoaki Honma&Yuya UemuradefeatBULLET CLUB War Dogs(David Finlay&Gedo) (5:26)NJPW G1 Climax 35 - Tag 14- Online Stream @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
10,05.08.2025,,"BULLET CLUB War Dogs(David Finlay&Gedo) defeatDaiki Nagai&Yota Tsuji(6:36)NJPW G1 Climax 35 - Tag 12- Online Stream @ INTEX Osaka Building No. 5 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_Jubaland_%28Somalia%29.svg
