date,event,result,location,image_url
1,28.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
2,26.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
3,24.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
4,23.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
5,22.08.2025,,"The Street Profits(Angelo Dawkins&Montez Ford) defeatMFT(JC Mateo&Tonga Loa) (9:56)WWE Friday Night SmackDown #1357- TV-Show @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
6,15.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa) (11:05)WWE Friday Night SmackDown #1356- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
7,08.08.2025,,"MFT(JC Mateo&Talla Tonga) defeatThe Motor City Machine Guns(Alex Shelley&Chris Sabin) (7:43)WWE Friday Night SmackDown #1355- TV-Show @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
8,27.07.2025,,"Cody Rhodes,Jacob Fatu&Jimmy UsodefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
9,26.07.2025,,"Cody Rhodes,Jacob Fatu&Jimmy UsodefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
10,20.07.2025,,"Cody Rhodes,Jacob Fatu&Randy OrtondefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
11,19.07.2025,,"Cody Rhodes,Jacob Fatu&Randy OrtondefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE SuperShow- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
12,11.07.2025,,"Jimmy Uso&LA KnightdefeatMFT(JC Mateo&Solo Sikoa) (9:33)WWE Friday Night SmackDown #1351- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
13,30.06.2025,,"Jacob Fatu&Jimmy UsodefeatJC Mateo&Solo Sikoa(8:50)WWE Friday Night SmackDown #1350- TV-Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
14,27.06.2025,,"JC MateodefeatsJimmy Uso(5:59)WWE Friday Night SmackDown #1349- TV-Show @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
15,06.06.2025,,"Jimmy UsodefeatsJC Mateo(13:40)WWE Friday Night SmackDown #1346- TV-Show @ Dignity Health Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
16,30.05.2025,,"JC MateodefeatsR-Truth(2:21)WWE Friday Night SmackDown #1345- TV-Show @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg
