date,event,result,location,image_url
1,30.08.2025,,"HologramdefeatsJay Lethal(9:54)AEW Collision #108- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
2,29.08.2025,,"Jay LethaldefeatsJordan Oliver(6:59)ROH Death Before Dishonor 2025 - Zero Hour- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
3,27.08.2025,,"Jay LethaldefeatsJordan OliverROH TV Taping- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
4,16.08.2025,,"Jay Lethal,Jeff Jarrett,QT Marshall&Satnam SinghdefeatJimmy Wild,Parker Li, Scorpious &Tommy Mars1FW Back To School Bash- Event @ West Jackson Middle School in Jefferson, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
5,15.08.2025,,"Jay LethaldefeatsElijah Drago1FW Mayhem At The Moose Lodge- Event @ Moose Lodge in McDonough, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
6,08.08.2025,,"Rumblejack:Alexander LevdefeatsAaron DallasandAdrian Alanisand AJ Black andAnthony OgogoandAshton StarrandAustin TowersandBilly GunnandBryce Cannonand Byron Young andCarlie Bravoand Chayn Male and Crazy Train andDavid Aliand Ethan Dallas and Grayson Pierce andGunner MillerandHunter Jamesand Jay Alpha Miller andJay Lethaland Jeremy Prater andKruleandKyle MatthewsandLeon RuffandLiam GrayandMatt LynchandMike JacksonandNathan MoweryandPaul Walter HauserandRob AdonisandRosario GrilloandSal RinauroandShawn DeanandShoot Taylorand Smallest Spark andSpectreandSunny Dazeand The OXP and Zack Buchanan andZicky Dice(81:19)SHW Rumblejack 2025- Event @ Action Building in Canton, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
7,06.08.2025,,"HechicerodefeatsJay Lethal(6:31)ROH on HonorClub #130- Online Stream @ Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
8,30.07.2025,,"Jay LethaldefeatsAlex Zayne(5:40)ROH YouTube Special Episode #1- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
9,27.07.2025,,"LEGION Maximo TitleFatal Four Way:Owen KamposdefeatsDan Knox(c) andGuanchuloandJay Lethal-TITLE CHANGE !!!GDT Ano Cero 2025- Event @ Gimnasio Municipal de San Joaquin in San Joaquin, Santiago de Chile, Chile",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
10,25.07.2025,,"Jay LethaldefeatsAdam Priest(13:05)1FW SummerStage- Event @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
11,23.07.2025,,"Jay Lethal&Satnam SinghdefeatGPA&Hunter Holdcraft(3:18)ROH on HonorClub #128- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
12,19.07.2025,,"The Rock 'n' Roll Express(Ricky Morton&Robert Gibson) defeatJay Lethal&Paul LondonVCW Liberty Lottery 2025- Event @ Atlantic Union Bank Pavilion in Portsmouth, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
13,11.07.2025,,"Blake ChristiandefeatsJay Lethal(8:09)ROH Supercard Of Honor 2025 - Zero Hour- Online Stream @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
14,10.07.2025,,"Jay LethaldefeatsMichael Oku(6:47)ROH on HonorClub #125- Online Stream @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
15,09.07.2025,,"Dark:Jay LethaldefeatsBrady BookerROH on HonorClub #125- Dark Match @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
16,24.05.2025,,"Jay LethaldefeatsStratos Fearby DQOTRS Slam-Demonium 2025- Event @ Kitchener Auditorium in Kitchener, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
17,21.05.2025,,"Kyle FletcherdefeatsJay Lethal(11:19)AEW Collision #94- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
18,03.05.2025,,"Atlantis Jr.defeatsJay Lethal(7:47)ROH on HonorClub #115- Online Stream @ Adrian Phillips Theater At Boardwalk Hall in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
19,30.04.2025,,"ROH World Television Title:Nick Wayne(c) defeatsJay Lethal(9:17)AEW Dynamite #291- TV-Show @ Chartway Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
20,09.04.2025,,"ROH World TitleProving Ground:Bandido[c] defeatsJay Lethal(5:26)ROH on HonorClub #111- Online Stream @ Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
21,04.04.2025,,"Jay Lethal&Satnam SinghdefeatElijah Drago&Jimmy WildTCW Relaunch Tour- Event @ Watkinsville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
22,28.03.2025,,"Jay LethaldefeatsAlec PriceAIW Barely Lethal- Event @ The Roxy At Mahall's in Lakewood, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
23,26.03.2025,,"Dark:Bishop KaundefeatsJay Lethal(7:34)AEW Dynamite #286- Dark Match @ Roy Wilkins Auditorium in St. Paul, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
24,26.02.2025,,"Jay Lethal&Satnam SinghdefeatMcCallion&Slade(3:34)ROH on HonorClub #106- Online Stream @ Frontwave Arena in Oceanside, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/24/Champion_Jay_Lethal.jpg
