date,event,result,location,image_url
1,31.01.2021,,"Royal Rumble:Bianca BelairdefeatsAlexa BlissandAlicia FoxandBayleyandBillie KayandCarmellaandCharlotte FlairandDakota KaiandDana BrookeandEmber MoonandJillian HallandLacey EvansandLanaandLiv MorganandMandy RoseandMickie JamesandNaomiandNatalyaandNia JaxandNikki CrossandPeyton RoyceandRhea RipleyandRuby RiottandSantana GarrettandShayna BaszlerandShotzi BlackheartandTaminaandToni StormandTorrie WilsonandVictoria(58:48)WWE Royal Rumble 2021- Premium Live Event @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
2,28.06.2019,,"FTC Women's Title Elimination Four Way:Megan Bayne(c) defeatsCali YoungandJillian HallandScarlett BordeauxFTC Dayton Under Fire- Event @ Montgomery County Fairgrounds in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
3,14.04.2018,,"C-Bunny&Jillian HalldefeatKatred&VanityWOW Women Of Warriors V- Event @ St. Finbars Catholic Church in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
4,30.11.2013,,"Lumberjack:Maria KanellisdefeatsJillian Hall(0:27)WrestleCade 2013- Pay Per View @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
5,13.09.2013,,"Three Way:Jillian HalldefeatsKatie LeaandRositaWOW Wrestling Spectacular 2- Event @ Edison, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
6,24.08.2013,,"Jillian HalldefeatsXandra Bale(6:41)XBW Collin Vani Benefit- Event @ Knights of Columbus in Kimball, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
7,20.07.2013,,"Payton BanksdefeatsJillian Hallby DQVPW Eighty...And Counting- Event @ Deer Park Community Center in Deer Park, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
8,18.05.2013,,"Jillian HalldefeatsJessie BrooksVPW Fans Choice 2013- Event @ Deer Park Community Center in Deer Park, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
9,19.04.2013,,"Awesome Kong&Kristal MarshalldefeatJillian Hall&Kasey RayTRP- Event @ Police Athletic League Hall in Fall River, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
10,17.03.2013,,"Velvet SkydefeatsJillian(6:44)TNA One Night Only - Knockouts Knockdown 2013- Pay Per View @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
11,05.01.2013,,"Cheerleader Melissavs.Jillian Hall- No ContestCrossfire 2nd Anniversary Event- Event @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
12,03.11.2012,,"Jillian HalldefeatsAngel DustCrossfire TV Taping- Event @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
13,27.09.2012,,"Dark:TaradefeatsJillian HallIMPACT Wrestling #429- Dark Match @ Universal Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
14,05.09.2012,,"Antoine Roy&BarbiedefeatJillian Hall&RushBTW Full Rampage Tour- Event @ Regie Lewis Center in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
15,04.08.2012,,"Jillian HalldefeatsJessicka Havokby DQCrossfire Once In A Lifetime Opportunity- Event @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
16,09.06.2012,,"Maria Kanellis&RositadefeatJillian Hall&WinterFWE Dysfunctional Family- Event @ 3 Legged Dog Studios in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
17,09.06.2012,,"Match (Special Referee: Winter):Jillian HalldefeatsMaria KanellisFWE Dysfunctional Family- Event @ 3 Legged Dog Studios in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
18,19.05.2012,,"RositadefeatsJillian HallVPW Upper Limits 2012- Event @ VFW Post 4927 in Centereach, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
19,12.05.2012,,"Rebecca Reyes&Shane HelmsdefeatJillian Hall&Rocky RomeroLLUSA- Event @ Dell Diamond in Round Rock, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
20,11.05.2012,,"Rebecca Reyes&Shane HelmsdefeatJillian Hall&Rocky RomeroLLUSA- Event @ Alamodome Illusions Theater in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
21,04.05.2012,,"Jillian Hall&Reby SkydefeatBrittney Savage&Maria KanellisPWS Refuse To Lose 2012- Event @ Rahway Rec Center in Rahway, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
22,29.04.2012,,"Rebecca Reyes&Shane HelmsdefeatHawaiian Lion&Jillian HallLLUSA- Event @ Celebrity Theatre in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
23,28.04.2012,,"PWX Women's Title:Shooter StormdefeatsJillian Hall(c) -TITLE CHANGE !!!PWX 1 Year Anniversary Show- Event @ National Guard Armory in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
24,20.04.2012,,"Melina&Shane HelmsdefeatChavo Guerrero Jr.&Jillian HallLLUSA- Event @ Bayou Music Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
25,30.03.2012,,"Melina&Shane HelmsdefeatJillian Hall&Rocky RomeroLLUSA- Event @ HP Pavilion in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
26,25.03.2012,,"Alissa Flash&Shane HelmsdefeatChavo Guerrero Jr.&Jillian HallLLUSA- Event @ Stockton Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
27,23.03.2012,,"Melina&Shane HelmsdefeatJillian Hall&Rocky RomeroLLUSA- Event @ Reno Events Center in Reno, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
28,04.02.2012,,"MelinadefeatsJillian HallWWFX Champions Showcase Tour 2012- Event @ Smart Araneta Coliseum in Manila, Philippinen",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
29,28.01.2012,,"PWX Women's Title Match (vakant):Jillian HalldefeatsLeva Bates-TITLE CHANGE !!!PWX A Wrestling Odyssey- Event @ National Guard Armory in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
30,09.10.2011,,"Mickie JamesdefeatsJillian HallNWS/FWF Hardcore Funk 'N Country- Event @ Fire Company Hall in Christiana, Delaware, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
31,20.08.2011,,"Jillian HalldefeatsMiss JackieFWE Empire State Showdown- Event @ 3 Legged Dog Studios in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
32,25.06.2011,,"Kristin AstaradefeatsJillian Hallby DQ (4:36)WSU Uncensored Rumble IV- Pay Per View @ ACE Arena in Union City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
33,18.06.2011,,"Jillian HalldefeatsSantanaPWX Wrestlewar- Event @ National Guard Armory in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
34,20.09.2010,,"The Bella Twins(Brie Bella&Nikki Bella) defeatAlicia Fox&Jillian(4:06)WWE Superstars #77- TV-Show @ U.S. Cellular Coliseum in Bloomington, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
35,20.09.2010,,"Unified WWE Divas Title#1 Contendership 10 Woman Battle Royal:NatalyadefeatsAlicia FoxandBrie BellaandEve TorresandGail KimandJillianandMaryseandMelinaandNikki BellaandTamina(4:13)WWE Monday Night RAW #905- TV-Show @ Conseco Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
36,06.09.2010,,"Mixed:Gail Kim&GoldustdefeatJillian&Primo(3:36)WWE Superstars #74- TV-Show @ 1st Mariner Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
37,05.09.2010,,"Kelly Kelly&The Bella Twins(Brie Bella&Nikki Bella) defeatJillian,Layla&Rosa MendesWWE SmackDown House Show- House Show @ Westchester County Center in White Plains, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
38,04.09.2010,,"Kelly Kelly&The Bella Twins(Brie Bella&Nikki Bella) defeatJillian,Layla&Rosa MendesWWE SmackDown House Show- House Show @ Broome County Veterans Arena in Binghamton, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
39,29.08.2010,,"Gail Kim&Kelly KellydefeatJillian&Rosa MendesWWE House Show- House Show @ Cape Cod Melody Tent in Hyannis, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
40,28.08.2010,,"Gail Kim&The Bella Twins(Brie Bella&Nikki Bella) defeatJillian,Maryse&Rosa MendesWWE House Show- House Show @ South Shore Music Circus in Cohasset, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
41,27.08.2010,,"Gail Kim&The Bella Twins(Brie Bella&Nikki Bella) defeatJillian,Maryse&Rosa MendesWWE House Show- House Show @ Casino Ballroom in Hampton Beach, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
42,21.08.2010,,"The Bella Twins(Brie Bella&Nikki Bella) defeatAlicia Fox&Jillian(7:48)WWE RAW House Show- House Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
43,20.08.2010,,"Eve Torres&The Bella Twins(Brie Bella&Nikki Bella) defeatAlicia Fox,Jillian&Maryse(5:44)WWE RAW House Show- House Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
44,18.08.2010,,"Eve Torres&The Bella Twins(Brie Bella&Nikki Bella) defeatAlicia Fox,Jillian&MaryseWWE RAW House Show- House Show @ Neal S. Blaisdell Center in Honolulu, Hawaii, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
45,16.08.2010,,"Alicia Fox,Jillian&MarysedefeatEve Torres,Gail Kim&Melina(2:50)WWE Monday Night RAW #899- TV-Show @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
46,16.08.2010,,"WWE Divas Title:Melina(c) defeatsJillian(2:35)WWE Monday Night RAW #900- TV-Show @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
47,09.08.2010,,"Triple Threat (Special Referee: Santino Marella):The Bella Twins(Brie Bella&Nikki Bella) defeatEve Torres&Gail KimandJillian&Maryse(2:41)WWE Monday Night RAW #898- TV-Show @ Arco Arena in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/af/Jillian-Hall-Singing%2C-RLA-Melb-10.11.2007.jpg
