date,event,result,location,image_url
1,26.01.2014,,"Royal Rumble:BatistadefeatsAlberto Del RioandAlexander RusevandAntonio CesaroandBig E. LangstonandCM PunkandCody RhodesandDamien SandowandDean AmbroseandDolph ZigglerandEl ToritoandErick RowanandFandangoandGoldustandJack SwaggerandJey UsoandJimmy UsoandJohn Bradshaw LayfieldandKaneandKevin NashandKofi KingstonandLuke HarperandR-TruthandRey MysterioandRoman ReignsandRybackandSeth RollinsandSheamusandThe Great KhaliandThe Miz(55:05)WWE Royal Rumble 2014- Pay Per View @ CONSOL Energy Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
2,05.04.2009,,"Intercontinental Title:Rey MysteriodefeatsJohn Bradshaw Layfield(c) (0:21) -TITLE CHANGE !!!WWE WrestleMania 25 - ""The 25th Anniversary Of WrestleMania""- Pay Per View @ Reliant Arena in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
3,30.03.2009,,"Rey MysteriodefeatsJohn Bradshaw Layfield(6:43)WWE Monday Night RAW #827- TV-Show @ American Airlines Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
4,17.03.2009,,"The UndertakerdefeatsJohn Bradshaw Layfield(11:40)WWE Friday Night SmackDown #500- TV-Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
5,16.03.2009,,"Shawn Michaels&The UndertakerdefeatJohn Bradshaw Layfield&Vladimir Kozlov(8:50)WWE Monday Night RAW #825- TV-Show @ AT&T Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
6,09.03.2009,,"Intercontinental Title:John Bradshaw LayfielddefeatsCM Punk(c) (9:35) -TITLE CHANGE !!!WWE Monday Night RAW #824- TV-Show @ Jacksonville Veterans Memorial Arena in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
7,23.02.2009,,"Shawn MichaelsdefeatsJohn Bradshaw Layfield(12:00)WWE Monday Night RAW #822- TV-Show @ Sommet Center in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
8,15.02.2009,,"All Or Nothing:Shawn MichaelsdefeatsJohn Bradshaw Layfield(13:19)WWE No Way Out 2009- Pay Per View @ KeyArena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
9,25.01.2009,,"World Heavyweight Title:John Cena(c) defeatsJohn Bradshaw Layfield(15:30)WWE Royal Rumble 2009- Pay Per View @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
10,29.12.2008,,"World Heavyweight Title#1 Contendership Race To The Rumble Tournament Final Fatal Four Way Elimination:John Bradshaw LayfielddefeatsChris JerichoandRandy OrtonandShawn Michaels(24:50)WWE Monday Night RAW #814- TV-Show @ Verizon Wireless Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
11,22.12.2008,,"Race To The Rumble Tournament First Round:John Bradshaw LayfielddefeatsRey Mysterioby DQ (12:32)WWE Monday Night RAW #813- TV-Show @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
12,05.12.2008,,"CM Punk,Jeff Hardy&R-TruthdefeatJohn Bradshaw Layfield,John Morrison&The Miz(8:00)WWE Tribute To The Troops 2008- TV-Show @ Camp Victory in Bagdad, Irak",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
13,23.11.2008,,"Survivor Series Elimination:Cryme Tyme(JTG&Shad),Rey Mysterio,Shawn Michaels&The Great KhalidefeatJohn Bradshaw Layfield,John Morrison,Kane,Montel Vontavious Porter&The Miz(18:05)WWE Survivor Series 2008- Pay Per View @ TD Banknorth Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
14,17.11.2008,,"John Bradshaw Layfield&KanedefeatCryme Tyme(JTG&Shad) (2:53)WWE Monday Night RAW #808- TV-Show @ Philips Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/b/ba/Bradshaw.jpg
