date,event,result,location,image_url
1,20.04.2019,,"Monster's Ball:AbyssdefeatsMojo McQueenRival Showdown ...And Out Come The Wolves- Event @ National Guard Armory in Bloomington, Indiana, USA",
2,10.03.2019,,"Monster's Ball:Austin AriesdefeatsAbyssWSW International Assault Defend And Destroy - Tag 4- Event @ Hurstville Entertainment Centre in Hurstville, New South Wales, Australia",
3,08.03.2019,,"Three Way:AbyssdefeatsGino GambinoandSyd ParkerWSW International Assault Defend And Destroy - Tag 2- Event @ South Eastern Entertainment Centre in Ferntree Gully, Victoria, Australia",
4,07.03.2019,,"Gods And Monsters(Brodie Marshall&Grimm) defeatAbyss&Zak SabbathWSW International Assault Defend And Destroy - Tag 1- Event @ HQ Complex in Adelaide, South Australia, Australia",
5,31.01.2019,,"AbyssdefeatsBenjamin BooneExtreme- Event @ Ohio Theatre in Toledo, Ohio, USA",
6,30.01.2019,,"OVW Heavyweight Title:Tony GunndefeatsAbyss(c) -TITLE CHANGE !!!OVW TV #1016- TV-Show @ Davis Arena in Louisville, Kentucky, USA",
7,26.01.2019,,"Monster's Ball:AbyssdefeatsLou CypherPWE A Prestigious Ball- Event @ Los 2 Plebes in Largo, Florida, USA",
8,25.01.2019,,"No Disqualification No Count Out:Mecha MercenarydefeatsAbyssBruiser Brody Cup- Pay Per View @ Lithuanian Music Hall in Philadelphia, Pennsylvania, USA",
9,19.01.2019,,"BPW Oklahoma TitleMonster's Ball:Sam Stackhouse(c) defeatsAbyssBPW Unstoppable 2019- Event @ Body Progression Gym in Bristow, Oklahoma, USA",
10,18.01.2019,,"Tenacious S-N-D(Drake Gallows&Sam Stackhouse) &AbyssdefeatVANGOH(Killer Cross,Korvin Sage&Xavior)MSWA- Event @ Farmer's Market in Oklahoma City, Oklahoma, USA",
11,06.01.2019,,"Monster's Ball:Eli DrakedefeatsAbyss(13:12)Impact Wrestling Homecoming 2019- Pay Per View @ The Asylum in Nashville, Tennessee, USA",
12,14.12.2018,,"OVW Heavyweight Title:The HurricanedefeatsAbyss(c) by DQOVW Christmas Chaos 2018- Event @ Baptist Health Performance Training Center in Louisville, Kentucky, USA",
13,08.12.2018,,"Monster's Ball:AbyssdefeatsTJ BossVPW Holiday Havoc 2018- Event @ Sweetwater Park Gym in Thomson, Georgia, USA",
14,01.12.2018,,"Hardcore:AbyssdefeatsTommy DreamerHOH 51: Blizzard Brawl- Online Stream @ 1000 Northview Road in Waukesha, Wisconsin, USA",
15,17.11.2018,,"Abyss&Mecha MercenarydefeatThe Dawsons(Dave Dawson&Zane Dawson)SWF Extreme Fallout- Online Stream @ Bayville VFW in Bayville, New Jersey, USA",
16,31.10.2018,,"OVW Heavyweight Title:Rocco BellagiodefeatsAbyss(c) by DQOVW TV #1003- TV-Show @ Davis Arena in Louisville, Kentucky, USA",
17,26.10.2018,,"PCW ULTRA Tag Team Title:Warbeast(Fatu&Josef) (c) defeatAbyss&Sinn BodhiPCW ULTRA Possessed- Pay Per View @ ILWU Memorial Hall in Wilmington, California, USA",
18,24.10.2018,,"Two On One Handicap:AbyssdefeatsTrash Punx(Crash Jaxon&Kobain)Rockstar Pro Amped Supershow- Event @ Rockstar Pro Arena in Dayton, Ohio, USA",
19,19.10.2018,,"Monster's Ball:Tommy DreamerdefeatsAbyssEPWA- Event @ Short Gap Volunteer Fire Department in Ridgeley, West Virginia, USA",
20,10.10.2018,,"OVW Heavyweight TitleTournament Final Match (vakant):AbyssdefeatsJustin Smooth-TITLE CHANGE !!!OVW TV #1000- TV-Show @ 4th Street in Louisville, Kentucky, USA",
21,10.10.2018,,"OVW Heavyweight TitleTournament First Round:AbyssdefeatsShane HelmsOVW TV #1000- TV-Show @ 4th Street in Louisville, Kentucky, USA",
22,26.09.2018,,"Grand Tournament First Round:AbyssdefeatsRandy RoyalOVW TV #998- TV-Show @ Davis Arena in Louisville, Kentucky, USA",
23,22.09.2018,,"Decay(Abyss&Crazzy Steve) defeatThe Perfect Pair(Alexander Knight&Vanderpool) (10:34)WWA Hysteria 75 - Brace For Impact 2018- Event @ Salvation Army in Owensboro, Kentucky, USA",
24,06.09.2018,,"War Games:Barrington Hughes,John Hennigan,Kotto Brazil,Shane Strickland&Tommy DreamerdefeatAbyss,Jimmy Havoc,Sami Callihan&The Death Machines(Leon Scott&Sawyer Fulton) (36:30)MLW Fusion #22 - War Games 2018- TV-Show @ War Memorial Auditorium in Fort Lauderdale, Florida, USA",
25,08.08.2018,,"Abyssvs.Onyx- Double Count Out (8:56)WCPBTW The 177th Annual Campaign County Fair- Event @ Urbana, Ohio, USA",
26,06.07.2018,,"RCW      TitleMonster's Ball:Abyss(c) defeatsJoey SpectorRCW- Event @ Turner Club in Kirby, Texas, USA",
27,30.06.2018,,"Abyss,Alex Jordan,Krimson&Shawn PhoenixdefeatGory,Remy Lavey&The Cogar Brothers(Atticus Cogar&Otis Cogar)PCW Doomsday- Event @ Turners Hall in Cleveland, Ohio, USA",
28,25.06.2018,,"Hardcore Four Way:Jimmy HavocdefeatsAbyssandCaveman UggandMick MorettiWSW International Assault Best Of The Best 2K18 - Tag 4- Event @ Penrith Panthers in Penrith, New South Wales, Australia",
29,24.06.2018,,"Hardcore Fatal Four Way:Jonah RockdefeatsAbyssandGrimmandJimmy HavocWSW International Assault Best Of The Best 2K18 - Tag 3- Pay Per View @ Dom Polski Centre in Adelaide, South Australia, Australia",
30,23.06.2018,,"Four Way Hardcore:Robbie EaglesdefeatsAbyssandJimmy HavocandMarty ScurllWSW International Assault Best Of The Best 2K18 - Tag 2- Event @ South Eastern Entertainment Centre in Ferntree Gully, Victoria, Australia",
31,22.06.2018,,"Hardcore:AbyssdefeatsJimmy Havoc(12:12)WSW International Assault Best Of The Best 2K18 - Tag 1- Event @ South Eastern Entertainment Centre in Ferntree Gully, Victoria, Australia",
32,15.06.2018,,"BCW Buzzsaw TitleMonster's Ball Steel Cage Three Way:Sam StackhousedefeatsAbyss(c) andDrake Gallows-TITLE CHANGE !!!MSWA- Event @ Suger Creek Casino in Hinton, Oklahoma, USA",
33,26.05.2018,,"Monster's Ball:AbyssdefeatsThe Barbarian(7:42)WCPBTW Memorial Weekend Professional Wrestling Super Show 2018- Event @ Pickaway County Fairgrounds in Circleville, Ohio, USA",
34,19.05.2018,,"No Disqualification:Robbie EdefeatsAbyssOverdrive Pro The Next Chapter- Event @ Nashville Fairgrounds Sports Arena in Nashville, Tennessee, USA",
35,13.05.2018,,"Full Metal Mayhem Four Way:AbyssdefeatsBig GrizzlyandKarl AtlasandPsycho PhillipsBLW Mayhem- Event @ Westlands in Yeovil, Somerset, England, UK",
36,12.05.2018,,"Abyss&Danny GolddefeatCal Silva&Matt ArcherPWL- Event @ Emerald Club in Wolverhampton, West Midlands, England, UK",
37,11.05.2018,,"Monster's Ball:Abyss,Bram&StixxdefeatGBH(Big Grizzly,Blake&Dan Moloney)SWE Cruel Intentions 2018- Event @ Gordon Craig Theatre in Stevenage, Hertfordshire, England, UK",
38,21.04.2018,,"Abyssvs.The Barbarian- Double Count Out (7:26)WCPBTW A Night Of Fan Appreciation- Event @ Pickaway County Fairgrounds in Circleville, Ohio, USA",
39,31.03.2018,,"AbyssdefeatsShane DanielsGPW- Event @ Old Buffington School Gym in Canton, Georgia, USA",
