date,event,result,location,image_url
1,10.09.2025,,"Adam PagedefeatsJosh Alexander(16:21)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
2,05.09.2025,,"MLP Canadian Title:Josh Alexander(c) defeatsTJP(25:47)MLP Sacred Ground- Online Stream @ Six Nations Sports & Cultural Memorial Centre in Ohsweken, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
3,03.09.2025,,"The Don Callis Family(Josh Alexander&Kyle Fletcher) &The Young Bucks(Matt Jackson&Nick Jackson) defeatAdam Page,JetSpeed(Kevin Knight&Mike Bailey) &Kenny Omega(22:12)AEW Dynamite #309- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
4,30.08.2025,,"The Don Callis Family(Josh Alexander&Kyle Fletcher) defeatThe Conglomeration(Kyle O'Reilly&Tomohiro Ishii) (13:00)AEW Collision #108- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
5,27.08.2025,,"The Don Callis Family(Hechicero,Josh Alexander,Kazuchika Okada&Konosuke Takeshita) defeatBrodido(Bandido&Brody King) &JetSpeed(Kevin Knight&Mike Bailey) (11:20)AEW Dynamite #308- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
6,24.08.2025,,"El Desperado,Paragon(Kyle O'Reilly&Roderick Strong) &Yuya UemuradefeatCRU(Action Andretti&Lio Rush) &The Don Callis Family(Hechicero&Josh Alexander) (12:13)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
7,20.08.2025,,"Hiromu Takahashi&SkyFlight(Dante Martin,Darius Martin&Scorpio Sky) defeatThe Don Callis Family(Hechicero,Josh Alexander,Lance Archer&Rocky Romero) (12:34)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
8,13.08.2025,,"Brody King,The Conglomeration(Hologram&Tomohiro Ishii) &Hiromu TakahashidefeatThe Don Callis Family(Josh Alexander&Kyle Fletcher) &The Young Bucks(Matt Jackson&Nick Jackson) (16:26)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
9,17.07.2025,,"Bandido,JetSpeed(Kevin Knight&Mike Bailey) &Mascara DoradadefeatThe Don Callis Family(Hechicero,Josh Alexander,Lance Archer&Rocky Romero) (12:37)AEW Collision #102- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
10,16.07.2025,,"The Don Callis Family(Hechicero&Josh Alexander) &The Young Bucks(Matt Jackson&Nick Jackson) defeatBandido,Brody King&JetSpeed(Kevin Knight&Mike Bailey) (13:36)AEW Dynamite #302- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
11,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
12,05.07.2025,,"MLP Canadian Title:Josh Alexander(c) defeatsAce Austin(20:15)MLP Resurrection- Pay Per View @ Colisée de Laval in Laval, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
13,25.06.2025,,"AEW TNT Title:Adam Cole(c) defeatsJosh Alexander(12:34)AEW Collision #99- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
14,18.06.2025,,"14 Man:Adam Cole,Atlantis,Atlantis Jr.,Bandido,Brody King,Daniel Garcia&TemplariodefeatDax Harwood,The Don Callis Family(Hechicero,Josh Alexander,Konosuke Takeshita,Kyle Fletcher&Lance Archer) &Volador Jr.(15:47)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
15,17.06.2025,,"Atlantis Jr.defeatsJosh Alexander(13:13)CMLL Martes Populares - CMLL Vs. AEW/ROH- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
16,11.06.2025,,"Hechicero&The Don Callis Family(Josh Alexander,Konosuke Takeshita&Lance Archer) defeatDaniel Garcia&Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) (11:56)AEW Collision #97 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
17,04.06.2025,,"Daniel Garcia&Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatThe Don Callis Family(Josh Alexander,Lance Archer,Rocky Romero&Trent Beretta) (11:20)AEW Collision #96 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
18,28.05.2025,,"AEW International TitleQualifier:Brody KingdefeatsJosh Alexander(14:13)AEW Dynamite #295- TV-Show @ El Paso County Coliseum in El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
19,25.05.2025,,"The Don Callis Family(Josh Alexander,Konosuke Takeshita&Kyle Fletcher) defeatParagon(Adam Cole,Kyle O'Reilly&Roderick Strong) (12:48)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
20,21.05.2025,,"Josh AlexanderdefeatsAR Fox(4:16)AEW Collision #94- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
21,14.05.2025,,"Adam Page&Will OspreaydefeatThe Don Callis Family(Josh Alexander&Konosuke Takeshita) (18:34)AEW Dynamite #293 - Beach Break 2025 - Tag 1- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
22,10.05.2025,,"Josh AlexanderdefeatsQT Marshall(11:00)MLP Northern Rising- Pay Per View @ Mattamy Athletic Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
23,10.05.2025,,"MLP Canadian Title20 Man Gauntlet Match (vakant):Josh AlexanderdefeatsAlex ZayneandBhupinder GujjarandBilly GunnandBishop DyerandBrent BanksandEl PhantasmoandJohnny ParisiandMatt CardonaandMichael Allen Richard ClarkandMo JabariandPCOandPsycho MikeandQT MarshallandRaj DhesiandRhinoandRich SwannandSantino MarellaandSheldon JeanandSlex(42:40) -TITLE CHANGE !!!MLP Northern Rising- Pay Per View @ Mattamy Athletic Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
24,08.05.2025,,"The Don Callis Family(Josh Alexander&Konosuke Takeshita) defeatThe Dark Order(Alex Reynolds&Evil Uno) (2:30)AEW Collision #92- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
25,03.05.2025,,"Brody Kingvs.Josh Alexander- Time Limit Draw (15:00)AEW Collision #91- TV-Show @ Adrian Phillips Theater At Boardwalk Hall in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
26,23.04.2025,,"The Don Callis Family(Josh Alexander&Konosuke Takeshita) defeatBrody King&Will Ospreay(13:08)AEW Dynamite #290- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
27,17.04.2025,,"The Don Callis Family(Josh Alexander&Konosuke Takeshita) defeatThe Conglomeration(Rocky Romero&Tomohiro Ishii) (10:18)AEW Collision #89 - Spring BreakThru - Tag 2- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
28,16.04.2025,,"Owen Hart Foundation 2025 Men's Tournament Quarter Final:Adam PagedefeatsJosh Alexander(13:03)AEW Dynamite #289 - Spring BreakThru - Tag 1- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
29,24.01.2025,,"Eric YoungdefeatsJosh Alexander(14:46)TNA iMPACT #1073- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
30,23.01.2025,,"Eric Young&Josh Alexandervs.The Northern Armory(Judas Icarus&Travis Williams) - No Contest (4:15)TNA iMPACT #1071- TV-Show @ Boeing Center At Tech Port in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
31,19.01.2025,,"I Quit:Mike SantanadefeatsJosh Alexander(23:06)TNA Genesis 2025- Pay Per View @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
32,14.12.2024,,"Gauntlet:Mike SantanadefeatsThe Northern Armory(Josh Alexander,Judas Icarus&Travis Williams) by DQ (5:45)TNA iMPACT #1068- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
33,13.12.2024,,"TNA World Title#1 Contendership Four Way:Joe HendrydefeatsJosh AlexanderandMike SantanaandSteve Maclin(18:24)TNA Final Resolution 2024- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
34,12.12.2024,,"Three Way:Josh AlexanderdefeatsKevin BlackwoodandMustafa Ali(10:30)4th Rope Heels Have Eyes IV: Atlanta- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
35,07.12.2024,,"Myung Jae LeedefeatsJosh Alexander(12:10)BW Walking In A Weapon Wonderland- Online Stream @ Ferris Lane Community Church in Barrie, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
36,29.11.2024,,"No Disqualification:Steve MaclindefeatsJosh Alexander(23:46)TNA Turning Point 2024- Online Stream @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
37,24.11.2024,,"Josh AlexanderdefeatsMike Bailey(10:10)GCW Josh Barnett's Bloodsport XII- Pay Per View @ White Eagle Hall in Jersey City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
38,22.11.2024,,"AAW Heavyweight Title:Gnarls Garvin(c) defeatsJosh AlexanderAAW Undeniable- Online Stream @ Berwyn Eagles Club in Berwyn, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
39,21.11.2024,,"Gabriel LestatdefeatsJosh AlexanderTTW- Event @ Palace Theatre in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
40,17.11.2024,,"Northern Crown TitleTriple Threat Match (vakant):Vaughn VertigodefeatsGabriel FuerzaandJosh Alexander-TITLE CHANGE !!!Northern Crown Show Four- Event @ Blood Brothers Brewery in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
41,09.11.2024,,"Frankie Kazarian&The Northern Armory(Josh Alexander,Judas Icarus&Travis Williams) defeatEric Young,Jonathan Gresham,Mike Santana&Steve Maclin(15:21)TNA iMPACT #1063- TV-Show @ Crown Arena in Fayetteville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
42,08.11.2024,,"The Northern Armory(Josh Alexander,Judas Icarus&Travis Williams) defeatEric Young,Jonathan Gresham&Steve Maclin(12:52)TNA iMPACT #1060- TV-Show @ Crown Arena in Fayetteville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
43,27.10.2024,,"Eric Young,Jonathan Gresham&Steve MaclindefeatJosh Alexander&The Good Hands(Jason Hotch&John Skyler) (7:11)TNA iMPACT #1058 - Halloween- TV-Show @ Wayne State Fieldhouse in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
44,26.10.2024,,"Josh AlexanderdefeatsSteve Maclinby referee's decision (14:31)TNA Bound For Glory 2024- Pay Per View @ Wayne State Fieldhouse in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
45,24.10.2024,,"Jody Threat&Josh AlexanderdefeatJimmy Lloyd&Matt CardonaWPW Rumble In The Burt- Event @ Burton Cummings Theatre in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
46,20.10.2024,,"AEW International Title:Konosuke Takeshita(c) defeatsJosh Alexander(29:31)MLP Forged In Excellence - Tag 2- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
47,19.10.2024,,"El Phantasmo,Josh Alexander&Stu GraysondefeatAlex Zayne,Rocky Romero&Trevor Lee(13:31)MLP Forged In Excellence - Tag 1- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
48,18.10.2024,,"Josh AlexanderdefeatsIsaiah Moore(11:57)AAW A New Level- Online Stream @ Berwyn Eagles Club in Berwyn, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
49,12.10.2024,,"Black RozedefeatsJosh AlexanderDynasty Return To Neverland- Event @ The Linda in Albany, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
50,05.10.2024,,"NSPW TitleThree Way:Travis Toxic(c) defeatsJosh AlexanderandZak Patterson(14:49)NSPW 16th Anniversary Show- Online Stream @ Centre Horizon in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/d/d7/Josh_Alexander.jpg
