date,event,result,location,image_url
1,07.09.2025,,"G-REX Title:Katsuhiko Nakajima(c) defeatsJunjie(18:47)GLEAT Ver. 20- Event @ Nishitetsu Hall in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
2,05.09.2025,,"Junjie&Katsuhiko NakajimadefeatRyo Aitaka&Towa Iwasaki(14:37)GLEAT House Show In Kumamoto- Event @ Kumamoto Mori Toshin Plaza in Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
3,30.08.2025,,"Dylan James,Sho Mizuno&TAKA Michinokuvs.Azul Dragon,Katsuhiko Nakajima&Kenshiro YukimuraAmakusa Pro Wrestling The Beginning 2025- Event @ Amakusa Goryo Community Center in Amakusa, Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
4,24.08.2025,,"Katsuhiko Nakajima&Seichi IkemotodefeatKotaro Suzuki&Tetsuya Izuchi(12:14)GLEAT/CIMA Produce CIMA 28th Anniversary Homecoming- Event @ Sunsquare Sakai Multipurpose Hall in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
5,21.08.2025,,"Katsuhiko NakajimadefeatsTetsuya Izuchi(14:52)GLEAT G PROWRESTLING Ver. 93- Event @ Tokyo City Hall & Gallery Gotand in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
6,09.08.2025,,"LIDET UWF Title:Katsuhiko Nakajima(c) defeatsEl Lindaman(12:54)GLEAT LIDET UWF Ver. 6- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
7,24.07.2025,,"El Lindaman&Katsuhiko NakajimadefeatBlack Generation International(Kotaro Suzuki&Tetsuya Izuchi) (9:28)GLEAT G PROWRESTLING Ver. 92- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
8,13.07.2025,,"Katsuhiko NakajimadefeatsCIMA(18:07)GLEAT G PROWRESTLING Ver. 91- Event @ Umeda Sky Building Stella Hall in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
9,01.07.2025,,"G-REX Title:Katsuhiko NakajimadefeatsKaito Ishida(c) (23:17) -TITLE CHANGE !!!GLEAT Ver. 19 ~ 4th Anniversary Special Event- Online Stream @ Tokyo City Hall & Gallery Gotanda in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
10,14.06.2025,,"El Lindaman&Katsuhiko NakajimadefeatRyo Aitaka&T-Hawk(8:53)GLEAT Ver. 18- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
11,01.06.2025,,"G-Class 2025 Final:Katsuhiko NakajimadefeatsRyo Aitaka(15:39)GLEAT Ver. 17- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
12,25.05.2025,,"G-Class 2025 Semi Final:Katsuhiko NakajimadefeatsIssei Onitsuka(16:02)GLEAT Direct Impact On Kobe! CIMA Is Back In The Kobe- Online Stream @ Kobe Sambo Hall in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
13,18.05.2025,,"Black Generation International(Kaito Ishida,Kotaro Suzuki&Tetsuya Izuchi) defeatKatsuhiko Nakajima,Quiet Storm&Takanori Ito(11:00)GLEAT G PROWRESTLING Ver. 90- Online Stream @ Imaike Gas Hall in Imaike, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
14,17.05.2025,,"G-Class 2025 Quarter Final:Katsuhiko NakajimadefeatsSoma Watanabe(19:33)GLEAT House Show In Yokohama- Event @ Yokohama Radiant Hall in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
15,11.05.2025,,"El Lindaman&Katsuhiko NakajimadefeatG-rize(Junjie&Soma Watanabe) (12:08)GLEAT T-Hawk Show ~ T-Hawk Homecoming- Online Stream @ Abros Yashiro Sports Center in Tomakomai, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
16,26.04.2025,,"G-Class 2025 First Round:Katsuhiko NakajimadefeatsTetsuya Izuchi(14:12)GLEAT G PROWRESTLING Ver. 89- Online Stream @ Tokyo City Hall & Gallery Gotanda in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
17,19.04.2025,,"Katsuhiko Nakajima&Seiki YoshiokadefeatBlack Generation International(Kotaro Suzuki&Tetsuya Izuchi) (11:58)GLEAT G PROWRESTLING Ver. 88- Online Stream @ Ogimachi Museum Cube CUBE01 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
18,05.04.2025,,"El Lindaman&Katsuhiko NakajimadefeatAnti-GLE MONSTERS(Rock Iwasaki&Ryuichi Kawakami) (9:08)GLEAT House Show In Yokohama- Event @ Yokohama Radiant Hall in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
19,29.03.2025,,"One Day Tag Tournament Gotanda Cup Final:Ryo Aitaka&T-HawkdefeatEl Lindaman&Katsuhiko Nakajima(12:40)GLEAT G PROWRESTLING Ver. 87- Online Stream @ Tokyo City Hall & Gallery Gotanda in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
20,29.03.2025,,"One Day Tag Tournament Gotanda Cup Semi Final:El Lindaman&Katsuhiko NakajimadefeatKAZMA SAKAMOTO&Minoru Tanaka(10:27)GLEAT G PROWRESTLING Ver. 87- Online Stream @ Tokyo City Hall & Gallery Gotanda in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/5/59/KENTA%2C_Samoa_Joe%2C_and_Katsuhiko_Nakajima.jpg
