date,event,result,location,image_url
1,03.09.2025,,"Mark BriscoedefeatsLance Archer(8:00)AEW Dynamite #309- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
2,30.08.2025,,"The Don Callis Family(Hechicero&Lance Archer) defeatBEEF&LSG(3:28)ROH YouTube Special Episode #2- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
3,20.08.2025,,"Hiromu Takahashi&SkyFlight(Dante Martin,Darius Martin&Scorpio Sky) defeatThe Don Callis Family(Hechicero,Josh Alexander,Lance Archer&Rocky Romero) (12:34)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
4,20.08.2025,,"Two On One Handicap:Lance ArcherdefeatsAdam King&Marcus King(1:05)ROH on HonorClub #132- Online Stream @ Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
5,14.08.2025,,"Lance ArcherdefeatsBEEF(5:11)ROH on HonorClub #131- Online Stream @ Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
6,31.07.2025,,"Lance ArcherdefeatsRen Jones(0:43)ROH on HonorClub #129- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
7,26.07.2025,,"400.000 Dollar:The Conglomeration(Hologram&Tomohiro Ishii) &The Outrunners(Truth Magnum&Turbo Floyd) defeatThe Don Callis Family(Hechicero&Lance Archer) &The Infantry(Carlie Bravo&Shawn Dean) (11:41)AEW Collision #103- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
8,17.07.2025,,"Bandido,JetSpeed(Kevin Knight&Mike Bailey) &Mascara DoradadefeatThe Don Callis Family(Hechicero,Josh Alexander,Lance Archer&Rocky Romero) (12:37)AEW Collision #102- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
9,12.07.2025,,"Big Boom AJ&The Conglomeration(Hologram,Kyle O'Reilly&Tomohiro Ishii) defeatThe Don Callis Family(Hechicero,Lance Archer,Rocky Romero&Trent Beretta) (12:52)AEW All In Texas - Zero Hour- Online Stream @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
10,18.06.2025,,"14 Man:Adam Cole,Atlantis,Atlantis Jr.,Bandido,Brody King,Daniel Garcia&TemplariodefeatDax Harwood,The Don Callis Family(Hechicero,Josh Alexander,Konosuke Takeshita,Kyle Fletcher&Lance Archer) &Volador Jr.(15:47)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
11,11.06.2025,,"Hechicero&The Don Callis Family(Josh Alexander,Konosuke Takeshita&Lance Archer) defeatDaniel Garcia&Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) (11:56)AEW Collision #97 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
12,04.06.2025,,"Daniel Garcia&Paragon(Adam Cole,Kyle O'Reilly&Roderick Strong) defeatThe Don Callis Family(Josh Alexander,Lance Archer,Rocky Romero&Trent Beretta) (11:20)AEW Collision #96 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
13,14.05.2025,,"Bandido,Brody King&Tomohiro IshiidefeatThe Don Callis Family(Lance Archer,Rocky Romero&Trent Beretta) (6:54)AEW Collision #93 - Beach Break 2025 - Tag 2- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
14,08.05.2025,,"The Don Callis Family(Kyle Fletcher,Lance Archer,Rocky Romero&Trent Beretta) defeatAR Fox,Bandido&The Outrunners(Truth Magnum&Turbo Floyd) (11:43)AEW Collision #92- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
15,03.05.2025,,"Lance ArcherdefeatsAaron Solo(1:37)ROH on HonorClub #121- Online Stream @ Adrian Phillips Theater At Boardwalk Hall in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
16,30.04.2025,,"Lance ArcherdefeatsDiego Hill(2:10)ROH on HonorClub #118- Online Stream @ Chartway Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
17,17.04.2025,,"Kevin KnightdefeatsLance Archer(11:41)AEW Collision #89 - Spring BreakThru - Tag 2- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
18,09.04.2025,,"Lance ArcherdefeatsCrowbar(4:51)ROH on HonorClub #113- Online Stream @ Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
19,02.04.2025,,"Brody KingdefeatsLance Archer(10:32)AEW Dynamite #287- TV-Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
20,19.03.2025,,"The Don Callis Family(Brian Cage,Konosuke Takeshita&Lance Archer) defeatPowerhouse Hobbs&The Conglomeration(Mark Briscoe&Rocky Romero) (11:22)AEW Collision #85 - Slam Dunk Saturday- TV-Show @ Liberty First Credit Union Arena in Ralston, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
21,15.03.2025,,"Four On Two Handicap:Murder Machines(Brian Cage&Lance Archer) defeatBryce Saturn,El Fatal,Matt Vandagriff&Sonico(0:29)AEW Collision #84- TV-Show @ The Theater At Virgin Hotels Las Vegas in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/6/69/Killer_Elite_Squad.JPG
