date,event,result,location,image_url
1,04.07.2010,,"Lance CadedefeatsSeiya Sanada(9:21)AJPW Cross Over 2010 - Tag 9- TV-Show @ Osaka Prefectural Gymnasium in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
2,02.07.2010,,"Lance CadedefeatsTaiyo Kea(6:26)AJPW Cross Over 2010 - Tag 8- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
3,01.07.2010,,"Akebono,Masanobu Fuchi&TAKA MichinokudefeatVoodoo Murders(Hate,Lance Cade&Minoru) (11:51)AJPW Cross Over 2010 - Tag 7- Event @ Sakata City Gymnasium in Sakata, Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
4,30.06.2010,,"Lance CadedefeatsAntonio Thomas(8:05)AJPW Cross Over 2010 - Tag 6- Event @ Tochigi Prefectural Culture Center in Utsunomiya, Tochigi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
5,27.06.2010,,"Masakatsu Funaki,Minoru Suzuki&TAKA MichinokudefeatVoodoo Murders(Big Daddy Voodoo,Hate&Lance Cade) (13:20)AJPW Cross Over 2010 - Tag 5- Event @ Niigata City Gymnasium in Tsubame, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
6,26.06.2010,,"New Generation Force(Masayuki Kono&Suwama) &Kaz HayashidefeatVoodoo Murders(Lance Cade,MAZADA&TARU) (17:06)AJPW Cross Over 2010 - Tag 4- Event @ Fuji-Q Highland Hall in Yamanashi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
7,24.06.2010,,"Masayuki Kono&Shuji KondodefeatVoodoo Murders(Lance Cade&MAZADA) (13:02)AJPW Cross Over 2010 - Tag 3- Event @ Zepp Sendai in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
8,22.06.2010,,"Voodoo Murders(Lance Cade&Minoru) defeatBUSHI&Seiya Sanada(10:38)AJPW Cross Over 2010 - Tag 2- Event @ Yamagata Bigwing in Yamagata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
9,30.05.2010,,"Hiroshi Yamato,Seiya Sanada&Shuji KondodefeatVoodoo Murders(Hate&Minoru) &Lance Cade(11:35)AJPW Rise Up Tour 2010 - Tag 10- Event @ Kobe Sambo Hall in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
10,29.05.2010,,"Voodoo Murders(Lance Cade&Rene Dupree) defeatMAZADA&NOSAWA Rongai(13:11)AJPW Rise Up Tour 2010 - Tag 9- Event @ Ishikawa Citizen Gymnasium in Nanao, Ishikawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
11,27.05.2010,,"Voodoo Murders(Lance Cade&Rene Dupree) defeatNOSAWA Rongai&Satoshi Kojima(11:40)AJPW Rise Up Tour 2010 - Tag 8- Event @ Tottori Industrial Gymnasium in Tottori, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
12,25.05.2010,,"BUSHI,KAI&Masayuki KonodefeatVoodoo Murders(Hate&TARU) &Lance Cade(12:45)AJPW Rise Up Tour 2010 - Tag 7- Event @ Oita Event Hall in Oita, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
13,24.05.2010,,"Voodoo Murders(Lance Cade&Minoru) defeatFUJITA&NOSAWA Rongai(11:25)AJPW Rise Up Tour 2010 - Tag 6- Event @ Kumamoto City Food Exchange Hall  in Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
14,23.05.2010,,"Partisan Forces(Akebono&Taiyo Kea) defeatVoodoo Murders(Hate&Lance Cade) (9:47)AJPW Rise Up Tour 2010 - Tag 5- Event @ Hyuga Cultural Exchange Center in Hyuga, Miyazaki, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
15,22.05.2010,,"KAI,Kaz Hayashi&Satoshi KojimadefeatVoodoo Murders(Hate&TARU) &Lance Cade(15:05)AJPW Rise Up Tour 2010 - Tag 4- Event @ Kagoshima Citizen Gymnasium  in Kagoshima, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
16,21.05.2010,,"Masayuki Kono&Ryota HamadefeatVoodoo Murders(Lance Cade&TARU) (12:11)AJPW Rise Up Tour 2010 - Tag 3- Event @ Amakusa Civic Center in Amakusa, Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
17,19.05.2010,,"Voodoo Murders(Lance Cade,Minoru&TARU) defeatBUSHI,Masayuki Kono&Shuji Kondo(9:23)AJPW Rise Up Tour 2010 - Tag 2- Event @ Yanai City Gymnasium in Yanai, Yamaguchi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade-dropkicks-Benjamin%2C-RLA-Melb-10.11.2007.jpg
