date,event,result,location,image_url
1,26.08.2006,,"Buff Bagwell&Lex LugerdefeatJeff Jarrett&Scott SteinerUWF06- Event @ Hardy Murphy Collesium in Ardmore, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
2,03.06.2006,,"Lex LugerdefeatsJohnny CandidoNWS- Event @ VFW Hall in South River, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
3,19.02.2005,,"Lex LugerdefeatsTracy Smothers(7:30)EWA- Event @ Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
4,30.10.2004,,"Lex LugerdefeatsDanny JaxxCSWF Halloween Horrors- Event @ Wayne PAL Building in Wayne, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
5,12.06.2004,,"Buff Bagwell&Lex LugerdefeatDisco Inferno&Johnny SwingerUCW Clash Of Champions- Event @ Cobb County Civic Center in Marietta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
6,12.11.2003,,"AJ Styles&StingdefeatJeff Jarrett&Lex Luger(10:35)NWA Total Nonstop Action #71- Pay Per View @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
7,13.12.2002,,"WWA World Heavyweight  TitleThree Way:StingdefeatsLex Luger(c) andMalice-TITLE CHANGE !!!WWA- Event @ Hallenstadion in Zürich, Schweiz",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
8,08.12.2002,,"WWA World Heavyweight  Title/NWA World Heavyweight Title:Lex Luger&Sting(c) defeatBuff Bagwell&Jeff Jarrett(c)WWA- Event @ Odyssey Arena in Belfast, Northern Ireland, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
9,07.12.2002,,"WWA World Heavyweight  Title/NWA World Heavyweight Title:Lex Luger&Sting(c) defeatBuff Bagwell&Jeff Jarrett(c)WWA- Event @ Manchester Evening News Arena in Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
10,06.12.2002,,"WWA World Heavyweight  TitleMatch (vakant):Lex LugerdefeatsSting(7:16) -TITLE CHANGE !!!WWA The Retribution- Pay Per View @ SECC Arena in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
11,05.12.2002,,"Nathan Jones&StingdefeatBuff Bagwell&Lex LugerWWA- Event @ Newcastle, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
12,29.11.2002,,"Lex Luger&StingdefeatBuff Bagwell&MaliceWWA- Event @ NEC Arena in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
13,28.11.2002,,"Lex Luger&StingdefeatBuff Bagwell&MaliceWWA- Event @ RDS Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/b/bd/All-American_Lex_Luger.jpg
