date,event,result,location,image_url
1,05.09.2025,,"Battle Royal:Mance WarnerdefeatsAJ FrancisandKiller KellyandLei Ying LeeandMara SadeandMatt CardonaandRosemaryandRyan NemethandThe Home Town ManandXia Brookside(6:20)TNA iMPACT #1105- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
2,04.09.2025,,"Frankie KazariandefeatsMatt Cardona(10:56)TNA iMPACT #1102- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
3,29.08.2025,,"Undisputed IWTV Independent Wrestling World Title:Marcus Mathers(c) defeatsMatt Cardona(14:44)Beyond Americanrana 2025- Online Stream @ Rhodes On The Pawtuxet in Cranston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
4,23.08.2025,,"Garage Beer World Title Match (vakant):Shotzi BlackheartdefeatsMatt Cardona(21:27) -TITLE CHANGE !!!GCW Homecoming Weekend 2025 - Tag 1- Pay Per View @ Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
5,16.08.2025,,"Order 4(Jason Hotch,John Skyler&Mustafa Ali) defeatMatt Cardona&The System(Brian Myers&Moose) (10:14)TNA iMPACT #1100- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
6,15.08.2025,,"Matt CardonadefeatsMustafa Ali(9:40)TNA Emergence 2025- Online Stream @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
7,09.08.2025,,"IWC World Heavyweight Title:Duke Davis(c) defeatsMatt Cardona(15:51)IWC Alwayz Ready- Pay Per View @ Marx's Court Theatre in Elizabeth, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
8,08.08.2025,,"QT MarshalldefeatsMatt CardonaBTW Know Your Enemy- Event @ Newark Pavilion in Newark, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
9,01.08.2025,,"Team Cardona (Mark Sterling,Matt Cardona&Tommy Invincible) defeat Team Shotzi (Deonna Purrazzo,Matt Tremont&Shotzi Blackheart) (10:02)GCW Hit 'Em Up 2025- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
10,27.07.2025,,"Nic NemethdefeatsMatt Cardona(18:03)ALW Star Spangled Slammer 9- Event @ Ocean Center in Daytona Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/2a/Edge_Hawkins_Ryder_Milwaukee_WI_031008.jpg
